id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
98d5fb74-ec93-4c74-8ce2-b29a8fc28b69,American Airlines,airline,"['airlines', 'transportation']",dd28005d-efc9-41ba-891a-d0738d2efbee,North Terminal,,,atlanta,GA,College Park,30320.0,6000 N Terminal Pkwy,33.641259,-84.4431809,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-04-12T06:06:58.000Z,,False
c6557743-36b6-44ee-8776-6baa60a37d77,American Airlines North Terminal Atlanta Hartsfield,airline,,0127d531-7849-4b41-9cec-4e2035792b07,Concourse T,,,atlanta,GA,College Park,,,33.6420256,-84.4424708,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-12-19T07:10:46.000Z,,False
847f9c54-902f-45b1-ab86-f0e1d0b1b857,American Airlines-Atlanta Airport,airport,,0127d531-7849-4b41-9cec-4e2035792b07,Concourse T,,,atlanta,GA,College Park,,,33.6420596,-84.4424673,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-12-19T07:10:46.000Z,,False
e008d8ea-c8c7-4d1f-9e91-128fa7cce420,American Airlines Terminal Hartsfield-Jackson Atlanta International Airport,airport,"['airport_terminal', 'airline']",0127d531-7849-4b41-9cec-4e2035792b07,Concourse T,,,atlanta,GA,College Park,30320.0,6000 N Terminal Pkwy,33.6433598,-84.4424989,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2024-12-19T07:10:46.000Z,,False
70476b89-6527-4ae2-bbee-60dda2b41c6d,American Airlines Atlanta Hartsfield Airport,airport,,ff286a15-2a20-4cfa-82e7-23f51f54d639,Concourse D,,,atlanta,GA,Atlanta,,,33.6414831,-84.4292827,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-07-06T19:29:32.000Z,,False
69d78c89-fb37-49a8-8cce-26ffe6c4ea84,American Airlines Cargo,freight_and_cargo_service,['airline'],4791e3d2-0ba6-40bf-a3f7-1c9f6451f49d,Delta Cargo,,,atlanta,GA,Hapeville,30354.0,3400 Interloop Rd,33.653317,-84.4114999,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-05-15T01:04:49.000Z,,False
a09de69f-9c61-4772-8707-7d18b4bf605a,American Airlines Arena,stadium_arena,"['arts_and_entertainment', 'airport']",,,,,miami,FL,Miami,,,25.7109899,-80.449641,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
672abf44-2ac2-4df7-8ebb-13ab98d69e3c,American Airlines Federal Credit Union,credit_union,['bank_credit_union'],,,,,miami,FL,Miami,33126.0,6205 Blue Lagoon Dr Ste 100,25.7838631,-80.2980014,Microsoft,2025-04-24T09:57:24.140Z,0.77,,,,False
ab8924f9-de7a-4557-ba90-05c98def0a11,American Airlines Cargo,travel,"['freight_and_cargo_service', 'airlines']",,,,,miami,FL,Miami,33126.0,6150 NW 17th St,25.7907674,-80.2960117,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
5552fd2b-f486-40d6-b1b3-21052c7672eb,American Airlines Federal Credit Union,credit_union,['bank_credit_union'],,,,,miami,FL,Miami,33126.0,6150 NW 17th St Ste 206 Bldg 714,25.7909189,-80.2957992,Microsoft,2025-04-24T09:57:24.140Z,0.77,,,,False
b162c541-e024-4c99-ba00-2702c6dc2e0e,American Airlines,airline,"['transportation', 'topic_publisher']",289994f4-8eff-495b-a54d-22b6c0245b8a,,,,miami,FL,Coral Gables,33134.0,901 Ponce de Leon Blvd,25.7635072,-80.258701,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2016-08-07T02:10:57.000Z,,False
e62a5e68-94ba-4354-ae0e-12a4b89216d9,American Airlines Concourse E,airport_terminal,['airline'],15df840f-ccc6-4d5d-b2b4-d893f7513204,Central Terminal,,,miami,FL,Miami,,,25.7952926,-80.2810772,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-14T01:25:03.000Z,,False
e62a5e68-94ba-4354-ae0e-12a4b89216d9,American Airlines Concourse E,airport_terminal,['airline'],ea34870c-47ac-4049-97d5-f0b027ce8e75,Concourse E,,,miami,FL,Miami,,,25.7952926,-80.2810772,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-14T01:25:03.000Z,,False
02b7f71d-c9f9-4b68-ac3b-e4e27a3180d7,American Airlines First Class Lounge,airport_lounge,"['travel', 'airport']",15df840f-ccc6-4d5d-b2b4-d893f7513204,Central Terminal,,,miami,FL,Miami,,,25.7950443,-80.2798421,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-14T01:25:03.000Z,,False
02b7f71d-c9f9-4b68-ac3b-e4e27a3180d7,American Airlines First Class Lounge,airport_lounge,"['travel', 'airport']",ea34870c-47ac-4049-97d5-f0b027ce8e75,Concourse E,,,miami,FL,Miami,,,25.7950443,-80.2798421,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-14T01:25:03.000Z,,False
8a4df729-1cb3-4346-9de7-8d5d28005e7b,American Airlines Federal Credit Union,credit_union,['bank_credit_union'],66ebe581-3a96-4531-89fa-cfc84f772274,MIA Station,transportation,train_station,miami,FL,Miami,33122.0,"2100 NW 42nd Ave, Concourse H; Ground Level",25.795117000000005,-80.27681000000001,Microsoft,2025-04-24T09:57:24.140Z,0.77,OpenStreetMap,2021-02-17T01:18:17.000Z,,False
11314f1a-b0f8-4abf-855e-9baf7c5fe860,Miami Internatinal Airport American Airlines,airport,"['airport_terminal', 'airline']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,,,25.7970537,-80.2810828,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
11314f1a-b0f8-4abf-855e-9baf7c5fe860,Miami Internatinal Airport American Airlines,airport,"['airport_terminal', 'airline']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,,,25.7970537,-80.2810828,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
322d8b16-4f03-4d5b-9440-34762ff6d1c2,American Airlines Flagship Dining,american_restaurant,['restaurant'],49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,,,33142.0,Near Gate D30,25.797077,-80.280801,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
322d8b16-4f03-4d5b-9440-34762ff6d1c2,American Airlines Flagship Dining,american_restaurant,['restaurant'],6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,,,33142.0,Near Gate D30,25.797077,-80.280801,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
45800583-1352-40cf-91cf-d845ed748a4e,American Airlines Admirals Club,airport,"['airport_lounge', 'travel']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,,,33122.0,,25.797758,-80.281401,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
45800583-1352-40cf-91cf-d845ed748a4e,American Airlines Admirals Club,airport,"['airport_lounge', 'travel']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,,,33122.0,,25.797758,-80.281401,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
c26fb173-073e-4cfe-9de6-491b57d7cc36,American Airlines Miami Hub Central Command Center,airport,['travel'],49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Virginia Gardens,,,25.7974536,-80.2809174,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
c26fb173-073e-4cfe-9de6-491b57d7cc36,American Airlines Miami Hub Central Command Center,airport,['travel'],6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Virginia Gardens,,,25.7974536,-80.2809174,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
7415719a-c8cc-4e29-8602-ecd8b1a8edaf,Mia American Airlines Crew Operations,airline,"['airlines', 'airport']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,,,25.7966754,-80.2785941,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
7415719a-c8cc-4e29-8602-ecd8b1a8edaf,Mia American Airlines Crew Operations,airline,"['airlines', 'airport']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,,,25.7966754,-80.2785941,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
254bc8be-e95c-44e6-b20f-acd4d5827ab7,American Airlines,transportation,"['airline', 'travel']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,,,33142.0,"Miami International Airport, Concourse-D, Gates - D, 26",25.7967208,-80.2778903,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
254bc8be-e95c-44e6-b20f-acd4d5827ab7,American Airlines,transportation,"['airline', 'travel']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,,,33142.0,"Miami International Airport, Concourse-D, Gates - D, 26",25.7967208,-80.2778903,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
86e420f2-fd10-458c-97e2-73a5142f6cf1,Boing 777 American Airlines,airline,"['travel', 'airlines']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,,,25.7973097,-80.2793287,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
86e420f2-fd10-458c-97e2-73a5142f6cf1,Boing 777 American Airlines,airline,"['travel', 'airlines']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,,,25.7973097,-80.2793287,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
0255c219-c954-44da-b45f-83de40b35215,American Airlines At Miami Int'l Airport,airport_terminal,"['airport', 'airline']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,,,75261.0,2800 N Terminal Rd,25.7974297,-80.2783114,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
0255c219-c954-44da-b45f-83de40b35215,American Airlines At Miami Int'l Airport,airport_terminal,"['airport', 'airline']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,,,75261.0,2800 N Terminal Rd,25.7974297,-80.2783114,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
cff111df-199b-43e2-a7b4-428c27ba69b5,American Airlines International Concourse D11,airline,"['airport_terminal', 'travel']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,,,25.7973637,-80.2776301,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
cff111df-199b-43e2-a7b4-428c27ba69b5,American Airlines International Concourse D11,airline,"['airport_terminal', 'travel']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,,,25.7973637,-80.2776301,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
7b823a4d-9a69-4593-9f26-e0978bec3eb3,American Airlines,airline,"['airport', 'airport_terminal']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,33142.0,2100 NW 42nd Ave,25.7967681,-80.2750362,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
7b823a4d-9a69-4593-9f26-e0978bec3eb3,American Airlines,airline,"['airport', 'airport_terminal']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,33142.0,2100 NW 42nd Ave,25.7967681,-80.2750362,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
678fdc6c-57a2-4f8d-be8f-f3f6e14fc407,"Miami International Airport, American Airlines International Departures",airport,"['airport_terminal', 'travel']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,,,25.7974236,-80.2749058,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
678fdc6c-57a2-4f8d-be8f-f3f6e14fc407,"Miami International Airport, American Airlines International Departures",airport,"['airport_terminal', 'travel']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,,,25.7974236,-80.2749058,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
2ec851b7-9ea2-4a35-a095-ac713c3eb197,American Airlines First Class Cabin,airport,"['airline', 'airport_terminal']",49680525-84fd-4ef5-adbf-7a96e3304429,North Terminal,,,miami,FL,Miami,33142.0,2100 NW 42nd Ave,25.7985334,-80.2722131,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
2ec851b7-9ea2-4a35-a095-ac713c3eb197,American Airlines First Class Cabin,airport,"['airline', 'airport_terminal']",6425fd8e-fdf6-463f-b3cd-3afda76e3e82,Concourse D,,,miami,FL,Miami,33142.0,2100 NW 42nd Ave,25.7985334,-80.2722131,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-04-13T21:10:10.000Z,,False
7d01c93a-8f67-462a-a929-2bed90b0a77d,Gate D8 American Airlines Miami International Airport,airport,,,,,,miami,FL,Miami,,,25.7988158,-80.2725053,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
00301134-32bf-43dd-8326-9d02a61fde75,American Airlines Federal Credit Union,credit_union,['bank_credit_union'],,,,,miami,FL,Miami,33122.0,"4450 NW 22nd St, Bldg. 3095; Suite 268",25.7971942,-80.2701257,Microsoft,2025-04-24T09:57:24.140Z,0.77,,,,False
485d232c-f9c3-432b-8fc8-9105bc77b16e,American Airlines Concourse D - Miami International Airport - MIA,airport,"['airport_terminal', 'travel']",,,,,miami,FL,Miami,,,25.7982536,-80.2712942,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
fbb9f317-12a1-4039-8041-a4c2b0dd1bde,American Airlines Aircraft Maintenance Miami,airlines,"['airline', 'travel']",81a6af3a-f7bd-477d-8f4d-7fe348033917,,,,miami,FL,Miami,,,25.797984,-80.2689127,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-01-05T23:12:44.000Z,,False
6ee3e7dd-18cc-43cc-80cc-3a008719c7b0,American Airlines - Miami International Airport - MIA,airport,,80b8dc5d-e3f2-45f6-bba1-133048d552ce,,,,miami,FL,Miami,,,25.82111,-80.27972,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2016-08-05T22:16:26.000Z,,False
4f604be6-1e93-465f-83bf-fc15449181da,Miami Heat White Hot Playoffs At American Airlines Arena,stadium_arena,"['arts_and_entertainment', 'sports_club_and_league']",be0bc97e-294b-4bdc-84d5-61ab4026ef86,Kaseya Center,,,miami,FL,Miami,33132.0,601 Biscayne Blvd,25.7813805,-80.1877502,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2024-08-19T20:33:45.000Z,,False
a7dcdfb5-7ebb-4eb3-b0c7-c71bbce828f9,NBA Finals Game 6 at American Airlines Arena,stadium_arena,"['travel', 'cinema']",be0bc97e-294b-4bdc-84d5-61ab4026ef86,Kaseya Center,,,miami,FL,Miami,33130.0,601 Biscayne Blvd,25.7813805,-80.1877502,meta,2025-06-02T07:00:00.000Z,0.1666666666666666,OpenStreetMap,2024-08-19T20:33:45.000Z,,False
60f2099b-0285-4b55-8a37-051ecb492a62,American Airlines Arena,arts_and_entertainment,['basketball_stadium'],8db977f2-569b-4686-b1c4-9988884e3a1b,,,,miami,FL,Miami,,,25.8758991,-80.2084755,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2018-11-04T19:24:14.000Z,,False
480056bf-08b8-4ed1-bce9-0f38ff5ad9dc,AAA American Airlines Arena,stadium_arena,"['track_stadium', 'baseball_stadium']",6cacea70-e8bc-44ae-ba75-88fdca67a575,,,,miami,FL,Miami,,,25.96206,-80.16836,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2016-08-02T22:10:20.000Z,,False
ced0a21b-8c07-4b84-8c4c-f229723f2104,American Airlines Arena,arts_and_entertainment,"['travel', 'cinema']",ca58eae3-f056-4696-af07-b56d39e5a57e,,,,miami,,,33311.0,Terminal 3,26.128277,-80.159776,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2020-07-19T22:10:19.000Z,,False
1894cea6-a593-4ec9-a4bc-bbf897bac830,American Airlines,airline,"['airlines', 'travel']",9bc06ac1-fc4c-4c95-a571-6753a9eeb478,,,,miami,FL,Lauderhill,33313.0,4200 NW 21st St,26.153402,-80.205598,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2024-02-12T17:45:50.000Z,,False
aea88c8b-91a1-4fc3-8171-f3c7e7fa70a0,American Airlines Federal Credit Union,credit_union,['bank_credit_union'],8ba2642b-1e06-4ef5-9980-57c5eee79244,,,,miami,FL,Fort Lauderdale,33315.0,"1100 Lee Wagener Blvd, Suite 101",26.0695027804798,-80.15576528304064,Microsoft,2025-04-24T09:57:24.140Z,0.77,OpenStreetMap,2015-03-16T12:15:25.000Z,,False
aa028606-3adf-4553-9816-cd4317abca95,"Ft Lauderdale Airport, American Airlines",airport,,a2f1d921-3890-4f2d-91c1-88bc1d3332fe,Terminal 3,,,miami,FL,Fort Lauderdale,,,26.0729545,-80.1463001,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2023-03-18T20:02:47.000Z,,False
2c432946-9fc4-47b9-83c3-9b99fb4b6d23,American Airlines,airline,"['airport_terminal', 'airlines']",,,,,miami,FL,Fort Lauderdale,33315.0,1800 SW 34th St,26.0794,-80.15378,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
87b81a5d-28c2-4b27-a668-185fe878998d,American Airlines,airline,"['airlines', 'airport']",e77d71bb-1e7c-4995-b65e-b5f1567a1186,,,,miami,FL,Fort Lauderdale,33315.0,200 Terminal Dr,26.0721586,-80.1451833,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-08-16T06:18:32.000Z,,False
87b81a5d-28c2-4b27-a668-185fe878998d,American Airlines,airline,"['airlines', 'airport']",a2f1d921-3890-4f2d-91c1-88bc1d3332fe,Terminal 3,,,miami,FL,Fort Lauderdale,33315.0,200 Terminal Dr,26.0721586,-80.1451833,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-03-18T20:02:47.000Z,,False
1c817508-c3c9-420e-bbbc-2b761334fd8a,American Airlines Palm Beach International Airport,airport,"['beach', 'airport_terminal']",3a500399-91af-48da-a712-8c80d32fb002,Concourse B,,,miami,FL,West Palm Beach,,,26.6869374,-80.0930718,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2023-02-21T12:21:13.000Z,,False
