id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
651600f0-4a47-45bc-bdc7-dcc84f1f798a,Ft Myers Townhouse private Airbnb,real_estate,['real_estate_agent'],1db9cb57-0675-456e-b1bb-5b349223b250,,,,cape-coral,FL,Fort Myers,33901.0,1464 Park Shore Cir,26.60072,-81.88562,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-02-07T00:58:59.000Z,,False
215000d9-add8-4d5d-bd4b-0b1e30bf6b0a,The Travelers House airbnb,hotel,"['bed_and_breakfast', 'accommodation']",e01b5a36-aca1-4346-aeb1-7fdc456d6914,,,,colorado-springs,CO,Colorado Springs,80903.0,315 E Monument St,38.8435165,-104.8186085,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-05-31T23:14:44.000Z,,False
4b082c73-dae4-4bea-add2-184dd23ef598,The Emerald Nest Manitou / Old Colorado City airbnb,hotel,"['holiday_rental_home', 'motel']",34643347-8ae4-4db3-9cf7-6716e61dd36c,,,,colorado-springs,CO,Colorado Springs,80904.0,3310 W Colorado Ave,38.8558401,-104.8773367,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2023-04-02T19:00:11.000Z,,False
f1f9aeb7-e96f-4cbc-9470-4c9e33989057,Airbnb Colorado Springs,hotel,"['holiday_rental_home', 'accommodation']",,,,,colorado-springs,CO,Colorado Springs,80920.0,3472 Research Pkwy,38.95773,-104.76657,meta,2025-06-02T07:00:00.000Z,0.296943231441048,,,,False
9de16ec5-c4e1-4b80-8595-46792f2910dc,"Airbnb St. Louis, MO - Soulard",holiday_rental_home,,,,,,st-louis,MO,St Louis,63104.0,823 Allen Ave,38.6077,-90.20462,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,False
2b573d2c-5b96-44c1-bc1b-1e043f25725c,Airbnb Little Rock AR,real_estate,['housing_authorities'],,,,,little-rock,AR,Little Rock,,West,34.71645,-92.38205,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,,,,False
57c48417-6d18-496e-adc6-87f1e5bb1e0a,Wolfe properties Airbnb Fresno/Clovis,hotel,"['property_management', 'wedding_planning']",a384d2a3-0910-4852-b009-1113808073dc,,,,fresno,CA,Clovis,93612.0,1335 Minnewawa Ave,36.8141752,-119.7086901,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2021-08-30T07:51:04.000Z,,False
b929a480-03c7-448d-8ad6-605504e866c7,Lavender Farmhouse Airbnb,event_planning,"['holiday_rental_home', 'event_photography']",b1913b7e-d6db-4925-9026-b019132a7957,,,,fresno,CA,Fresno,93737.0,3259 N De Wolf Ave,36.7832353,-119.6470507,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,Microsoft ML Buildings,2022-05-30T00:00:00.000Z,,False
e1f25224-ecea-43a5-86ab-91a32e3e03e8,Airbnb,event_planning,"['internet_service_provider', 'hotel']",18f1dd60-012c-4289-b7ed-8415b5a15b50,Dolby Laboratories,commercial,commercial,oakland,CA,San Francisco,94103.0,999 Brannan St,37.770152,-122.406452,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2018-01-22T20:21:13.000Z,,True
d480d96d-33eb-465d-9154-460579f62a8f,Airbnb,hotel,"['holiday_rental_home', 'travel']",f8bfa25a-ee4d-4048-84e9-70e14a4aa569,888 Brannan,,,oakland,CA,San Francisco,94103.0,888 Brannan St,37.772,-122.40526,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2023-09-04T04:49:00.000Z,,False
4dde8ee2-9bc2-4c4f-b6df-50f643970e85,Square House Airbnb Property Management,property_management,['holiday_rental_home'],2c0739f7-66de-4bdf-b2d7-752cbb7118d0,,,,oklahoma-city,OK,Oklahoma City,73107.0,2560 NW 23rd St,35.4928665161133,-97.5592498779297,Microsoft,2023-06-12T15:11:24.553Z,0.77,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
5b42bc2e-8cf5-4226-a831-e783b8052313,Sell My Colorado AirBNB Sallie Simmon,real_estate_agent,['real_estate'],fac2bcb2-da08-4d56-b862-fd7adde19882,200 Columbine,commercial,office,denver,CO,Denver,80206.0,200 Columbine St,39.7196118,-104.9568408,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2025-03-26T20:00:53.000Z,,False
