id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
cf2d3e03-537a-40ae-b7ea-2f99a996f83a,The Adobe Chapel,monument,"['religious_organization', 'history_museum']",4003a8a8-557e-4c99-9701-31334f132d1a,,,,san-diego,CA,San Diego,92110.0,3963 Conde St,32.7516892,-117.1943288,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,Microsoft ML Buildings,2023-09-01T00:00:00.000Z,0.9937000274658204,False
65901172-cbf3-4b81-87fb-64746d06ac5a,Adobe El Restaurante,breakfast_and_brunch_restaurant,"['steakhouse', 'restaurant']",,,,,san-diego,CA,La Jolla,92037.0,9700 N Torrey Pines Rd,32.88393,-117.243972,Microsoft,2013-01-29T00:27:32.280Z,0.77,,,,False
4b606107-7225-4a92-8a33-7e2a56220789,El Cuervo adobe ruin,hiking_trail,['ice_cream_shop'],eafc0263-a73c-4fd3-9935-261c5d9ec403,El Cuervo Adobe,,,san-diego,,,92121.0,Sorrento Valley Blvd,32.9077398,-117.2110084,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2020-10-05T02:59:33.000Z,,False
4b89cef4-aeb8-434c-b866-220e3e505594,Los Penasquitos Adobe Ranch,central_government_office,"['topic_concert_venue', 'public_and_government_association']",3606d27e-24bd-41bb-ad3f-0e3c4df4f113,,residential,apartments,san-diego,CA,San Diego,92129.0,12020 Black Mountain Rd,32.9365034,-117.1269473,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2022-02-12T00:56:08.000Z,,False
c4669d79-0c06-4635-a8d8-a22b78ba4473,Adobe Bluffs Elementary School,elementary_school,"['education', 'school']",390f2178-e7c6-46d2-b897-1dd2e5292d64,,education,school,san-diego,CA,San Diego,92129.0,8707 Adobe Bluffs Dr,32.9736307,-117.141025,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-07-16T20:14:50.000Z,,False
9dda4762-afe5-4e82-94d3-b47fdd071934,Adobe Bluffs Park,park,"['public_school', 'landmark_and_historical_building']",,,,,san-diego,CA,San Diego,92129.0,8805 Gainsborough Ave,32.9729532,-117.1393107,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
dab1eb99-f850-4294-9087-6cdc0ee880f1,Adobe Bluffs Elementary School,elementary_school,"['public_school', 'home_service']",d69881fa-a506-49cd-b273-c1f1727e0175,,education,school,san-diego,CA,Poway,92064.0,13626 Twin Peaks Rd,32.9789253,-117.0353109,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2025-04-30T11:28:00.000Z,,False
dab1eb99-f850-4294-9087-6cdc0ee880f1,Adobe Bluffs Elementary School,elementary_school,"['public_school', 'home_service']",f9d9dce6-1e5c-42f3-9508-c9da3a53f489,,education,school,san-diego,CA,Poway,92064.0,13626 Twin Peaks Rd,32.9789253,-117.0353109,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2025-04-30T11:28:00.000Z,,False
b4d3e08d-e87a-4df9-90c2-d80e9e2e9ff5,Adobe Ridge Neighborhood Park,attractions_and_activities,"['park', 'social_service_organizations']",,,,,san-diego,CA,Poway,92064.0,12251 Adobe Ridge Rd,32.9826079,-117.0638046,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
0e9a1d8c-a8d6-4d0b-8860-fcf4475e4f2b,VCA Adobe Animal Hospital,veterinarian,"['pet_services', 'hospital']",b7e2263b-99e7-4fce-8544-293a9ce76513,,,,san-diego,CA,Ramona,92065.0,218 Etcheverry St,33.0254033,-116.8937548,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-11-23T15:37:33.000Z,,False
0c424cbe-dfef-4137-89f3-04312277848f,Adobe Park,park,"['public_plaza', 'attractions_and_activities']",,,,,concord,CA,Castro Valley,94546.0,20043 San Miguel Ave,37.6966984,-122.081217,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
997d6a71-fc2c-4628-8878-b6e74a46243b,Joaquin Moraga Adobe,landmark_and_historical_building,"['fountain', 'community_services_non_profits']",,,,,concord,CA,Orinda,94563.0,24 Adobe Ln,37.8432645,-122.1540147,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,False
65c52bab-5a43-4f82-a154-9eea95f80e1b,Alviso Adobe Community Park,park,"['landmark_and_historical_building', 'topic_concert_venue']",7efd284f-70dc-4191-bcc3-e9018121e0ed,,,,concord,CA,Pleasanton,94588.0,3465 Old Foothill Rd,37.6609474,-121.9131191,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-07-01T16:28:39.000Z,,False
216a30a9-88d4-407f-a449-14f6fb0a1068,Pacheco Adobe Apartments,landmark_and_historical_building,"['retirement_home', 'holiday_rental_home']",7d87e3b1-0a55-401e-bf95-4f2f971e88d1,,,,concord,CA,Martinez,94553.0,50 Arthur Rd,38.007775,-122.092105,meta,2025-06-02T07:00:00.000Z,0.296943231441048,Microsoft ML Buildings,2019-04-29T00:00:00.000Z,,False
0b1dd669-4095-4018-88f1-34ea466e1f66,Casa Adobe Apartments,real_estate_service,"['landmark_and_historical_building', 'real_estate']",6b5592c4-64d3-4768-b34b-f5e3deed394c,,residential,apartments,concord,CA,Martinez,94553.0,1230 Pine St,38.015617,-122.130693,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-04-26T04:59:16.000Z,,False
1ef3457c-4230-4336-8948-ca875ae5482d,Adobe Lake,landmark_and_historical_building,"['real_estate', 'lake']",4c3330ce-e8cf-47f5-a012-e15dd50600cf,,,,concord,CA,Concord,94520.0,1500 Ellis St,37.970015,-122.03709,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,Microsoft ML Buildings,2022-03-11T00:00:00.000Z,,False
