id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
38a34ff2-e2eb-4bad-916e-35b37f578a11,Amcor Limited,plastic_manufacturer,"['commercial_industrial', 'professional_services']",6194bbee-ea52-4958-b8ac-d6850fcc56ef,,,,orlando,FL,Orlando,32824.0,753 Central Florida Pkwy,28.40858,-81.38689,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2020-06-12T19:35:08.000Z,,False
940487a7-c3d7-4ae5-8eb0-e12b96db5fec,Amcor Rigid Plastics,plastic_manufacturer,"['business_manufacturing_and_supply', 'commercial_industrial']",2587d0b8-20e7-47b9-bed3-f4d7a57376e4,,,,orlando,FL,Orlando,32824.0,10260 Ringhaver Dr,28.418489,-81.3560026,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-08-10T22:48:39.000Z,,False
a6b0568b-1119-415e-801d-333e5e1490a8,Amcor Rigid Plastics,commercial_industrial,"['plastic_fabrication_company', 'gas_station']",0d0d0cef-cadc-4477-96da-e6421def809a,,,,chicago,IL,Addison,60101.0,200 S Mitchell Ct,41.9235501,-88.0364293,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2023-09-30T01:42:37.000Z,,False
0ac5f8a3-412b-439e-b136-049cbdecf924,Amcor,professional_services,"['shopping', 'nursery_and_gardening']",8b5b13ab-b760-4d3e-9e0c-b3796612bc5f,,industrial,industrial,chicago,IL,Itasca,60143.0,750 Expressway Dr,41.9797843,-88.0261332,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2021-06-05T06:36:46.000Z,,False
b32788af-d997-404e-8b09-ce4a14694b19,Amcor Rigid Plastics,plastic_manufacturer,"['commercial_industrial', 'hardware_store']",f7672801-6f8e-414d-b0a0-903528e4acde,Pullman Citgo,outbuilding,roof,chicago,,,60628.0,720 E 111th St,41.692617,-87.605674,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2024-01-17T03:49:43.000Z,,False
7622d943-9181-473c-9e63-544cff3ccfa4,"Amcor Property Professional, Inc.",property_management,['real_estate_agent'],,,,,phoenix,AZ,Scottsdale,85260.0,16441 N 91st St Ste 104,33.6354632,-111.8849208,Microsoft,2025-04-10T12:47:28.360Z,0.77,,,,False
1e512a64-dc59-462a-86db-860e265d4cb2,AMCOR Property Professionals,property_management,"['real_estate', 'real_estate_agent']",8d18e798-ed6b-4f22-a940-b333d4dfa4f0,,,,phoenix,AZ,Scottsdale,85260.0,16441 N 91st St,33.6353766,-111.8843246,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-05-30T02:13:20.000Z,,False
6166c8ac-7f8d-405a-9226-edbf70b0d49f,Amcor,commercial_industrial,"['industrial_equipment', 'plastic_manufacturer']",7911b06c-544c-41b7-970d-708a1a75da04,,,,st-louis,MO,Hazelwood,63042.0,5801 N Lindbergh Blvd,38.764269,-90.3722824,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2017-05-12T08:31:44.000Z,,False
76e58823-f59f-46d2-8696-bd1c11ead6a2,Applied Mechanics Corporation/AMCOR,industrial_equipment,"['b2b_machinery_and_tools', 'machine_shop', 'business_to_business']",,,,,grand-rapids,MI,Grand Rapids,49534.0,14122 Ironwood Dr NW,43.01123164916488,-85.82165527343751,Microsoft,2024-02-23T13:01:18.300Z,0.77,,,,True
542d9c00-2f85-4a05-adb7-7f034151ea61,Amcor Rigid Plastics,plastic_manufacturer,"['commercial_industrial', 'plastic_fabrication_company']",c935e070-754d-4143-967d-9ba20558699b,,,,los-angeles,CA,Chino,91710.0,14270 Ramona Ave,33.994392,-117.7075684,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2023-10-14T00:55:56.000Z,,False
cf1df947-ae21-454e-a51f-fde024d21ebb,Amcor Precast,building_supply_store,"['contractor', 'commercial_industrial']",970080ce-b763-4531-bb39-3468e540c086,,,,denver,CO,Littleton,80125.0,8392 W Riverview Pkwy,39.5599205,-105.0471075,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
f2f383f0-159c-42d2-83af-d5ac79e3fdee,Amcor Pet Packaging,professional_services,"['storage_facility', 'pet_services']",00635da2-7067-4c6f-8e8e-251859eb0e7f,,industrial,industrial,denver,CO,Denver,80239.0,4990 Ironton St,39.787304,-104.861702,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2024-06-03T00:12:25.000Z,,False
542d9c00-2f85-4a05-adb7-7f034151ea61,Amcor Rigid Plastics,plastic_manufacturer,"['commercial_industrial', 'plastic_fabrication_company']",c935e070-754d-4143-967d-9ba20558699b,,,,riverside-san-bernardino,CA,Chino,91710.0,14270 Ramona Ave,33.994392,-117.7075684,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2023-10-14T00:55:56.000Z,,False
75d5f378-8490-4cb0-858b-9a6b3d6e0143,Amcor Design,jewelry_store,['b2b_jewelers'],122301f8-2f44-461a-b1b6-b80b5fe08e11,,,,new-york,NY,New York,10036.0,48 W 48th St,40.7580632,-73.9803413,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2014-03-14T18:20:25.000Z,,False
a8c81830-eb00-4b9b-97a4-2203e309ae0b,Amcor Auto,automotive_repair,"['car_dealer', 'automotive']",39dc34d3-de42-44d9-88a4-508cd018b7f3,,,,new-york,NY,Elmhurst,11373.0,74-21 Queens Blvd,40.739432,-73.889426,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2020-05-05T15:23:28.000Z,,False
cb97544b-9de9-4da1-8653-882258c152d1,Amcor Flexibles Healthcare,printing_services,"['real_estate', 'health_and_medical']",,,,,boston,MA,Ashland,1721.0,150 Homer Ave,42.2588328,-71.4571543,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
06e69489-c04f-4992-93a3-1c7dac84fdd1,Amcor Rigid Plastics,plastic_manufacturer,"['commercial_industrial', 'plastic_fabrication_company']",fe5c898f-211b-44fc-ad1f-9e467481801e,,,,dallas,TX,Irving,75061.0,1101 Valley View Ln,32.8261637,-97.0350675,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2017-05-31T16:34:12.000Z,,False
eebab95c-2611-49b6-b7c9-52d2d086f352,Amcor,freight_and_cargo_service,"['transportation', 'rental_service']",4b1f1082-cfbb-4138-80a9-b61619937779,,,,dallas,TX,Grand Prairie,75050.0,610 W Trinity Blvd,32.8001,-97.01526,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2018-11-19T22:35:45.000Z,,False
2ee27bb8-bb92-43ce-827f-d047dfd4c34a,Amcor Rigid Plastics,plastic_manufacturer,"['commercial_industrial', 'professional_services']",,,,,allentown-bethlehem,PA,Allentown,18106.0,7553 Morris Ct,40.5684497,-75.6059381,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
31371d81-6a0c-4245-a9f8-d12af9e498b1,Amcor Pet Packaging,professional_services,"['plastic_manufacturer', 'real_estate']",56778bf3-8abb-4940-a9f9-82e5c571b693,Amcor Rigid Plastics,industrial,industrial,allentown-bethlehem,PA,Allentown,18106.0,6974 Schantz Rd,40.5782,-75.604346,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2025-05-09T06:06:25.000Z,,False
e879de6c-d41b-44d9-9afc-50d83dd77cd1,Amcor Rigid Plastics,plastic_manufacturer,"['professional_services', 'plastic_fabrication_company']",,,,,allentown-bethlehem,PA,Allentown,18106.0,6974 Schantz Rd,40.5791384,-75.6029543,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
b07cf52f-ab01-4106-b75a-251bded144d9,Amcor,commercial_industrial,"['professional_services', 'plastic_fabrication_company']",6c50ebaa-0c44-4530-a4a1-21fad1a621df,Huntington Centre II,,,miami,FL,Miramar,33027.0,2801 SW 149th Ave,25.982847,-80.3452096,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2012-05-08T03:01:34.000Z,,False
