id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
1bdd806e-cb79-40a8-909a-3a026b4db910,Brown Forman Cooperage Stevenson Mill,restaurant,,4b7a970f-90c7-40f6-807d-dbda117786b1,The Alabama Center for Commerce,commercial,office,montgomery,AL,Stevenson,35772.0,401 Adams Ave,32.37572,-86.30295,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2020-07-17T04:15:59.000Z,,False
a5a0b75d-03ab-4663-b002-3607c6570700,Brown-Forman Distillery,distillery,"['professional_services', 'eat_and_drink']",719ac386-68ac-4eaf-be6a-c67e0a4b9bec,,,,louisville,KY,Shively,40216.0,2921 Dixie Hwy,38.2071011,-85.7945343,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-07-14T20:30:17.000Z,,False
4aa8f831-71d8-4bc5-ba7b-de6bbd11df32,Brown-Forman Brands,distillery,"['commercial_industrial', 'eat_and_drink']",d672a7d4-ee61-45df-9c15-275c2472d044,,,,louisville,KY,Louisville,40210.0,850 Dixie Hwy,38.2446656,-85.7853216,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2015-04-08T01:17:40.000Z,,False
95a8e551-ad7d-4346-b60a-5ca7ac4c876d,Brown-Forman,storage_facility,,8fa21edd-d46c-4c71-a8df-16854ff9e779,,,,louisville,KY,Louisville,40214.0,7715 National Tpke,38.138935,-85.751424,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2018-03-30T17:32:48.000Z,,False
38abb248-8e45-480f-85c5-232cb4eb0962,Brown-Forman Cooperage,professional_services,"['business_manufacturing_and_supply', 'event_photography']",,,,,louisville,KY,Louisville,40209.0,402 Maclean Ave,38.1752481,-85.7518949,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
79b5cef3-e8d5-4245-917f-4cf4d589875e,Brown Forman Corp,business,,43383377-1e7c-49a1-a623-e4ac41826b55,,,,louisville,KY,Louisville,40202.0,119 W Main St,38.256588,-85.752449,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2019-09-17T00:32:17.000Z,,False
79b5cef3-e8d5-4245-917f-4cf4d589875e,Brown Forman Corp,business,,0fb3ea06-2e7a-45d9-ad47-c42c053665c4,Old Forester Distillery,commercial,,louisville,KY,Louisville,40202.0,119 W Main St,38.256588,-85.752449,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2021-06-24T04:17:23.000Z,,False
79b5cef3-e8d5-4245-917f-4cf4d589875e,Brown Forman Corp,business,,77a5935b-0fd6-4749-9e54-e2640138c45d,,,,louisville,KY,Louisville,40202.0,119 W Main St,38.256588,-85.752449,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2015-05-14T01:50:29.000Z,,False
c9a32261-ee37-4ec7-b4cd-7c8d4bbc27ab,Brown-Forman Amphitheater,park,"['arts_and_entertainment', 'active_life']",,,,,louisville,KY,Louisville,40206.0,1301 River Rd,38.2633158,-85.7339971,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
def86559-f32e-451a-ba7b-423f89f571a6,Brown Forman Spirits Americas,liquor_store,['mens_clothing_store'],,,,,dallas,TX,Irving,75039.0,5215 N O Connor Blvd,32.8704897,-96.9387809,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
