id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
1e250344-c984-4a8a-b421-debc3ef71c2b,Broadridge Financial Services,financial_service,['real_estate'],b8b7d1c4-681d-4bc1-a5dd-675428b05ac1,,,,denton-lewisville,TX,Coppell,75019.0,404 S Royal Ln,32.9672146,-97.0251821,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-11-11T00:11:47.000Z,,False
3f160a7f-b17c-4827-856d-a269a56307a1,Common Broadridge,real_estate,['landmark_and_historical_building'],65f91f59-5074-44a3-8c60-605c45ad7988,Divine Lorraine Hotel,commercial,,philadelphia,PA,Philadelphia,19123.0,1300 Fairmount Ave,39.966733,-75.160055,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2024-02-26T18:54:13.000Z,,False
f047cab9-8289-4a29-ab40-6ea50077dfb3,Broadridge,landmark_and_historical_building,['real_estate_agent'],19fa9edd-d45e-43d1-beef-dca6d46f35a1,1300 Fairmount,,,philadelphia,PA,Philadelphia,19123.0,1300 Fairmount Ave,39.966534,-75.1591225,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,OpenStreetMap,2023-03-29T00:16:40.000Z,,False
87db98d5-dab8-45a4-994d-a7f02172aff3,Broadridge,financial_service,"['accountant', 'trusts']",5a82f91e-8e0c-4f61-9684-c6ad59f05bf5,,,,philadelphia,NJ,Mt Laurel,8054.0,110 W Park Dr,39.934035,-74.954599,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2021-01-22T14:13:56.000Z,,False
1e250344-c984-4a8a-b421-debc3ef71c2b,Broadridge Financial Services,financial_service,['real_estate'],b8b7d1c4-681d-4bc1-a5dd-675428b05ac1,,,,dallas,TX,Coppell,75019.0,404 S Royal Ln,32.9672146,-97.0251821,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-11-11T00:11:47.000Z,,False
3d9f7c83-d80b-4ae1-b918-32e21caf727a,Broadridge,financial_service,"['financial_advising', 'professional_services']",a6839a2a-8956-45c9-8440-efead68f3223,,transportation,parking,new-york,NJ,Jersey City,7306.0,2 Journal Square Plz,40.73381,-74.06384,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2020-09-14T00:17:56.000Z,,False
74f21ed5-0844-4e0f-92c4-416525e5d198,Broadridge,financial_advising,"['financial_service', 'software_development']",eced29ae-439a-4d7c-ae47-f00c0e007806,55 Water Street,,,new-york,NY,New York,10041.0,55 Water St,40.7032,-74.00914,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2023-01-09T22:53:42.000Z,,False
6a07711f-b074-4857-886b-fdb57951268b,Broadridge Financial Solutions,financial_advising,"['financial_service', 'professional_services']",7dc68d0d-5ba0-42b4-a323-9dcb103f3908,Empire Trust Building,,,new-york,NY,New York,10004.0,42 Broadway,40.7060067,-74.01262,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2024-11-22T09:39:47.000Z,,False
87bd333a-1eb9-4fae-bc8d-8f797ad2a639,Broadridge,financial_service,"['accountant', 'park']",e0a1902f-f54c-4728-9400-82d45bbda3d5,One Park Avenue,,,new-york,NY,New York,10016.0,1 Park Ave,40.74586,-73.98145,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2016-11-11T08:10:26.000Z,,False
f4201a07-a41c-4996-8cdf-34bede98ce1a,Broadridge Financial Solutions,financial_service,"['financial_advising', 'event_planning']",28599333-3f1a-4e3f-9bfd-dc934153433c,,commercial,office,new-york,NY,New York,10158.0,605 3rd Ave,40.7492809,-73.975173,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2023-11-15T17:23:24.000Z,,True
c19bd8a5-f4a0-432c-b99d-43ee913f0ec3,Broadridge MC,financial_service,"['financial_advising', 'investing']",5e975155-5561-4676-bd1d-51cf4b385ff6,5 Dakota Drive,commercial,commercial,new-york,NY,New Hyde Park,11042.0,5 Dakota Dr,40.7618436,-73.6907095,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2024-09-08T15:16:34.000Z,,False
280407f8-9ef0-49f1-b906-0ba592898c7d,Broadridge Financial Solutions,real_estate,['real_estate_agent'],7f34de6a-b8c7-425b-871c-3f1375ccb3fa,,commercial,commercial,new-york,NY,Islip,11717.0,1155 Long Island Ave,40.774461,-73.285392,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-10-13T13:35:58.000Z,,False
