id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
7b42a7b9-c200-4319-ad03-b816190c57e3,Brown & Brown Insurance,insurance_agency,,,,,,san-antonio,TX,San Antonio,78230.0,3201 Cherry Ridge Dr,29.508999,-98.5470361,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
b12bf00b-c3e3-47bf-bd4c-6fd3bfa0e09e,Brown & Brown of Pennsylvania,professional_services,"['financial_service', 'insurance_agency']",08eee157-e975-46ea-ace8-2136e084c762,,,,harrisburg,PA,Mechanicsburg,17055.0,600 Wilson Ln,40.208012,-76.975053,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2009-09-01T23:42:06.000Z,,False
06120208-a509-45f7-a3ce-d330deb52b7e,Brown & Brown Gulf States,insurance_agency,,fd4f1666-7bb2-48f8-bd51-2041725c7c34,,,,new-orleans,LA,New Orleans,70112.0,1515 Poydras St,29.9528567,-90.0781389,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2015-02-16T21:59:55.000Z,,False
65b3c591-a989-4794-bbdb-dbbbaf1fbc2c,Brown & Brown Gulf States,insurance_agency,,1b95dcaa-4c0d-4695-b2c3-98dd690849c2,,,,baton-rouge,LA,Baton Rouge,70809.0,6300 Corporate Blvd,30.42392,-91.12461,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
0a53af70-c773-4b4d-9263-733dd65b65b5,"Todd Brown & Brown Law Firm, P.A.",lawyer,['real_estate_law'],,,,,miami,FL,Miami,33130.0,"Sweat440, 80 SW 8th St",26.2962931,-80.2789191,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
b169ced3-e602-4224-92a1-e016291a440e,Brown & Brown Auto Center,car_dealer,"['used_car_dealer', 'automotive_dealer']",5b3efc25-5b79-4c20-b29b-7d7c4443a32a,Brown & Brown Auto Center,,,phoenix,AZ,Mesa,85210.0,1950 S Mesa Dr,33.3795757,-111.8256175,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2021-06-12T19:26:04.000Z,,False
c9bfcfd6-a10e-469d-b46e-032c07b1f962,Brown & Brown Insurance,insurance_agency,,6cc1a738-a455-41a9-afb5-95af7b91298d,,,,phoenix,AZ,Phoenix,85004.0,2800 N Central Ave,33.4791222,-112.0744384,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-10-09T01:32:39.000Z,,False
b843eb96-717b-4607-8663-51c08b2347f4,Brown & Brown Wholesale,car_dealer,['automotive'],bd55d117-c0e1-45c2-b5e6-41db8ee5fb02,Brown & Brown Wholesale,,,phoenix,AZ,Mesa,85210.0,750 S Country Club Dr,33.4010645,-111.840334,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-07-17T23:29:20.000Z,,False
bd79e007-1add-4e78-80e6-bfd84c95a23a,Brown & Brown Metro,insurance_agency,,,,,,new-york,NJ,Roseland,7068.0,56 Prudential Dr,40.8139237,-74.2939713,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
4266a4a7-b770-45d2-bb04-9037e8e66b68,Brown & Brown Benefit Advisors,health_insurance_office,['health_and_medical'],,,,,new-york,NJ,Roseland,7068.0,56 Livingston Ave Ste 220,40.8139025,-74.2936198,Microsoft,2019-06-08T08:20:11.023Z,0.77,,,,False
d92328cf-c7ef-4483-9e14-526bea9077ae,Brown & Brown,insurance_agency,['lawyer'],3f7d52e1-4bfc-4e12-872e-9fe3f578048b,,,,new-york,NY,White Plains,10604.0,1133 Westchester Ave,41.0109745,-73.7268447,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2021-10-03T07:25:17.000Z,,False
d37ab010-9f38-47c8-820a-4fb5e65131b7,Brown & Brown,business_brokers,,602b8bea-f312-4d8b-8ecb-5ca75f7c6afa,,,,las-vegas,NV,Las Vegas,89113.0,8337 W Sunset Rd Ste 150,36.06798,-115.27297,Microsoft,2025-05-24T08:51:55.437Z,0.77,OpenStreetMap,2020-04-14T08:53:44.000Z,,False
7f4e41b2-3f33-4560-8b68-5f40a5de4f49,Brown & Brown Insurance Agency of Virginia,insurance_agency,,,,,,washington-dc,VA,Manassas,20109.0,11220 Assett Loop,38.7503487,-77.5310782,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
a78869f1-9656-4441-80a3-71aabffd4146,Brown & Brown Insurance,insurance_agency,,e480ad94-ae3a-439e-9784-3173448bd00e,,commercial,commercial,fayetteville-springdale,AR,Springdale,72762.0,1479 Executive Pl,36.17255,-94.163238,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2019-12-07T18:26:21.000Z,,False
f138c27e-ec80-49a8-805b-0243c013e6d3,Brown & Brown Insurance,insurance_agency,,,,,,orlando,FL,Orlando,0.0,,28.5166893,-81.3598404,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,False
68fcccf9-3f9f-4c53-885d-af9716d4b4c0,Brown & Brown of Florida,insurance_agency,,8e12494c-8c7b-49aa-a0b8-c7d53f2efd56,,,,palm-bay-melbourne,FL,Melbourne,32901.0,100 Rialto Pl,28.0900491,-80.6250177,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-08-22T22:54:35.000Z,,False
994fbf78-574a-4bc9-ae7a-304c31001d75,Brown & Brown Community Advisor Team,insurance_agency,,5d59bf70-698a-48df-adc7-474317336e0d,,,,toledo,OH,Perrysburg,43551.0,350 Three Meadows Dr,41.5554438,-83.5988408,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2019-12-02T14:38:57.000Z,,False
921b210b-c2ac-4cbd-a929-15bd80ab8256,Brown & Brown,insurance_agency,,,,,,little-rock,AR,Little Rock,72202.0,2120 Riverfront Dr,34.7694601,-92.3075762,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
0b2c501f-eb6a-4582-b2f4-7e66bf089802,Brown & Brown,insurance_agency,,fe48e70b-b654-43ca-81a5-bebeaf8ebd63,Columbia Center,commercial,office,seattle,WA,Seattle,98104.0,"Columbia Tower Club, 701 5th Ave",47.6045356,-122.3310797,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2024-03-29T02:19:27.000Z,,False
29d6399c-7d2a-4981-8685-9d908c5faad9,Brown & Brown Body Shop,automotive_repair,"['automotive', 'professional_services']",,,,,charleston,SC,Charleston,29407.0,2085 Ashley River Rd,32.8120757,-80.0291717,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
fe1c3953-d7de-4453-85f2-68e48f805a45,Brown & Brown Insurance,insurance_agency,,,,,,charleston,SC,North Charleston,29420.0,7515 Northside Dr,32.9392265,-80.0521312,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
be9e8485-a616-4c09-aa10-2311ae84896f,Law Offices of Brown & Brown,lawyer,"['criminal_defense_law', 'divorce_and_family_law']",d13fbef5-d9b5-4858-89b2-0f9058346fd8,,commercial,commercial,los-angeles,CA,Torrance,90503.0,3848 W Carson St,33.8297057,-118.3538802,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-09-17T20:11:58.000Z,,False
c27d5d7b-abab-454b-b295-b8ccab56043d,Brown & Brown Law Offices,general_litigation,,,,,,los-angeles,CA,Torrance,90503.0,3848 W Carson St Ste 206,33.831338,-118.354462,Microsoft,2013-01-28T02:37:40.877Z,0.77,,,,False
fa302bca-01bb-4a02-a55f-61dae0253e08,Brown & Brown Dealer Services,financial_service,['insurance_agency'],,,,,daytona-beach-port-orange,FL,Daytona Beach,32114.0,300 N Beach St,29.2170416,-81.0223673,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
cb3ccc75-8300-4887-a437-e91b18ee2d99,Brown & Brown,insurance_agency,,d2363c96-4d8b-4b87-893f-c0e76dfd5fa6,,commercial,office,syracuse,NY,Syracuse,13204.0,500 Plum St,43.0554301,-76.1594704,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2022-03-25T22:43:11.000Z,,False
b1bc57cb-4e6c-4cee-ac54-8f6f4bf62443,Brown & Brown of Colorado,insurance_agency,,fbc0bc48-dcf8-4424-a1ae-276d8fd53a05,1125 17th Street,commercial,commercial,denver,CO,Denver,80202.0,1125 17th St,39.7496414,-104.9948189,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2020-05-28T03:21:45.000Z,,False
9b8baa75-54cb-4de1-81fb-3ed2ec7d0f8a,Brown & Brown Insurance of New Mexico,insurance_agency,,32f4a5b9-0a5f-426a-bf95-ad99f721a721,,,,albuquerque,NM,Albuquerque,87109.0,8100 Lang Ave NE,35.1728951,-106.5913009,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-02-08T03:47:43.000Z,,False
04fe1ca4-f34c-464d-b51d-1daaf8dbef53,Brown & Brown,insurance_agency,,af35af95-9ef4-48dd-a80d-c81d455f0086,,commercial,commercial,philadelphia,PA,Conshohocken,19428.0,125 E Elm St,40.0720759,-75.3060431,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-11-30T20:48:27.000Z,,False
3c5c0bd9-9df1-4347-8595-facf60407581,Brown & Brown Benefit Advisors,insurance_agency,,02a8f10f-4c42-4320-89c7-502e0de8a3cd,,,,philadelphia,NJ,Mt Laurel,8054.0,2000 Midlantic Dr,39.9652088,-74.914796,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2018-03-15T15:20:23.000Z,,False
70563b8b-8d19-4da7-a01c-7aeee443d437,Brown & Brown Benefit Advisors,auto_insurance,"['health_insurance_office', 'health_and_medical']",5e129d20-5593-448b-8d46-f6b56d7fe253,,commercial,commercial,philadelphia,NJ,Mount Laurel,8054.0,2000 Midlantic Dr #200,39.97304,-74.91995,Microsoft,2019-06-03T08:37:03.550Z,0.77,OpenStreetMap,2020-10-12T19:45:36.000Z,,False
be53053c-519f-4231-9076-08664f09a124,"Smith Insurance Associates, A Division of Brown & Brown Metro, LLC",insurance_agency,,4d745045-72dd-4819-b121-c6dfb64a1ffc,,,,philadelphia,PA,Spring House,19477.0,1100 N Bethlehem Pike,40.1876699,-75.2262625,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,Microsoft ML Buildings,2020-10-17T00:00:00.000Z,,False
aad2c403-599f-446e-93a6-3c416aef970b,"Brown & Brown Insurance Brokers of Sacramento, Inc.",insurance_agency,,3ca8e7ef-3dbf-42ab-b93c-7126e7b1bf33,,commercial,office,sacramento,CA,Rocklin,95765.0,6030 W Oaks Blvd,38.8107338,-121.2889617,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-03-27T18:49:02.000Z,,False
2338b027-af27-48c9-8aad-e44428d38e60,Brown & Brown Tampa,insurance_agency,,efc009fc-8e0d-453c-97b9-bfce4702e5b4,Franklin Exchange Building,commercial,office,tampa,FL,Tampa,33602.0,655 N Franklin St,27.9499275,-82.4584634,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2022-01-13T13:11:54.000Z,,False
c83f5244-730c-460f-a6aa-14ea3b113b2e,Brown & Brown,insurance_agency,,f82f7d13-8e8b-4c4b-a0df-6208ca3b2e86,,,,houston,TX,Houston,77040.0,6707 Gessner Rd,29.865122,-95.5421232,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2021-03-12T15:12:16.000Z,,False
