id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
2306720b-6b82-4aa6-a8eb-90b706e2a5e0,Cardinal Health,pharmacy,"['business', 'event_planning']",,,,,fort-worth,TX,Fort Worth,76137.0,5400 Sandshell Dr,32.8442993,-97.3085812,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,True
f4e416ff-2415-4a4f-a328-0f63c66dc41c,Cardinal Health,business,"['medical_research_and_development', 'shopping']",beec47bb-ab0e-4ccc-b1e1-4f3d97bc3645,Caradinal Health,,,springfield-massachusett-connecticut,MA,Chicopee,1020.0,2 Ludlow Park Dr,42.1798781,-72.5607634,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-09-19T02:03:13.000Z,,False
d1cc3ae1-85b0-4148-98ad-d0dd058af049,Cardinal Health 414,hospital,"['professional_services', 'shopping']",bb7a4516-a4b9-4ad2-a84f-0670d1a09633,,medical,,el-paso,TX,El Paso,79902.0,1810 Murchison Dr,31.7810662,-106.4765855,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2017-10-30T23:17:43.000Z,,False
0476cd1a-e686-4474-b3e7-d6b76fda6aea,Cardinal Health,pharmacy,"['hospital', 'health_and_medical']",0fb49ac1-f603-4a7c-9b5b-83d7e997d5b3,,,,el-paso,TX,El Paso,79906.0,1 Butterfield Trail Blvd,31.8106885,-106.4021157,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2019-11-15T18:07:11.000Z,,False
71b11123-7596-4009-9a6e-54037f487991,Cardinal Health,pharmacy,"['hospital', 'health_and_medical']",9a5f2eaf-b63c-4c30-9682-fb9a6d5f332e,,commercial,warehouse,el-paso,TX,El Paso,79936.0,1320 Don Haskins Dr,31.7228974,-106.2878317,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2015-09-28T18:03:10.000Z,,False
62a4feb6-74ba-455b-bf7c-9c85e0eeeeba,Cardinal Health,health_and_medical,"['freight_and_cargo_service', 'hospital']",,,,,charlotte,SC,Fort Mill,29708.0,460 Greenway Industrial Dr,35.0973763,-80.9473953,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
a40a57c0-4de8-430d-82a0-f35b6f8e644f,Cardinal Health,hospital,"['medical_service_organizations', 'health_and_medical']",7e71650d-8bd6-42e3-a731-e639695a4343,,,,charlotte,NC,Charlotte,28273.0,3031 Nevada Blvd,35.1196133,-80.943711,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-04-15T18:45:21.000Z,,False
86c3b204-4ee2-4b2f-970a-42ac59b0bc50,Cardinal Health Nuclear Pharmacy,pharmacy,"['hospital', 'vitamins_and_supplements']",30e707d1-b201-40c7-84c7-b50bbaacb7b8,,,,hartford,CT,East Hartford,6108.0,131 Hartland St,41.7625812,-72.6559253,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2021-09-23T08:18:16.000Z,,False
96604fe4-613f-47cc-824e-f7706b4a9a41,Cardinal Health,hospital,"['health_and_medical', 'medical_service_organizations']",8fe4e952-3022-4bad-b37e-1eb23ebcf7f2,Cardinal Health,commercial,commercial,denver,CO,Englewood,80112.0,8440 Concord Center Dr,39.5637793,-104.8318939,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2021-06-09T12:56:30.000Z,,False
1f171e1a-a423-4a02-b00d-dd616e43348d,Cardinal Health,pharmacy,"['health_and_medical', 'event_planning']",00e0b27b-e490-4a5a-8993-ccfff21697d9,,,,denver,CO,Denver,80238.0,4875 N Florence St,39.7859503,-104.8729283,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2011-08-09T14:27:58.000Z,,True
593d5124-faf8-4679-a85d-57c96d1978ab,Cardinal Health - Denver,pharmacy,"['hospital', 'health_and_medical']",229cfbf8-7009-4c43-9e0a-3e0a27a4d6a8,,industrial,industrial,denver,CO,Denver,80238.0,10400 E 48th Ave,39.783781,-104.8667951,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2019-07-25T08:19:18.000Z,,False
30562776-7179-4b5d-9816-e19e95bace66,Cardinal Health,hospital,"['health_and_medical', 'laboratory_testing']",5db40df6-0674-44f6-9580-4a3e27ae58ce,,,,cincinnati,OH,West Chester Twp,45246.0,5532 Spellmire Dr,39.302845,-84.442281,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2020-01-06T10:38:07.000Z,,False
