id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
7041c3ab-bb1a-451b-a781-1315b374cad1,"Caterpillar, Aurora",industrial_equipment,"['commercial_industrial', 'freight_and_cargo_service']",,,,,chicago,IL,Montgomery,60538.0,325 S Route 31,41.7168727,-88.3620836,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
1de26765-5a19-4ec5-9b75-565304d2171a,Caterpillar,industrial_equipment,"['professional_services', 'engineering_services']",4abf07d4-19b1-47a6-9e82-38e2ca513586,,commercial,warehouse,chicago,IL,Joliet,60436.0,2200 Channahon Rd,41.489225,-88.134282,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2018-11-19T21:52:12.000Z,,False
897565e8-12ef-489a-841c-04f7f0beb6fe,Caterpillar Cove Inc,day_care_preschool,"['home_service', 'education']",2fe2c964-38a6-4f93-aa4d-8ba2d37bb6bc,,,,chicago,IL,Chicago,60639.0,2220 N Kostner Ave,41.9214067,-87.7366364,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2012-05-06T14:17:18.000Z,,False
897565e8-12ef-489a-841c-04f7f0beb6fe,Caterpillar Cove Inc,day_care_preschool,"['home_service', 'education']",e38f374a-22cf-444b-a46d-5123704cd046,,,,chicago,IL,Chicago,60639.0,2220 N Kostner Ave,41.9214067,-87.7366364,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2012-05-06T14:17:37.000Z,,False
d8f94af1-e389-4801-8b56-666766f7dfdf,Caterpillar Care,day_care_preschool,"['home_service', 'preschool']",589a6943-d0bb-4e06-b3b0-cdbfa6cec565,,,,chicago,IL,Chicago,60622.0,1701 W Chicago Ave,41.8959399,-87.6699239,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2025-04-30T12:43:02.000Z,,False
d8f94af1-e389-4801-8b56-666766f7dfdf,Caterpillar Care,day_care_preschool,"['home_service', 'preschool']",53e073cd-3652-4418-ac49-91ad5c7de01d,,residential,apartments,chicago,IL,Chicago,60622.0,1701 W Chicago Ave,41.8959399,-87.6699239,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2024-10-22T13:20:28.000Z,,False
426b0713-8646-4c96-8dcb-067a9625703c,Caterpillar Care,day_care_preschool,"['home_service', 'optometrist']",,,,,chicago,IL,Chicago,60642.0,1001 N Milwaukee Ave,41.9001466,-87.6612976,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
2d414f10-3723-4a22-8240-702e01452366,Caterpillar,industrial_equipment,"['commercial_industrial', 'bar']",66059e14-4554-4b40-ac66-3f72dc31b16b,Madison Plaza,commercial,commercial,chicago,IL,Chicago,60606.0,200 W Madison St,41.882193,-87.634194,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2024-08-23T11:09:09.000Z,,False
67657739-ea65-4b8b-a48d-7fcde025ed72,Caterpillar Care,day_care_preschool,['social_service_organizations'],117f77ef-ae4c-4b67-8bca-f7508f5d11aa,Optima Center Chicago,commercial,commercial,chicago,IL,Chicago,60611.0,505 N Saint Clair St,41.8910878,-87.6223978,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-04-05T15:41:21.000Z,,False
8581fcea-96f2-4c94-ad2d-5e993758c196,Caterpillar Inc.,event_planning,"['industrial_equipment', 'commercial_industrial']",fbe0cc43-c48c-4bc5-953d-2dd744295785,,commercial,office,chicago,IL,Deerfield,60015.0,510 Lake Cook Rd,42.155669,-87.8409071,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2020-08-24T07:05:11.000Z,,True
