id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
5e414f93-931c-4ffb-9f16-22c0f4bd75e6,"Colgate Park, Dundalk",park,,f7c7e379-dd65-46da-b651-296b04aee229,,residential,residential,baltimore,MD,Dundalk,0.0,,39.261825,-76.5279992,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2014-08-19T05:07:52.000Z,,False
579b6167-98d7-491e-85c9-9188e4caa2b9,Colgate Recreation Area,park,"['sports_and_recreation_venue', 'active_life']",,,,,baltimore,,,21224.0,,39.2973883,-76.5204097,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
4a2437f1-81d4-446e-a3e2-d7ebf35e1c30,Colgate Recreation Council,printing_services,"['public_and_government_association', 'park']",dfda5568-9d3f-4e9c-bef7-8f4f7c5aa5ea,,education,school,baltimore,MD,Baltimore,21224.0,401 51st St,39.2944376,-76.5184348,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2023-08-09T13:45:45.000Z,,False
591388ef-b7c2-4a53-9c5c-59bbdf23b969,Colgate Elementary School,elementary_school,"['education', 'public_school']",,,,,baltimore,MD,Baltimore,21224.0,7735 Gough St,39.2950891,-76.5185095,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
1332552d-2f01-4a67-8d33-5d408554e14b,Colgate Park,active_life,"['attractions_and_activities', 'sports_club_and_league']",79f3ccf8-2625-49a6-b108-6ff2ef4ee699,,residential,residential,baltimore,,,21224.0,Baltimore St,39.297104,-76.519767,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2014-08-19T02:48:28.000Z,,False
d83fa011-a99d-4ec8-9ffb-dba1fe2a71f3,Colgate-Palmolive,heliports,"['travel', 'beauty_salon']",fd28efc6-bb8b-46d9-a512-2bd6da068e13,,,,philadelphia,NJ,Burlington,8016.0,400 Elbow Ln,40.0362278,-74.8433904,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2021-11-26T04:24:54.000Z,,False
9d37290e-6f12-4747-8ecf-8990d160fd12,Colgate-Palmolive,storage_facility,"['freight_and_cargo_service', 'pub']",,,,,greenville,SC,Greenville,29611.0,2721 White Horse Rd,34.8017688,-82.4325877,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,False
ff48ef93-6e9a-43c2-98fd-f50fe20717d1,Colgate Heating Corporation,hvac_services,"['contractor', 'commercial_industrial']",,,,,buffalo,NY,Buffalo,14220.0,142 Colgate Ave,42.8402334,-78.8274097,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
a6e8c03f-3ceb-4744-9120-2246ac6a094b,Stephanie Colgate-Thrivent,financial_service,,b0847565-68de-4e1c-8a47-f6b45aacbd47,,commercial,office,colorado-springs,CO,Colorado Springs,80920.0,2060 Briargate Pkwy,38.96596,-104.79037,meta,2025-06-02T07:00:00.000Z,0.672566371681416,OpenStreetMap,2024-03-26T20:59:02.000Z,,False
ff003dc3-f096-4b12-a3d7-d2a0320090b2,Colgate Pamolive,grocery_store,['pub'],0d77539b-5902-400b-ae7b-566fada9e6f7,,,,new-haven,CT,Norwalk,6853.0,9 Old Field Pl,41.07577,-73.43219,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2020-12-14T20:59:55.000Z,,False
