id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
2732dc8b-582c-4611-bdf7-6154a0fb2e07,Clorox Co H Q The,commercial_industrial,['industrial_equipment'],8b8a4547-ca74-472a-ae5c-84f1e0341c2d,Clorox Building,,,san-francisco,CA,Oakland,94612.0,1221 Broadway,37.80348,-122.27237,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2019-01-29T18:52:47.000Z,,False
fd630a89-9a6d-4304-88ad-cdd35d4b7590,The Clorox Company,professional_services,,bad26ee3-abb0-4303-b469-faf1dc08b72f,,commercial,warehouse,atlanta,GA,Fairburn,30213.0,1595 Oakley Industrial Blvd,33.530063,-84.5989647,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2021-08-25T12:51:06.000Z,,True
03aee294-7c57-4196-bd1c-76d46d9e7bde,Clorox Services Company,professional_services,"['event_photography', 'chemical_plant']",bad26ee3-abb0-4303-b469-faf1dc08b72f,,commercial,warehouse,atlanta,GA,Fairburn,30213.0,1595 Oakley Industrial Blvd,33.530091,-84.598956,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2021-08-25T12:51:06.000Z,,False
501809e6-7c8b-4e25-b561-336820e039ac,Clorox,freight_and_cargo_service,['storage_facility'],f3177927-fce5-4f2f-aef1-cd1c3448fba7,,commercial,warehouse,atlanta,GA,East Point,30344.0,4909 N Commerce Dr,33.6375009,-84.5012615,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2022-06-29T18:05:18.000Z,,False
9762d7d5-1224-4bf9-b911-1380435cb652,The Clorox Company,industrial_company,"['chemical_plant', 'commercial_industrial']",,,,,atlanta,GA,Forest Park,30297.0,17 Lake Mirror Rd,33.6276092,-84.3874048,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,True
37ffd16b-3abf-43dc-8723-a254ac2cd46f,Clorox Company Alpharetta,event_planning,"['chemical_plant', 'professional_services']",0d6192e5-3ea1-4dcd-9e3a-8d264d58817f,,,,atlanta,GA,Alpharetta,30022.0,3655 Brookside Pkwy,34.063542,-84.255472,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2021-12-22T12:38:36.000Z,,True
6d2a8389-7d97-4092-a37b-6d48460e939f,Clorox,wholesale_store,"['freight_and_cargo_service', 'commercial_industrial']",ed93f98d-29fd-4b83-9c22-549cd76b39bd,,industrial,industrial,chicago,IL,University Park,60449.0,2400 W Dralle Rd,41.442941,-87.734658,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
17208002-53c9-4e30-9be4-6b5611550b28,Clorox Company Distribution Center,park,"['travel', 'freight_and_cargo_service']",37f0a912-0d1c-4e7a-82b5-b8a7605f73e7,,commercial,warehouse,chicago,,,60484.0,"South Suburbs, 2400 Dralle Rd",41.4433013,-87.7363627,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2020-09-26T15:03:57.000Z,,False
41900e50-0a23-4172-afd9-668625b0f202,Clorox Products Manufacturing Co.,chemical_plant,"['metal_fabricator', 'commercial_industrial']",786d4f94-093f-4d5a-b22d-8d2edf5224fb,,,,tampa,FL,Tampa,33605.0,3601 E Columbus Dr,27.966554,-82.419064,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2021-05-12T15:59:37.000Z,,False
2732dc8b-582c-4611-bdf7-6154a0fb2e07,Clorox Co H Q The,commercial_industrial,['industrial_equipment'],8b8a4547-ca74-472a-ae5c-84f1e0341c2d,Clorox Building,,,oakland,CA,Oakland,94612.0,1221 Broadway,37.80348,-122.27237,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2019-01-29T18:52:47.000Z,,False
c4b45ba5-e8fc-4a29-a362-9f3495f5397e,Clorox,chemical_plant,,49d0818d-bc37-4bc8-98d5-10d054747c8f,,,,oakland,,,0.0,,37.8314801,-122.2833252,meta,2025-06-02T07:00:00.000Z,0.3313953488372093,OpenStreetMap,2022-12-11T23:45:22.000Z,,False
75f19a53-90c3-413c-b548-accaa6c0d4e8,Clorox,freight_and_cargo_service,"['commercial_industrial', 'dry_cleaning']",91c3e3e3-e85b-4554-8dbf-98af79621400,,commercial,warehouse,riverside-san-bernardino,CA,Redlands,92374.0,2300 W San Bernardino Ave,34.0796528,-117.2350729,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-01-26T01:30:53.000Z,,False
f5426895-90c0-4651-af12-4e969e913c17,Clorox Products Manufacturing Co,chemical_plant,"['industrial_equipment', 'freight_and_cargo_service']",0467b088-86ba-4ca2-8426-a92ca66dd764,Clorox Chemical Co.,industrial,manufacture,houston,TX,Houston,77020.0,5822 Armour Dr,29.757285,-95.3077734,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-07-07T01:35:33.000Z,,False
