id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
58697f96-58e5-4a8d-8ed7-b357a094f303,Centene Medicare San Antonio,hospital,"['health_and_medical', 'dentist']",367d3437-ac19-4d78-bc5d-6ef2e151504b,One51,commercial,office,san-antonio,TX,San Antonio,78251.0,10130 TX-151,29.446163,-98.681093,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2018-06-30T01:17:24.000Z,,False
0bed9e15-0ab8-46b5-9752-df9005598d32,Centene Corporation,financial_service,['insurance_agency'],b0dd4570-3789-47f7-b4f7-3c0611a42380,,commercial,office,san-antonio,TX,San Antonio,78230.0,7990 W Interstate 10,29.513026,-98.554161,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2016-01-25T04:12:07.000Z,,True
2e310dc2-802c-469c-8a90-b4ad5b418746,Centene Corporation,hospital,['insurance_agency'],0e3517c9-07c9-47e4-9a61-bd39cbd2fc53,,commercial,commercial,atlanta,GA,Atlanta,30339.0,1100 Circle 75 Pkwy SE,33.889643,-84.465497,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2017-04-14T19:47:49.000Z,,True
31b50ff3-0596-4b05-8ea3-5a83c0561df6,Centene Mhs Plainfield,insurance_agency,['hospital'],85c17950-51dc-422a-ada9-cd57082e777d,,,,indianapolis,IN,Plainfield,46168.0,2601 Metropolis Pkwy,39.705922,-86.352974,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2013-11-07T19:01:18.000Z,,False
e63d5136-60c8-4a13-9838-e7228bbd8da3,Centene,professional_services,"['health_department', 'cafe']",ffe3bd8e-592c-4255-965a-1693e53db7f5,,,,st-louis,MO,Chesterfield,63017.0,1390 Timberlake Manor Pkwy,38.648202,-90.529292,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,Microsoft ML Buildings,2022-08-25T00:00:00.000Z,,False
d56e0a39-cb11-44cb-95dc-e7af693c4094,Centene,health_department,['insurance_agency'],4c3ced6a-fdf0-4c2f-a64d-6c2a642b6d49,,,,st-louis,MO,Chesterfield,63017.0,400 S Woods Mill Rd,38.645441,-90.511969,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2020-01-01T08:08:47.000Z,,False
03fa968f-f077-47cd-93d0-71c082b77db4,Centene Stadium,stadium_arena,"['park', 'high_school']",,,,,st-louis,MO,St Louis,63105.0,305 Gay Ave,38.6568858,-90.3521886,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
8fce1255-159d-4efd-9632-b93c2645c719,Centene Corporation,insurance_agency,['surgical_appliances_and_supplies'],405220fe-0772-4a23-a5a0-70e89c5c1c57,,,,st-louis,MO,St Louis,63144.0,1243 Hanley Industrial Ct,38.6229702,-90.3385222,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2018-10-18T22:49:37.000Z,,True
b5173d20-bed4-4e04-a0af-3ed694f2c061,Centene Corporation,medical_service_organizations,"['parking', 'naturopathic_holistic']",6627f317-b5f3-48bd-b627-30921e5720b5,Centene Corporation,commercial,commercial,st-louis,MO,Clayton,63105.0,"UMB Bank, 7700 Forsyth Blvd",38.6496041,-90.3346028,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2018-08-29T02:40:59.000Z,,True
3cfc4007-ac13-406d-94af-121b830500ca,Centene Center For The Arts,cultural_center,"['theatre', 'topic_concert_venue']",fbcca816-7601-4458-85dc-0273b0836620,Centene Center for Arts and Education,,,st-louis,MO,St Louis,63103.0,3547 Olive St,38.6378885,-90.2312664,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-07-30T05:09:24.000Z,,False
349a5524-b84a-4f5a-91c5-d5be620fa63b,Centene Corporation,insurance_agency,"['financial_service', 'laboratory_testing']",09b980fc-b290-4591-aede-9ba03891098a,,,,st-louis,MO,St Charles,63304.0,6430 Weldon Spring Rd,38.719952,-90.69387,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2018-12-13T00:54:07.000Z,,True
d95efbc8-3bc4-4c21-9bea-9567d5eed0b2,Centene Community Ice Center,ice_skating_rink,"['hockey_arena', 'stadium_arena']",6509b533-0be7-4b71-a63b-509ba98b163a,,,,st-louis,MO,Maryland Heights,63043.0,750 Casino Center Dr,38.7498181,-90.4772568,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-03-24T17:50:47.000Z,,False
89a106f5-c514-4d0b-baa6-a7ccb1c6ff1e,Centene's Ferguson Service Center,health_and_medical,"['professional_services', 'bar']",612609f8-983e-4e76-aee3-b332e2af18b8,Centene Corporation,,,st-louis,MO,St Louis,63136.0,2900 Pershall Rd,38.7695218,-90.2676962,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2019-08-28T16:19:31.000Z,,False
e52e319c-1cae-4f68-be54-44663da0d784,Centene corporation,professional_services,['real_estate'],886500c6-d86f-4c91-8f78-185c94e8632d,,industrial,industrial,tucson,AZ,Tucson,85714.0,2802 E District St,32.1402533,-110.91711,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-03-26T18:44:05.000Z,,True
c3d64b1c-44a6-4920-9cfc-ff965d070eb7,Centene Corporation,real_estate,"['real_estate_agent', 'property_management']",,,,,tucson,AZ,Tucson,0.0,,32.2885071,-110.9667447,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,True
60071b2c-d05f-4907-aaf5-363097333fae,Centene Corporation,insurance_agency,['laboratory_testing'],d309303d-f948-499f-a03e-f1117204a3fc,,,,lafayette,LA,Lafayette,70508.0,825 Kaliste Saloom Rd,30.17988,-92.021028,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2019-02-16T13:39:32.000Z,,True
7a21e366-1cb0-4c61-bc87-b2def3ad4412,Centene Corporation Lafayette,professional_services,['financial_service'],567f2572-97c9-4497-a8bc-70020f517298,LHC Group,commercial,office,lafayette,LA,Lafayette,70508.0,901 S Hugh Wallis Rd,30.19442,-92.00224,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2024-12-13T05:02:34.000Z,,True
521bd301-16b8-40fe-ab8a-a8f7322e5245,Centene Corporation,professional_services,['bar'],78319667-f601-437d-a222-2871c2633029,,commercial,retail,chicago,IL,Naperville,60563.0,1255 Bond St,41.789264,-88.202859,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2024-06-01T03:20:28.000Z,,True
2fefa8a0-6107-47a3-9be0-14b47d94c7d6,Centene,professional_services,"['laboratory_testing', 'gym']",eb5f8a92-2b7f-4456-934c-e4b15102be96,,transportation,parking,chicago,IL,Westmont,60559.0,999 Oakmont Plaza Dr,41.818372,-87.954385,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2019-05-22T19:32:30.000Z,,False
21c2d837-361d-46c1-98d7-a71c86abc324,Centene,professional_services,['real_estate'],5085a7ad-abb1-49d9-8862-207a628f35ef,77 West Wacker,commercial,office,chicago,IL,Chicago,60601.0,77 W Wacker Dr,41.886516,-87.630638,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2023-05-31T02:43:35.000Z,,True
daae13bf-8b7d-4b90-be94-d46f740f43d8,Centene,health_and_medical,['insurance_agency'],caeb1bb3-ac8a-4b6b-bc7c-1ec7750ad4a4,,,,austin,TX,Austin,78741.0,5900 E Ben White Blvd,30.2163485,-97.7157851,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2015-11-26T04:19:02.000Z,,False
55b1817e-75d4-497c-8631-f7a15e742324,Centene Corp,marketing_agency,['professional_services'],1d83d95c-6432-4fda-a257-5447fabbcf0f,,commercial,commercial,orlando,FL,Orlando,32819.0,8427 South Park Cir,28.4417251,-81.4208134,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2017-01-26T14:03:55.000Z,,False
60453dab-c0ab-4f5a-b0d9-db17625cdc68,Centene Corporation,hospital,"['health_and_medical', 'laboratory_testing']",88bf9037-7b7c-4e22-9587-f70f0dee830d,,,,orlando,FL,Maitland,32751.0,495 N Keller Rd,28.6305869,-81.40038,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2014-04-03T01:36:56.000Z,,True
ce78ffe9-7f1b-442a-8c2b-0230f76a2ffe,Centene Centurion,hospital,,6ecf5fdf-c8ab-47f1-b914-fe3aa522f1f3,,,,nashville-davidson,TN,Nashville,37214.0,53 Century Blvd,36.1472334,-86.6828964,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2018-12-12T17:25:11.000Z,,False
e8d677ad-3fcb-4af7-9fd4-db589c9d5419,Centene,insurance_agency,,4b08f561-bb45-4510-8bba-917970cac1f4,,,,sacramento,CA,Rancho Cordova,95670.0,12033 Foundation Pl,38.6273625,-121.2268683,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2021-09-30T20:02:05.000Z,,False
d087703a-3bb9-4c72-a8ec-b0695f36f677,Centene,professional_services,"['health_and_medical', 'insurance_agency']",1d6bb116-f467-4970-8257-6f0c8925baf6,,,,phoenix,AZ,Tempe,85282.0,1501 W Fountainhead Pkwy,33.4028619,-111.9629141,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2024-05-27T05:24:04.000Z,,False
3f79c75b-9e03-4272-acff-b62e17cb02d6,Centene-Tempe,insurance_agency,"['fast_food_restaurant', 'restaurant']",041ac405-9607-4960-acf7-cdf8e5d99c97,,commercial,commercial,phoenix,AZ,Tempe,85281.0,1870 W Rio Salado Pkwy,33.431901,-111.9651159,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2023-12-14T15:08:26.000Z,,False
76fe4b47-8872-4c16-9d23-13f6565df04f,Centene Corporation,business,"['laboratory_testing', 'investing']",2086f043-7320-4092-9d28-b34fe5d837a3,,,,tampa,FL,Tampa,33634.0,5130 Sunforest Dr,27.994284,-82.546975,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2017-09-09T20:27:11.000Z,,True
f7241859-ba35-4648-a4aa-ef488ac82012,Centene Sshp-Sawgrass,insurance_agency,"['public_service_and_government', 'professional_services']",cd0e4079-781e-4692-8a03-2b7cdce16dfb,,,,miami,FL,Sunrise,33323.0,1550 Sawgrass Corporate Pkwy,26.140452,-80.33926,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2015-06-09T22:14:30.000Z,,False
8a6e4c3c-ec61-4fe5-9dc7-5efc0df12fb9,Centene Corporation,professional_services,['insurance_agency'],,,,,miami,FL,Sunrise,33323.0,1560 Sawgrass Corporate Pkwy,26.1415021,-80.3400507,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,True
