id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
c1872c30-8d82-4010-ae4a-90dca283e600,Copart - Houston East,auto_manufacturers_and_distributors,"['b2b_autos_and_vehicles', 'car_auction', 'automotive', 'business_to_business']",,,,,houston,TX,Houston,77049.0,15706 Beaumont Highway Bldg 1,29.8556449,-95.1566985,Microsoft,2022-05-17T20:56:15.267Z,0.77,,,,False
aac1608c-2de7-42cf-b221-15cdde74d6ce,Copart,auction_house,"['automotive', 'automotive_parts_and_accessories']",86c764ee-3295-4f92-b85b-6a695fe33208,Copart,,,houston,TX,Houston,77073.0,1655 Rankin Rd,29.9686345,-95.3735963,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2016-11-08T09:46:19.000Z,,False
7c81efcd-120c-48a2-9588-e93cef216d87,Copart - Cleveland West,car_auction,['automotive'],,,,,cleveland,OH,Columbia Station,44028.0,34417 E Royalton Rd,41.310607,-81.98545,Microsoft,2017-12-28T19:39:24.447Z,0.77,,,,False
b44a5c0f-1236-4382-8d81-bca7845a009e,Copart Salvage Auto Auctions,auction_house,['professional_services'],baf58eb5-cf08-4dd4-a3c1-f7115e583100,,,,cleveland,,,44044.0,12291 S Reed Rd,41.3129154,-81.9839045,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,Microsoft ML Buildings,2020-10-14T00:00:00.000Z,0.9994999766349792,False
da64cac6-e683-4d0a-ba90-53891663eeb6,Copart - Cleveland West,car_auction,['automotive'],,,,,cleveland,OH,Columbia Station,44028.0,34417 E Royalton Rd,41.3135646,-81.983966,Microsoft,2022-03-31T18:55:52.763Z,0.77,,,,False
88d9af69-edd8-4609-bd47-2d2b1c6f2a3e,Copart Rancho Cucamonga,auction_house,"['automotive_dealer', 'automotive_parts_and_accessories']",96f6771f-c3f0-4312-9f16-016dbc1c203e,,commercial,commercial,riverside-san-bernardino,CA,Rancho Cucamonga,91739.0,12167 Arrow Rte,34.0966556,-117.5384019,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2016-10-02T21:24:28.000Z,,False
ff2b2b39-007a-4a1d-8fe3-42f0e2a579cf,Copart San Bernardino,auction_house,"['automotive_parts_and_accessories', 'automotive_repair']",,,,,riverside-san-bernardino,CA,Colton,92324.0,1203 S Rancho Ave,34.0498627,-117.33175,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
7694bca8-1bc9-4310-8a93-a0cd4f0cb1e9,Copart Inc,automotive_repair,"['car_dealer', 'automotive']",,,,,hartford,CT,Berlin,6037.0,525 Christian Ln,41.644199,-72.7515655,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,False
49566b30-ba5d-4e6f-bc78-b1273298c42d,Copart - Hartford,auto_manufacturers_and_distributors,"['b2b_autos_and_vehicles', 'car_auction', 'automotive', 'business_to_business']",,,,,hartford,CT,New Britain,6051.0,138 Christian Ln,41.6512828320265,-72.7517504990101,Microsoft,2017-12-28T19:39:24.447Z,0.77,,,,False
065d12de-9be7-41b5-ae30-8827f56a876b,Copart,auction_house,"['shopping', 'automotive_repair']",20d755b1-bc52-4734-bc0c-6f4f391e43f1,,,,hartford,CT,New Britain,6051.0,138 Christian Ln,41.6505591,-72.7506739,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-06-12T07:19:47.000Z,,False
305d4baf-5560-4269-a352-4f3165f38c58,Copart,auction_house,"['automotive_repair', 'automotive_dealer']",,,,,tucson,AZ,Tucson,85706.0,5600 S Arcadia Ave,32.1499989,-110.8882667,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
e5b46c4c-ff64-4cad-a7ae-2d86b21ff25b,Copart - Pittsburgh West,auto_manufacturers_and_distributors,"['b2b_autos_and_vehicles', 'car_auction', 'automotive', 'business_to_business']",,,,,pittsburgh,PA,West Mifflin,15122.0,1451 Lebanon School Rd Bldg 1,40.3425823,-79.9009199,Microsoft,2022-05-17T20:56:15.267Z,0.77,,,,False
94410e99-df40-4822-8690-d14eff0215d8,Copart,auction_house,"['automotive_repair', 'car_dealer']",8416719b-040a-4af7-8cd1-d888dd30228d,,,,pittsburgh,PA,West Mifflin,15122.0,526 Thompson Run Rd,40.3672633,-79.8939121,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-10-25T10:28:58.000Z,,False
717008d7-cae0-474b-9d1f-7e1b704bcdd6,Copart,auction_house,"['automotive_dealer', 'automotive']",c4e7f29f-bc55-4713-bbce-4226e9ca5cc0,,,,memphis,TN,Memphis,38118.0,5545 Swinnea Rd,35.0009129,-89.9726379,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,Microsoft ML Buildings,2023-03-05T00:00:00.000Z,0.9919999837875366,False
