id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
bf3d556d-0c4b-4ed8-b8c2-8d0d772989dc,CoStar Group,corporate_office,['private_establishments_and_corporates'],CA,Sacramento,95814.0,621 Capitol Mall Ste 2550,38.5782779,-121.4993192,Microsoft,2018-08-14T20:44:49.547Z,0.77,,,,,,,,sacramento,True
4deef61d-5923-48ef-b1e2-21d98b28296b,CoStar Group,corporate_office,['private_establishments_and_corporates'],AZ,Tucson,85716.0,701 N Swan Rd,32.2309428,-110.8925716,Microsoft,2019-09-02T17:45:04.353Z,0.77,,,,,,,,tucson,True
4f90b235-cef9-4585-86b8-8ac52e946667,CoStar Group,corporate_office,['private_establishments_and_corporates'],KS,Overland Park,66210.0,7500 College Blvd 5th Fl,38.9289992,-94.6735495,Microsoft,2019-09-02T17:45:04.353Z,0.77,,,,,,,,kansas-city,True
e9a84f6b-5c90-4511-9cb6-c2142fdfa18a,CoStar Group,corporate_office,['private_establishments_and_corporates'],MO,Kansas City,64112.0,4801 Main St Ste 300,39.0394565,-94.5871063,Microsoft,2018-08-14T20:44:49.923Z,0.77,,,,,,,,kansas-city,True
346edc96-df7e-4422-934b-5bea6b82c413,CoStar Group,corporate_office,['private_establishments_and_corporates'],UT,Salt Lake City,84111.0,215 S State St Ste 525,40.7644253,-111.8881621,Microsoft,2018-08-23T23:28:13.870Z,0.77,,,,,,,,salt-lake-city,True
6b2737ed-a086-43e9-8dd1-9bff5d76894c,CoStar Group,real_estate,"['real_estate_service', 'real_estate_agent']",FL,Miami,33131.0,1450 Brickell Ave,25.7587806,-80.1932716,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,7c4eef9f-5d5d-47eb-a3e4-fbe34612365f,1450 Brickell,,,OpenStreetMap,2022-10-21T00:43:51.000Z,,miami,False
418385a1-25a1-4e61-bdf0-d9052dfabd4f,CoStar Group,corporate_office,['private_establishments_and_corporates'],TX,Houston,77056.0,1300 Post Oak Blvd Ste 1545,29.7531204,-95.4603347,Microsoft,2019-09-02T17:45:04.353Z,0.77,b38d54b1-fd26-4ee7-8a4d-7481c94c03b6,Wells Fargo Tower,commercial,commercial,OpenStreetMap,2019-05-16T03:22:21.000Z,,houston,True
4ed4dea6-51ba-4def-bd86-e92e71519b51,CoStar Group,corporate_office,['private_establishments_and_corporates'],TX,Houston,77056.0,1300 Post Oak Blvd Ste 1545,29.7527324,-95.4599307,Microsoft,2018-08-23T23:28:13.870Z,0.77,,,,,,,,houston,True
37b7417d-71e5-4a50-b1e8-14c97be2a53f,CoStar Group,corporate_office,['private_establishments_and_corporates'],GA,Atlanta,30305.0,3333 Piedmont Rd NE Ste 200,33.8458489,-84.3724704,Microsoft,2018-08-23T23:28:13.870Z,0.77,,,,,,,,atlanta,True
efd469dd-ec38-4086-a1f8-a28f2e9c84c7,CoStar Real Estate Manager,professional_services,"['software_development', 'real_estate']",GA,Atlanta,30326.0,3438 Peachtree Rd NE,33.8529662,-84.3642493,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,ca6c0ab9-e503-4ce3-b1fe-ef77936416c4,,transportation,parking,OpenStreetMap,2023-06-21T23:35:06.000Z,,atlanta,True
