id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
16d4c90a-09f7-465e-9b8d-3d85de9b630b,Dominion Energy Ohio,public_utility_company,"['public_service_and_government', 'electric_utility_provider']",909335cd-ed91-4216-98c4-838e39116c8f,,,,akron,OH,Akron,44314.0,1000 W Wilbeth Rd,41.038863,-81.563776,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,Microsoft ML Buildings,2020-09-21T00:00:00.000Z,,False
278ade82-42fe-408f-88c3-943dd1419061,Dominion Energy Virginia,public_utility_company,"['electric_utility_provider', 'energy_company']",506f088d-4b46-485c-b938-507b5cee65a8,,,,virginia-beach,VA,Virginia Beach,23462.0,4901 Princess Anne Rd,36.822298,-76.15308,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2022-11-02T09:49:25.000Z,,False
533109ab-6964-4cdf-8fb4-2819f46fbe10,Dominion Energy Virginia,electricity_supplier,['utility_service'],,,,,virginia-beach,VA,Norfolk,23509.0,2749 Cromwell Dr,36.8804157052687,-76.2547661135542,Microsoft,2023-08-30T18:11:28.303Z,0.77,,,,False
a643e899-60fe-458a-9534-8f5562185a8f,Dominion Energy Management,professional_services,"['solar_installation', 'energy_company']",ae8fed92-00e0-4010-a57c-376ad9671da7,,commercial,commercial,virginia-beach,VA,Virginia Beach,23462.0,4445 Corporation Ln,36.8470438,-76.1264471,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2016-03-07T21:47:49.000Z,,False
c320bcab-7ca5-430b-b7cd-9af9937b61d6,Dominion Energy Charity Classic,active_life,,7b61d7f7-276a-45e7-89ae-98b793a83877,,,,richmond,VA,Henrico,23238.0,709 S Gaskins Rd,37.5726501,-77.613964,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,OpenStreetMap,2019-07-26T07:34:11.000Z,,False
9a15685e-7aa5-4027-b462-ef901f0a9e9d,Dominion Energy Virginia,electric_utility_provider,"['public_utility_company', 'energy_company']",c90c76c8-ebc3-4a5e-ad55-15701741e6f8,,,,richmond,VA,Richmond,23219.0,120 Tredegar St,37.533782,-77.4537118,meta,2025-06-02T07:00:00.000Z,0.8980891719745223,OpenStreetMap,2025-03-23T02:14:53.000Z,,False
62de59cb-c425-43cb-af70-388c19165d65,Dominion Energy,electricity_supplier,['utility_service'],,,,,richmond,VA,Richmond,23219.0,120 Tredegar St,37.53359,-77.45225,Microsoft,2019-06-09T20:58:27.190Z,0.77,,,,False
9740d63d-6432-4af8-993e-515ce9005371,Dominion Energy Solutions,energy_equipment_and_solution,"['home_security', 'professional_services']",fa29c6fc-e958-42d7-a093-27b7ddb3a9c7,,residential,garage,richmond,VA,Richmond,23219.0,600 E Canal St,37.538283,-77.4400975,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,OpenStreetMap,2025-03-23T02:15:24.000Z,,False
f6fd7d9c-0769-48da-86c9-f266d89db49c,Dominion Energy Center,theatre,"['music_venue', 'topic_concert_venue']",e4cf2c64-c5f0-4457-b238-e393dc63ad90,Dominion Energy Center,entertainment,,richmond,VA,Richmond,23219.0,600 E Grace St,37.5416015,-77.4370617,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2025-03-23T02:14:53.000Z,,False
9595d5be-6a61-4357-b4ee-bb2defaa88e3,Dominion Energy Christmas Parade,arts_and_entertainment,"['attractions_and_activities', 'community_services_non_profits']",f3011c1b-9f60-443d-983e-219d0e5d5d9c,Science Museum of Virginia,entertainment,,richmond,VA,Richmond,23220.0,2500 W Broad St,37.5615772,-77.4660523,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2025-03-23T02:14:56.000Z,,False
