id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
a52a5574-38bd-416c-a219-2b27afe2ce31,John Deere,recreational_vehicle_dealer,"['outdoor_gear', 'automotive']",AZ,Chandler,85225.0,197 W Warner Rd,33.3345476,-111.8436704,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,8f5697e1-bae8-4634-8c86-6ae83c0d5ef5,Stotz Equipment,,,OpenStreetMap,2023-07-18T21:06:22.000Z,,phoenix,False
8de41ab4-ecd8-4566-a764-a84620e55e22,John Deere,recreational_vehicle_dealer,['automotive'],AZ,Gilbert,85233.0,1313 E Baseline Rd,33.3777623,-111.8033439,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,e2526714-cfb3-4fcf-983f-e772e73ddfd4,A To Z Equipment Rentals & Sales,,,OpenStreetMap,2023-01-16T22:49:12.000Z,,phoenix,False
474cbafc-47f5-435d-816a-f4aabef2f158,John Deere,recreational_vehicle_dealer,['automotive'],AZ,Avondale,85392.0,11111 W McDowell Rd,33.4634622,-112.2994366,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,d2e04931-7d19-41e0-9853-2d3f3d038220,,,,OpenStreetMap,2024-05-29T20:22:51.000Z,,phoenix,False
bd3f864c-8f7e-4682-b108-169b80faf2d1,John Deere,recreational_vehicle_dealer,['automotive'],AZ,Phoenix,85018.0,4050 E Indian School Rd,33.4958397,-111.9935708,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,,,,,phoenix,False
9f7e4f1c-6f85-466e-a886-84a2e0f5e29b,John Deere,recreational_vehicle_dealer,['industrial_company'],AZ,Phoenix,85032.0,15634 N 32nd St,33.6293772,-112.014023,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,63217627-e147-4049-9e6a-3d8c5e08fc59,,,,OpenStreetMap,2019-12-10T06:53:04.000Z,,phoenix,False
ba0ce5d1-090d-4964-8791-34c4e5dfd6c4,John Deere,recreational_vehicle_dealer,['industrial_company'],IN,Fort Wayne,46804.0,5612 Illinois Rd,41.0752503,-85.2144312,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,06e13616-d090-43ea-bc48-243d26b0f9d1,,,,OpenStreetMap,2018-09-22T03:46:20.000Z,,fort-wayne,False
7509082a-923d-43eb-b1e0-076683d3d719,John Deere,recreational_vehicle_dealer,['department_store'],IN,Fort Wayne,46818.0,7734 Lima Rd,41.1510287,-85.1638872,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,198be5d2-288d-43c5-82fd-0252c7502be2,Mutton Center,commercial,retail,OpenStreetMap,2016-12-08T16:20:17.000Z,,fort-wayne,False
71a03377-92a9-46ca-9714-c6c293d59c17,John Deere,automotive,['industrial_company'],TX,Katy,77494.0,28715 KATY-BROOKSHIRE ROAD,29.7855792,-95.8694179,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,4e9d446b-3077-4b4d-bfea-e4768d3f356f,,,,Microsoft ML Buildings,2023-09-01T00:00:00.000Z,0.9940000176429749,houston,False
bab5f8ab-af40-4242-9791-de9f3bcfc2a5,John Deere,recreational_vehicle_dealer,['industrial_company'],TX,Hockley,77447.0,33400 US-290,30.0198953,-95.8161428,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,e5026e93-07e8-465d-934e-dbe939a2243f,,,,OpenStreetMap,2020-10-05T09:10:02.000Z,,houston,False
65520740-441a-44af-bf95-cb932d3506ee,John Deere,recreational_vehicle_dealer,"['outdoor_gear', 'automotive']",TX,League City,77573.0,2135 Gulf Fwy S,29.4850809,-95.1043155,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,b66a8186-c829-46d3-a4fa-e2c0db0a0396,Brookside Equipment Sales,commercial,retail,OpenStreetMap,2021-10-29T22:04:59.000Z,,houston,False
989232e2-103b-4ef1-9785-40a6d32907d6,John Deere,recreational_vehicle_dealer,['automotive'],TX,Houston,77031.0,11700 W Sam Houston Pkwy S,29.650328,-95.5450819,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,77016948-3bcb-42a6-9aa5-d3b2376d6b30,,,,OpenStreetMap,2021-05-03T18:36:44.000Z,,houston,False
39cb485c-563e-4374-b558-40d780620336,John Deere,recreational_vehicle_dealer,['grocery_store'],TX,Houston,77017.0,7707 Mosley Rd,29.6577256,-95.2523938,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,,,,,houston,False
4319e344-957d-43c1-adfe-4e910f989eec,John Deere,recreational_vehicle_dealer,"['automotive', 'industrial_company']",TX,Houston,77041.0,13250 West Rd,29.8989637,-95.6025101,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,e0cc16f1-cf6e-47b3-855f-5fc6802f3bbb,John Deere Tractor,commercial,retail,OpenStreetMap,2015-09-19T04:13:45.000Z,,houston,False
fa2eb37d-e08d-4aa3-b8e6-1e1e2785cd67,Doggett | John Deere - Houston,industrial_equipment,"['b2b_machinery_and_tools', 'rental_services', 'hydraulic_equipment_supplier', 'real_estate_service', 'business_equipment_and_supply', 'business_to_business']",TX,Houston,77037.0,9111 North Fwy,29.8928386,-95.41353,Microsoft,2019-12-21T04:19:09.683Z,0.77,5828c2d5-629b-4f0b-b2b9-13eb683d5527,,,,OpenStreetMap,2024-01-27T04:31:12.000Z,,houston,False
