id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
f254b735-cca3-4abb-aeb0-f946be7ac48d,Ecolab Engineering Center,engineering_services,"['chemical_plant', 'business_manufacturing_and_supply']",MN,Eagan,55121.0,940 Lone Oak Rd,44.8468735,-93.1365355,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,027d0b11-cdd1-401a-9fad-17d862d9eba8,,,,OpenStreetMap,2016-11-04T06:21:39.000Z,,minneapolis,False
569754a0-bad4-4d0f-87bb-85c2425f7bc6,Ecolab Research and Development,agricultural_service,"['campus_building', 'software_development']",MN,Eagan,55121.0,655 Lone Oak Dr,44.850849,-93.112704,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,169cc191-eee4-4244-8de6-6b2aeda9ff38,,,,OpenStreetMap,2018-04-24T03:14:24.000Z,,minneapolis,True
0b106dad-f809-441a-b240-01280cfb94e1,"Ecolab, Schuman campus",business,"['campus_building', 'home_service']",MN,Eagan,55121.0,655 Lone Oak Dr,44.8519498,-93.1149176,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,6acb107f-078d-4b03-9a4c-e63453bf91eb,,,,OpenStreetMap,2018-04-24T03:14:24.000Z,,minneapolis,True
e8a3758e-aced-418c-a6cf-53def2d973dd,Ecolab,event_planning,['business'],MN,St Paul,55102.0,1 Ecolab Pl,44.9466729,-93.0976664,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,d51d7f31-733f-4180-909e-796dd254ed76,,commercial,office,OpenStreetMap,2022-12-12T16:42:16.000Z,,minneapolis,True
9af230bd-2fcf-4bc2-9455-426b188a93f5,Ecolab,freight_and_cargo_service,"['mattress_store', 'professional_services']",CA,Fontana,92335.0,13277 San Bernardino Ave,34.07528,-117.51712,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,e778953c-31c8-4679-95f3-da1ae6288438,,commercial,warehouse,OpenStreetMap,2024-07-27T00:24:28.000Z,,riverside-san-bernardino,False
3dd71911-018d-4c12-a74e-145091bb2f2a,Ecolab,laboratory_testing,"['health_and_medical', 'hospital']",IL,Mundelein,60060.0,627 W Courtland St,42.26292,-88.01347,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,dacb104a-7659-49c5-a007-6fcc6ba673a1,,,,Esri Community Maps,2024-10-15T00:00:00.000Z,,round-lake-beach-mchenry-grayslake,False
17b2abcb-c980-4e60-8c1a-d9f33640e9c9,Ecolab 102,real_estate,['real_estate_agent'],IL,Joliet,0.0,,41.4951505,-88.1813599,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,9c8ecb82-cf35-4467-89ac-18e4bc0595ef,,,,OpenStreetMap,2020-03-01T17:49:52.000Z,,chicago,False
0f46fb14-2b66-4911-b9ec-9a7bc830d674,Ecolab,self_storage_facility,,IL,Joliet,60431.0,4101 Olympic Blvd,41.4955529,-88.1827704,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,9c8ecb82-cf35-4467-89ac-18e4bc0595ef,,,,OpenStreetMap,2020-03-01T17:49:52.000Z,,chicago,False
a57a1a0f-8014-4af5-ac20-46dfdc94b6f0,Ecolab,commercial_industrial,"['chemical_plant', 'health_and_medical']",IL,Joliet,60436.0,3001 Channahon Rd,41.488295,-88.153825,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,e0ea94bb-2ab3-4110-9a43-b9af98c1f966,,industrial,industrial,OpenStreetMap,2024-07-01T00:02:36.000Z,,chicago,False
40ede912-8284-4a17-bfc9-3e56fb5cb7e7,Nalco Water,water_treatment_equipment_and_services,,IL,Naperville,60563.0,1601 W Diehl Rd,41.79925,-88.19899,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,,,,,,,,chicago,False
2a0cd43b-99c5-4136-8e72-6d3f2c0bf9c1,Ecolab Early Education and Preschool,day_care_preschool,"['preschool', 'home_service']",IL,Naperville,60563.0,1601 W Diehl Rd,41.8016081,-88.1994326,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,chicago,False
3dd71911-018d-4c12-a74e-145091bb2f2a,Ecolab,laboratory_testing,"['health_and_medical', 'hospital']",IL,Mundelein,60060.0,627 W Courtland St,42.26292,-88.01347,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,dacb104a-7659-49c5-a007-6fcc6ba673a1,,,,Esri Community Maps,2024-10-15T00:00:00.000Z,,chicago,False
5212ef62-c421-458e-a3ad-8fefb810366f,ChampionX Headquarters,chemical_plant,['energy_company'],TX,The Woodlands,77381.0,2445 Technology Forest Blvd,30.1733124,-95.4735112,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,24b2fac9-853a-4c65-bd33-60a144f2f699,,commercial,commercial,OpenStreetMap,2022-02-05T04:21:48.000Z,,houston,True
244b069f-9040-40a4-9269-ffb030323d03,"Ecolab, Las Vegas",chemical_plant,"['industrial_equipment', 'commercial_industrial']",NV,Las Vegas,89118.0,6630 W Arby Ave,36.061226,-115.235435,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,c3de993f-6dce-47b7-94e5-620297022f9f,,commercial,commercial,OpenStreetMap,2018-02-15T20:04:01.000Z,,las-vegas,False
624ad706-3e32-42d0-9b89-bdb4c4a0ff0c,Ecolab/Microtek Medical Inc,business,"['industrial_equipment', 'cafe']",GA,Milton,30004.0,13000 Deerfield Pkwy,34.0970485,-84.2652683,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,473e997d-5ff3-497f-86a8-f7163625f42b,,,,OpenStreetMap,2019-01-29T16:15:42.000Z,,atlanta,False
