id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
b4734f6c-aa4b-46d2-8a1b-57a384b26f87,Billi Eastman|Realtor|Nebraska Realty,real_estate_agent,"['real_estate', 'property_management']",dc302f60-909e-40a2-b573-a54936000ae1,Nebraska Realty,commercial,commercial,omaha,,,68118.0,17117 Burt St,41.264111,-96.1827129,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2022-03-19T15:32:54.000Z,,False
f323d7b8-0b80-44f0-94a1-07bcb6d32aea,"Eastman Roofing & Waterproofing, Inc.",roofing,"['waterproofing', 'ceiling_and_roofing_repair_and_service']",,,,,san-jose,CA,San Jose,95126.0,1418 Douglas St,37.32700348,-121.91570282,Microsoft,2025-02-04T06:26:29.467Z,0.77,,,,False
2a2bc443-5c56-4be3-9828-68502d1178fb,"Eastman Roofing & Waterproofing, Inc.",roofing,"['waterproofing', 'ceiling_and_roofing_repair_and_service']",773dc8dd-1155-4d27-aa46-6c1a86f30a08,,,,san-jose,CA,San Jose,95126.0,1418 Douglas St,37.321147,-121.914554,Microsoft,2023-05-25T18:09:15.037Z,0.77,OpenStreetMap,2021-10-03T03:35:34.000Z,,False
d6fcc857-97bb-4af2-b6b2-089d400ed3c9,Eastman Distributing,professional_services,"['food_beverage_service_distribution', 'advertising_agency']",,,,,tucson,AZ,Tucson,85745.0,2450 N Jackrabbit Ave,32.251996,-111.0067117,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,False
46c78d2a-caf0-4186-a9a7-6cf18c6e2f2f,Eastman & Beaudine,employment_agencies,['professional_services'],2d551dd2-8641-491c-ae40-e3b544a8037c,,transportation,parking,dallas,TX,Plano,75024.0,7201 Bishop Rd,33.07608,-96.82177,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-01-28T17:21:03.000Z,,False
033820ac-e826-4e78-986d-3298d5b344d4,Dean Eastman State Farm,insurance_agency,['financial_service'],,,,,san-antonio,TX,San Antonio,78254.0,6511 W Loop 1604 N,29.4983165,-98.7051451,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,,,,False
9bcb7570-260c-48a6-abcc-711c03274c9f,Durand Eastman Park,park,"['hiking_trail', 'attractions_and_activities']",6447eba3-9419-415c-a51b-ae96a29022cf,,,,rochester,,,14622.0,Zoo Rd,43.208929,-77.706739,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2018-01-06T06:10:54.000Z,,False
16d88252-c432-49b9-be2c-90d7389c1c55,George Eastman Hall,campus_building,"['college_university', 'education']",0ff3c240-dbfd-4bc3-a8a7-1829d3a640d5,George Eastman Hall (1),education,university,rochester,NY,Henrietta,14623.0,1 Lomb Memorial Dr,43.0844881,-77.6750245,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2023-10-20T19:36:16.000Z,,False
eab96281-c584-43bb-9636-d23b9407ce53,Eastman Dental Billing Office,dentist,['health_and_medical'],,,,,rochester,NY,Rochester,14620.0,135 Corporate Woods,43.1062648,-77.6222442,Microsoft,2017-10-30T02:46:46.587Z,0.77,,,,False
0be2ec35-52ef-4586-ba57-4d17321721fa,Eastman Insurance Agency,insurance_agency,,9e0316b1-14a7-44f8-8d76-6f70a1d86e8a,,,,rochester,NY,Rochester,14623.0,26 Corporate Woods Dr,43.106606,-77.618309,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2019-10-02T19:08:31.000Z,,False
8f94313e-0d3d-4a85-9cec-17c58533e46f,Eastman Dental,pediatric_dentist,"['dentist', 'hospital']",062be19e-8aab-41ba-81a0-1ccf449b7016,Eastman Institute for Oral Health,medical,hospital,rochester,NY,Rochester,14620.0,625 Elmwood Ave,43.1239865,-77.6223741,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2024-06-06T23:24:42.000Z,,False
da52db5f-4106-4f66-9812-143e21f41024,Durand Eastman Park,park,"['attractions_and_activities', 'skate_park']",6436c0a5-c0cf-4127-ba38-538f0acb9110,Monroe County Parks Department,,,rochester,NY,Rochester,14620.0,171 Reservoir Ave,43.1315167,-77.6085799,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2021-05-31T14:06:15.000Z,,False
051f506c-61a6-47ca-a7a0-7655c82e82cb,George Eastman Museum,art_museum,"['museum', 'history_museum']",a14a6b87-0587-42ab-9fbb-81c3af1c5aec,George Eastman House,,,rochester,NY,Rochester,14607.0,900 East Ave,43.1530551,-77.5800651,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-12-18T08:23:56.000Z,,False
ad1bbffd-8fcd-4f68-8798-6526637cc71e,Eastman Business Park Building 326,commercial_industrial,['business_manufacturing_and_supply'],4b47eb99-cbf0-41a1-a50d-7cb440d856e1,,industrial,industrial,rochester,,,14615.0,,43.1976586,-77.6717467,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2020-12-14T15:23:27.000Z,,False
6d09efa7-fac5-48ac-af8e-3b981a9b09e3,UR Medicine Eastman Dental School Number 17,dentist,"['hospital', 'health_and_medical']",e40f5787-481b-4ed1-a36a-06ff52a6649c,,,,rochester,NY,Rochester,14611.0,158 Orchard St,43.1581462,-77.6335634,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,Microsoft ML Buildings,2023-05-28T00:00:00.000Z,0.9918000102043152,False
cf1ce215-175e-45d4-b082-8cd377cba97b,Eastman Business Park,commercial_real_estate,['shared_office_space'],2b1f71bc-6eb1-4681-80c9-110a1387298c,Kodak B12,industrial,industrial,rochester,NY,Rochester,14615.0,1669 Lake Ave,43.1974775,-77.6304492,Microsoft,2023-12-19T19:52:10.120Z,0.77,OpenStreetMap,2022-07-30T00:30:23.000Z,,False
86149530-47aa-48e6-a7a6-f154527f142a,Eastman Kodak Co.,photography_store_and_services,"['event_photography', 'professional_services']",a53ec8a9-60b1-4bc0-8537-612deb8e5d92,Kodak B38,industrial,industrial,rochester,NY,Rochester,14615.0,1669 Lake Ave,43.196934,-77.628657,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2022-07-30T00:30:23.000Z,,False
9e426365-cb07-47ee-83e6-ac17f616935c,George Eastman Memorial,public_service_and_government,,,,,,rochester,,,14615.0,,43.1977849,-77.628519,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,False
fe03623e-3b8b-4b7f-ae28-fc0a47734430,The Eastman Reserve,landmark_and_historical_building,['real_estate'],,,,,rochester,NY,Rochester,14615.0,303 Eastman Ave,43.2013784,-77.6363549,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
f47bb731-11f0-43ec-9f19-57cec591b14b,UR Medicine Eastman Dental,dentist,"['health_and_medical', 'oral_surgeon']",ba6fe5d6-6c0d-401a-bb0a-a21c9a0072af,Sibley Square,,,rochester,NY,Rochester,14604.0,228 E Main St,43.1581082,-77.605195,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-05-04T03:33:06.000Z,,False
376bfd5c-6fd3-46aa-9214-569ca1737343,Eastman Community Music School,music_school,"['performing_arts', 'specialty_school']",56838900-79ae-4abb-b41e-a4ede57c2739,Messinger Hall,,,rochester,NY,Rochester,14604.0,10 Gibbs St,43.1571489,-77.6016186,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2019-02-04T16:02:31.000Z,,False
c2e3d925-aa0f-4913-98f1-1ae641eb5876,Friends of Eastman Opera,theatre,"['charity_organization', 'topic_concert_venue']",022a155e-0459-40e8-8e40-3d1e2e787b51,Miller Center,,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.1573039,-77.6017927,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2018-12-14T14:25:57.000Z,,False
4fe97618-ce42-404e-9518-8b321344fd86,Max of Eastman Place,american_restaurant,"['french_restaurant', 'restaurant']",022a155e-0459-40e8-8e40-3d1e2e787b51,Miller Center,,,rochester,NY,Rochester,14604.0,25 Gibbs St,43.157684,-77.601636,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-12-14T14:25:57.000Z,,False
a8f0651f-a06c-4d1c-ac51-6ee06d261f69,Eastman School of Music,music_school,"['college_university', 'music_venue']",03f7eeee-1e51-4bda-9cff-0243fa623c3b,Eastman School of Music,,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.157721,-77.601379,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-08-17T00:18:43.000Z,,False
a8f0651f-a06c-4d1c-ac51-6ee06d261f69,Eastman School of Music,music_school,"['college_university', 'music_venue']",f6d24745-3c0a-476c-8704-affa0d80c7db,Eastman Theatre,entertainment,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.157721,-77.601379,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-05-31T14:06:15.000Z,,False
af78818a-47ca-4ae7-96c5-06912229daf7,Electroacoustic Music Studios at Eastman,music_production,"['college_university', 'school']",03f7eeee-1e51-4bda-9cff-0243fa623c3b,Eastman School of Music,,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.15743,-77.60112,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-08-17T00:18:43.000Z,,False
ef3d072b-1c62-499b-aa53-967e5d35d731,Eastman Theatre,theatre,['topic_concert_venue'],03f7eeee-1e51-4bda-9cff-0243fa623c3b,Eastman School of Music,,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.15743,-77.60112,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-08-17T00:18:43.000Z,,False
1e39fbfc-903c-4718-a2c2-7c2b81b6e1e5,Eastman Cello Institute,college_university,,03f7eeee-1e51-4bda-9cff-0243fa623c3b,Eastman School of Music,,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.15743,-77.60112,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2024-08-17T00:18:43.000Z,,False
9354f8d3-8e91-459d-9a3a-1a328db00199,Eastman Graduate Students Association,education,"['college_university', 'charity_organization']",f6d24745-3c0a-476c-8704-affa0d80c7db,Eastman Theatre,entertainment,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.1576808,-77.6008275,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-05-31T14:06:15.000Z,,False
700d3132-96c4-4fe8-8a43-a616d1ae245a,Kodak Hall at Eastman Theatre,theatre,"['topic_concert_venue', 'music_venue']",f6d24745-3c0a-476c-8704-affa0d80c7db,Eastman Theatre,entertainment,,rochester,NY,Rochester,14604.0,26 Gibbs St,43.1580567,-77.6010652,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-05-31T14:06:15.000Z,,False
