id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
15917bfa-0b53-44e8-bbfe-32386ff8a879,Eversource,commercial_industrial,"['electric_utility_provider', 'public_utility_company']",cc148ba8-e766-43e5-b2f1-c668e1d7eaa4,,commercial,office,boston,MA,Westwood,2090.0,247 Station Dr,42.2029783,-71.1596723,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-09-06T21:03:53.000Z,,False
40df7531-b720-4bd1-b173-e61d8a10b554,Eversource,energy_company,"['public_utility_company', 'contractor']",14566b64-ccd2-4b55-880c-2046d081e417,,,,boston,MA,Boston,2125.0,1165 Massachusetts Ave,42.3231116,-71.0642237,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2023-05-04T16:01:01.000Z,,False
d364c156-a2ff-4e0a-92b7-9e2b2057feae,Eversource Energy,electrician,"['energy_company', 'public_utility_company']",b5988d69-5a3d-41c8-b73e-8d66cc4db24a,,,,boston,MA,Waltham,2453.0,200 Calvary St,42.368093,-71.222969,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2022-12-29T12:28:30.000Z,,False
271b1683-a2ce-4616-b50c-809afb9450b5,Eversource Energy,industrial_company,"['commercial_industrial', 'solar_installation']",1b36422c-06d6-42f0-abeb-be04efa597f4,,,,hartford,CT,Cheshire,6410.0,705 W Johnson Ave,41.5571278,-72.9180363,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2022-08-11T16:17:25.000Z,,False
609d5f45-8fcf-421d-8e15-90d8a4f782a1,Eversource Energy,electricity_supplier,"['utility_service', 'b2b_energy_and_mining', 'corporate_office', 'business_to_business', 'private_establishments_and_corporates']",,,,,hartford,CT,Berlin,6037.0,107 Selden St,41.6489448547363,-72.7233352661133,Microsoft,2015-07-14T13:20:31.603Z,0.77,,,,True
503f82cc-225b-4a7f-be48-f66bbce024b6,Eversource CT,electric_utility_provider,"['public_utility_company', 'public_service_and_government']",,,,,hartford,CT,Berlin,6037.0,107 Selden St,41.6496463,-72.7260293,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,,,,False
2356aa46-1d5b-46ae-9655-c6516adfdfb0,Eversource,electric_utility_provider,"['public_utility_company', 'energy_company']",5719d680-7a69-40e2-9efc-d1314fdf05ff,,,,hartford,CT,Hartford,6106.0,410 Sheldon St,41.7591702,-72.6660477,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2021-03-12T05:36:02.000Z,,False
5b257787-8ec2-4e8d-a302-b4edb47ae9ce,Eversource Corporate Office,public_utility_company,"['energy_company', 'public_service_and_government']",fc16b6d7-7c5a-4d9a-8915-72b85e2170b6,,commercial,office,hartford,CT,Hartford,6103.0,56 Prospect St,41.7650941,-72.6717391,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2021-06-03T13:53:59.000Z,,True
3d2d2b52-7732-413b-bb87-398771aff20c,Eversource,public_utility_company,"['energy_company', 'eyewear_and_optician']",078d4018-746a-4312-93a8-0e26fd7bc1ec,Eversource,commercial,commercial,hartford,CT,Windsor,6095.0,1985 Blue Hills Ave Ext,41.8780478,-72.7385922,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2022-06-28T03:09:34.000Z,,False
2a028ad3-ba0b-44c6-94a0-a3a14f753ace,Eversource,public_utility_company,"['energy_company', 'commercial_industrial']",,,,,hartford,CT,Tolland,6084.0,48 Tolland Stage Rd,41.8674583,-72.4231368,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
f1fd6ad2-2ae9-4fe5-a37c-7c21b4dc2b16,Eversource,public_utility_company,['professional_services'],e7f88ca4-7800-437e-bf32-b29e84839e40,,,,springfield-massachusett-connecticut,MA,Springfield,1104.0,300 Cadwell Dr,42.1511006,-72.5474683,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2020-03-13T23:10:28.000Z,,False
