id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
366ec5fc-5629-45c3-894c-2ee1cf9bddef,F5,travel,['active_life'],MN,St Paul,55111.0,"MPLS/St Paul Int'l-Terminal 1-Departure, 4300 Glumack Dr",44.8835351,-93.2140791,meta,2025-06-02T07:00:00.000Z,0.909823677581864,a4c1ca5b-0eda-4ca3-954d-48fb7600144e,Concourse F,,,OpenStreetMap,2023-02-02T15:13:28.000Z,,minneapolis,False
366ec5fc-5629-45c3-894c-2ee1cf9bddef,F5,travel,['active_life'],MN,St Paul,55111.0,"MPLS/St Paul Int'l-Terminal 1-Departure, 4300 Glumack Dr",44.8835351,-93.2140791,meta,2025-06-02T07:00:00.000Z,0.909823677581864,cf59cd5f-7bff-4da8-9ef2-5f08c69f45df,Terminal 1,,,OpenStreetMap,2025-04-12T05:55:57.000Z,,minneapolis,False
c653cbb4-ae75-4b38-a725-bf91cc1ba2c3,F5 SoundHouse,recording_and_rehearsal_studio,,MN,Minneapolis,55404.0,2543 Nicollet Ave S,44.97119435,-93.27708025,Microsoft,2025-04-13T20:51:42.370Z,0.77,,,,,,,,minneapolis,False
b6cb09e3-061c-48c0-b250-c73ba1c7a514,F5 Street Photo & Gallery,professional_services,,,,14150.0,561 Main St Suite 100,43.0032367,-78.8809342,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,4f42411e-0190-4346-9410-4137397de526,Gateway Harbor Center,commercial,commercial,OpenStreetMap,2021-04-30T20:43:24.000Z,,buffalo,False
68c33271-0a89-4c68-aa64-21f9868db43b,F5 Financial,financial_advising,['investing'],FL,Venice,34285.0,871 Venetia Bay Blvd,27.11204,-82.443812,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,,,,,sarasota-bradenton,False
a8d8aeb1-a5a3-4345-905c-525252d7d388,F5 Carpet Cleaning,home_improvement_store,"['carpet_cleaning', 'furniture_store']",FL,Brandon,33510.0,612 Talwood Cir,27.9470433,-82.284676,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,61f6def7-4496-4493-abf7-7bfb8494d512,,,,OpenStreetMap,2022-09-01T05:02:54.000Z,,tampa,False
3d1ae400-38a6-4350-b0ce-e5193e293ee3,F5 Lash Studio,beauty_and_spa,['beauty_salon'],CA,Huntington Beach,92648.0,18531 Main St,33.6934581,-117.9905928,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,6e8666dc-64b0-4924-b8fe-a691dd6e38d9,,,,OpenStreetMap,2023-08-03T05:29:25.000Z,,los-angeles,False
5a37db61-0f75-456c-8ffa-be34d89b6720,Marketing F5,marketing_agency,"['professional_services', 'internet_marketing_service']",CA,Los Angeles,91043.0,10209 Tujunga Canyon Blvd,34.2514657,-118.2913185,meta,2025-06-02T07:00:00.000Z,0.909823677581864,83901730-aa17-4af1-a1bc-b9669a66a5e5,Tujunga Post Office,civic,post_office,OpenStreetMap,2020-06-19T23:48:51.000Z,,los-angeles,False
54a4c9a1-d6ab-4181-998f-ac0e63c54463,F5 Lash Studio,beauty_salon,"['hair_removal', 'cosmetic_and_beauty_supplies']",CA,Anaheim,92804.0,935 S Brookhurst St,33.819193,-117.960057,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,cf74172f-f347-4281-bef1-573f2fba2701,,,,OpenStreetMap,2015-06-20T17:36:18.000Z,,los-angeles,False
28c55a3d-f6b9-4fff-a4a1-4a4a61e7c26b,F5 Enterprises,advertising_agency,"['marketing_agency', 'event_photography']",IN,New Albany,47150.0,1611 E Main St,38.289085,-85.8058455,meta,2025-06-02T07:00:00.000Z,0.8148148148148148,a32e0c73-4172-475b-9cc7-3fbd15a00a2e,,,,Microsoft ML Buildings,2020-04-11T00:00:00.000Z,,louisville,False
58811889-2ef1-4482-83d2-80a19a38eb98,F5 Facility Services,contractor,"['hvac_services', 'plumbing']",OH,Groveport,43125.0,4091 Venture Pl,39.8773253,-82.8868233,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,443271b0-d9b2-43d1-85b6-16811705c086,,,,OpenStreetMap,2024-03-05T14:57:14.000Z,,columbus-ohio,False
84fa9b05-af48-4dfe-8c5e-cad81a237f10,F5 Surgical,billing_services,,GA,Norcross,30092.0,5425 Peachtree Pkwy,33.97163428366184,-84.22087356448174,Microsoft,2015-09-19T12:10:43.793Z,0.77,,,,,,,,atlanta,False
2242a55f-a248-43a1-8305-33142ec95363,F5 Storm Shelters of Tulsa,convenience_store,"['safety_equipment', 'retail']",OK,Tulsa,74133.0,10846 S Memorial Dr Ste 112,36.006031,-95.888733,Microsoft,2017-02-10T17:44:20.943Z,0.77,,,,,,,,tulsa,False
1022ac4b-8407-4a28-9b00-62aacc72d83f,F5 Storm Shelters of Tulsa,contractor,"['construction_services', 'professional_services']",OK,Tulsa,74133.0,10846 S Memorial Dr,36.0061155,-95.8882716,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,aa7f935a-f004-4b35-9bca-54bf1192bb0c,,commercial,retail,OpenStreetMap,2020-07-12T14:01:25.000Z,,tulsa,False
14e27b07-3565-416c-8580-c26f8d155074,F5 Chiropractic,chiropractor,['health_and_medical'],OK,Tulsa,74133.0,11013 S Memorial Dr,36.00509138184584,-95.88552762606234,Microsoft,2024-01-08T15:13:25.070Z,0.77,2ea5af12-03e7-43f5-88a6-ff56f88fea38,,,,OpenStreetMap,2020-07-12T14:01:25.000Z,,tulsa,False
