id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
2fd48478-5365-4907-9239-20bc6b74ac83,"Fluor Enterprises, Inc.",engineering_services,"['corporate_office', 'private_establishments_and_corporates']",40df3f28-cf88-4267-bf6f-0807da20c88f,,commercial,commercial,charlotte,NC,Charlotte,28287.0,6060 Piedmont Row Dr S #1000,35.148548,-80.84066,Microsoft,2025-05-19T00:39:20.280Z,0.77,OpenStreetMap,2023-03-07T02:15:47.000Z,,True
68665335-26a8-4f5b-88f5-1a41d1fc422b,"Fluor Enterprises, Inc.",engineering_services,,,,,,chicago,IN,Schererville,46375.0,400 Kennedy Ave,41.5145737,-87.4615115,Microsoft,2025-05-19T00:39:28.867Z,0.77,,,,True
ff1e4533-3a46-4300-8a01-b5850d4d1da4,Fluor Corporation,engineering_services,"['business', 'construction_services']",69a3a848-8661-494d-b559-0d86b6147f1d,,,,dallas,TX,Irving,75039.0,6700 Las Colinas Blvd,32.9001385,-96.9529866,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-08-22T01:54:45.000Z,,True
05f0dc24-008c-4a36-8209-5d7b1e9abab0,"Fluor Enterprises, Inc.",engineering_services,,905d6c0b-9bd7-4898-8f7f-407545ee3592,,commercial,office,dallas,TX,Dallas,75244.0,5001 Spring Valley Rd 700W,32.939977,-96.82417,Microsoft,2025-05-19T00:39:13.880Z,0.77,OpenStreetMap,2024-12-21T05:46:35.000Z,,True
05f0dc24-008c-4a36-8209-5d7b1e9abab0,"Fluor Enterprises, Inc.",engineering_services,,905d6c0b-9bd7-4898-8f7f-407545ee3592,,commercial,office,denton-lewisville,TX,Dallas,75244.0,5001 Spring Valley Rd 700W,32.939977,-96.82417,Microsoft,2025-05-19T00:39:13.880Z,0.77,OpenStreetMap,2024-12-21T05:46:35.000Z,,True
f5406228-8ad3-474a-a701-adc4d111a1b0,West End Events at Fluor Field,topic_concert_venue,"['stadium_arena', 'event_planning']",,,,,greenville,SC,Greenville,29601.0,945 S Main St,34.84297,-82.40893,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
c33aa233-a148-49a6-9e31-0eb5a1e52a27,Fluor Field,stadium_arena,"['baseball_stadium', 'arts_and_entertainment']",,,,,greenville,SC,Greenville,29601.0,945 S Main St,34.8421246,-82.4081612,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
5b819da0-bcd4-4c40-998e-4b3d4ed326b8,Fluor Enterprises,construction_services,"['engineering_services', 'commercial_industrial']",5a60a20f-60f3-4cd3-8664-48953b76af04,,commercial,commercial,greenville,SC,Greenville,29607.0,100 Fluor Daniel Dr,34.8448768,-82.3344394,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-02-18T01:56:45.000Z,,False
26eec4c2-064f-474f-aba3-2421fe7b733a,Fluor Craft Employment & Training Center,engineering_services,"['employment_agencies', 'unemployment_office']",06ed3461-7178-4ef7-af7c-a12ddad99c25,,,,houston,TX,Deer Park,77536.0,1809 Center St,29.69547,-95.122449,Microsoft,2025-05-19T00:39:29.183Z,0.77,Microsoft ML Buildings,2022-03-25T00:00:00.000Z,,False
356784fb-1c17-4c1b-ba74-a72991d8dfe1,Fluor Craft Employment,engineering_services,,3c269983-9359-40f9-ac27-3b0d3ef6352b,,commercial,retail,houston,TX,Baytown,77520.0,4226 Decker Dr,29.7696876,-95.0101569,Microsoft,2025-05-19T00:39:23.560Z,0.77,OpenStreetMap,2020-04-30T20:58:19.000Z,,False
c65af8c4-f96f-4fc0-9d31-e9651c64c1c5,Fluor Enterprises,engineering_services,['real_estate'],3470f822-9ec1-49c7-a452-f635c92f6032,,commercial,commercial,los-angeles,CA,Long Beach,90810.0,1500 Hughes Way,33.827322,-118.212315,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2016-04-06T18:14:26.000Z,,False
171e22e5-21f0-4f18-a457-3968eaea55b4,Fluor Enterprises,construction_services,"['real_estate', 'contractor']",,,,,los-angeles,CA,Long Beach,90815.0,4801 Airport Plaza Dr,33.8108091,-118.1363535,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,,,,False
e6698747-6f1f-4334-9795-806d258e9f9a,Fluor Corporation,engineering_services,"['business', 'contractor']",44a82f84-2a40-4456-b8da-9b97259ff0a7,,commercial,commercial,mission-viejo,CA,Aliso Viejo,92656.0,3 Polaris Way,33.5849923,-117.7235215,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2020-08-31T19:31:41.000Z,,True
249be87d-c8c3-411e-9b07-e5f52847fa14,"Fluor Enterprises, Inc.",engineering_services,,3890c225-c097-49e2-872e-a1dd06b13c23,,commercial,commercial,oakland,CA,South San Francisco,94080.0,611 Gateway Blvd Ste 950,37.658694,-122.400037,Microsoft,2025-05-19T00:39:31.510Z,0.77,OpenStreetMap,2019-07-08T23:35:43.000Z,,True
482e30d6-7c1c-4994-b8d6-cb3c9e16605b,Fluor Enterprises Inc,civil_engineers,['engineering_services'],d0ffdf9c-c0e2-4958-b4df-c6b6ee337329,,,,richmond,VA,Richmond,23225.0,6767 Forest Hill Ave 305,37.5373728,-77.5186593,Microsoft,2025-05-19T00:39:28.570Z,0.77,OpenStreetMap,2023-09-24T00:30:00.000Z,,True
249be87d-c8c3-411e-9b07-e5f52847fa14,"Fluor Enterprises, Inc.",engineering_services,,3890c225-c097-49e2-872e-a1dd06b13c23,,commercial,commercial,san-francisco,CA,South San Francisco,94080.0,611 Gateway Blvd Ste 950,37.658694,-122.400037,Microsoft,2025-05-19T00:39:31.510Z,0.77,OpenStreetMap,2019-07-08T23:35:43.000Z,,True
f547a58d-dd27-4747-bb2d-3d52e639fd8d,Fluor Federal Solutions,engineering_services,,61ec02fd-ed2f-4f9e-b471-46884579bd43,,commercial,office,washington-dc,VA,Reston,20191.0,1800 Alexander Bell Dr Ste 110,38.943068,-77.321337,Microsoft,2025-05-19T00:39:17.847Z,0.77,OpenStreetMap,2022-09-15T20:41:26.000Z,,True
8d9154a7-2801-45c8-8cb7-069220b387da,"Fluor Federal Services, Inc.",engineering_services,,05a17f64-9808-4aca-a39a-4db1a1d12e85,,residential,detached,washington-dc,VA,Arlington,22201.0,2300 Clarendon Blvd Ste 1110,38.8901072,-77.0867043,Microsoft,2025-05-19T00:39:32.173Z,0.77,OpenStreetMap,2022-08-25T20:01:08.000Z,,True
