id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
facc9264-580e-4b43-a977-0c6d8084087e,Grainger,industrial_equipment,"['b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'business_to_business', 'retail']",CA,Bakersfield,93309.0,3900 Easton Dr,35.370457,-119.047918,Microsoft,2025-05-20T17:56:21.477Z,0.77,0ace8e56-3ac4-427a-9190-42057fd54092,,,,OpenStreetMap,2012-08-09T06:03:17.000Z,,bakersfield,False
bc52bdf1-9afc-4f9f-b107-44a70be9ec6b,UW-Madison Grainger Institute for Engineering,college_university,"['b2b_science_and_technology', 'campus_building']",WI,Madison,53706.0,1550 Engineering Dr,43.0723833,-89.4131541,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,d72e2805-5491-4a6e-b854-41d9585cc3aa,Engineering Centers Building,education,university,OpenStreetMap,2024-06-03T16:20:23.000Z,,madison,True
4aed5c58-79a0-4320-bf80-454338696ca2,Grainger Hall,college_university,"['campus_building', 'library']",WI,Madison,53706.0,975 University Ave,43.072758,-89.401488,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,792537e8-bb13-4713-8ea9-514e07e66097,Grainger Hall,education,university,OpenStreetMap,2024-05-30T11:47:36.000Z,,madison,True
1f23da32-fb88-426b-8d47-74550c4e7857,Grainger Industrial Supply,industrial_equipment,"['b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'business_to_business']",PA,Dunmore,18512.0,1037 Oneill Hwy,41.43824,-75.618308,Microsoft,2016-07-11T23:58:43.197Z,0.77,,,,,,,,scranton,False
d03e2a31-4f5b-4df8-a998-780db68f4e3a,Grainger Industrial Supply,industrial_equipment,"['b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'business_to_business']",PA,Dunmore,18512.0,1037 Oneill Hwy,41.4397643,-75.6176365,Microsoft,2025-05-24T00:28:50.460Z,0.77,,,,,,,,scranton,False
9e528839-e7d9-410e-be10-7916777986d9,Grainger,industrial_equipment,"['b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'corporate_office', 'business_to_business', 'private_establishments_and_corporates', 'retail']",MA,Springfield,1104.0,790 Cottage St,42.142357,-72.524893,Microsoft,2025-05-20T17:56:21.477Z,0.77,5fcdaa58-0822-4de3-b553-437bbd6ae540,Grainger,,,OpenStreetMap,2024-12-29T15:47:23.000Z,,springfield-massachusett-connecticut,True
24b7ad13-bea5-43ba-b77b-8c1144474244,Grainger Industrial Supply,industrial_equipment,"['electronics', 'b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'business_to_business', 'retail']",WI,Oak Creek,53154.0,7025 S 10th St,42.9175972,-87.9267398,Microsoft,2025-05-24T00:27:03.930Z,0.77,,,,,,,,milwaukee,False
1a4190b1-4812-4f71-ab9b-63843cef8831,Grainger's Pub & Grill,pub,"['bar_and_grill_restaurant', 'bar']",WI,Milwaukee,53221.0,3400 W Loomis Rd,42.9737989,-87.9577114,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,5e82c058-35c4-46f5-91ed-21e55799fda0,,,,OpenStreetMap,2022-12-05T21:37:55.000Z,,milwaukee,False
dbc0290a-c5c0-4fad-9dbb-98b98561c3dc,Grainger,industrial_equipment,"['battery_store', 'b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'business_to_business', 'retail']",WI,Milwaukee,53202.0,202 N Jackson St,43.033208,-87.902806,Microsoft,2025-05-20T17:56:21.477Z,0.77,3f37bf0c-9d31-401e-b540-f537465ae522,Grainger,commercial,retail,OpenStreetMap,2024-03-12T11:58:31.000Z,,milwaukee,False
a7ce1a08-14a7-47f9-ba61-ec8f34c1c23a,Grainger,industrial_equipment,"['b2b_machinery_and_tools', 'hydraulic_equipment_supplier', 'business_equipment_and_supply', 'business_to_business', 'retail']",WI,Milwaukee,53225.0,5819 N 117th St,43.12292,-88.058783,Microsoft,2025-05-20T17:56:21.477Z,0.77,85ccbfb0-e0cc-429a-8b08-3a0ea6537844,,,,OpenStreetMap,2022-12-05T22:09:49.000Z,,milwaukee,False
