id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
223900e8-ca0f-4ba9-9b7d-6709ce64eb6b,"The GAMEROOM, Powered by Hasbro",arcade,['active_life'],e66f7290-8402-4fb0-8597-16eecec92e1c,American Dream,commercial,retail,new-york,NJ,East Rutherford,7073.0,1 American Dream Way,40.8080488,-74.0690271,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-02-24T12:13:38.000Z,,False
1e9450bc-61d2-46ca-8f79-186073a2b837,"Pediatric Pulmonology at Hasbro Children's - East Greenwich, RI",pulmonologist,"['doctor', 'health_and_medical']",,,,,providence,RI,East Greenwich,2818.0,"1454 S County Trail, Ambulatory Care Center",41.657271,-71.497077,Microsoft,2025-05-10T12:01:56.393Z,0.77,,,,False
adc54ba6-9bea-4e1e-8467-d616ba78dfe1,"Pediatric Heart Center at Hasbro Children's - East Greenwich, RI",pediatric_pulmonology,"['pediatric_radiology', 'pediatric_infectious_disease', 'cardiologist', 'pediatrician', 'doctor', 'health_and_medical']",,,,,providence,RI,East Greenwich,2818.0,"1454 S Country Trail, Ambulatory Care Center",41.657248,-71.496892,Microsoft,2025-05-06T17:37:35.963Z,0.77,,,,False
f9fef3d3-48fb-4d82-90e0-d773b9066ce9,Hasbro Hospital Pediatric Specialties,hospital,['doctor'],7965cde7-5fce-476e-afdc-da119bc5bd01,,,,providence,RI,East Greenwich,2818.0,1454 S County Trl,41.6571146,-71.4966183,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2017-12-01T17:46:33.000Z,,False
c88f310e-d1c2-4e8d-bdc3-e9a9b5ed17b0,Hasbro Boundless Playground,park,['playground'],,,,,providence,RI,Providence,2907.0,1000 Elmwood Ave,41.7828571,-71.4151397,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
2cd88ad4-3f0d-488a-ac06-8c10c354b173,Hasbro Children's Hospital Children's Neurodevelopment Center,pediatrician,"['hospital', 'health_and_medical']",45d3f340-b637-4357-88a8-a3b7d7d13beb,,,,providence,RI,Providence,2905.0,335 Prairie Ave,41.8046933,-71.4156033,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-08-04T05:41:38.000Z,,False
114f7827-3ffb-4e6e-b893-14575c653147,Pediatric Neurology at Hasbro Children's,neurologist,"['doctor', 'health_and_medical']",45d3f340-b637-4357-88a8-a3b7d7d13beb,,,,providence,RI,Providence,2905.0,335R Prairie Ave Ste 2B,41.804684,-71.415463,Microsoft,2025-05-22T10:03:36.240Z,0.77,OpenStreetMap,2020-08-04T05:41:38.000Z,,False
c3b25056-db85-459b-ae5c-b53971fdc77c,Children's Neurodevelopment Center (CNDC) at Hasbro Children's,pediatrician,"['doctor', 'health_and_medical']",45d3f340-b637-4357-88a8-a3b7d7d13beb,,,,providence,RI,Providence,2905.0,335R Prairie Ave Ste 1A,41.804676,-71.415449,Microsoft,2025-04-15T21:38:10.243Z,0.77,OpenStreetMap,2020-08-04T05:41:38.000Z,,False
0f72183b-0827-4a75-be4a-173525f1e5df,Pediatric Urology at Hasbro Children's Hospital,health_and_medical,"['pharmacy', 'dentist']",,,,,providence,RI,Providence,2905.0,185 Dudley St,41.8101,-71.41437,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
c0b5cafc-8ceb-4a01-972e-aff80e8a12ce,Pediatric Hand Surgery at Hasbro Children's,surgeon,"['doctor', 'surgical_center', 'health_and_medical']",20d5c4e0-3943-45c8-8480-ccf2f28eba9b,,,,providence,RI,Providence,2903.0,235 Plain St,41.8091,-71.411301,Microsoft,2025-04-14T13:36:21.730Z,0.77,OpenStreetMap,2016-11-29T18:11:05.000Z,,False
4635ba2e-7a3d-42f5-a44c-e4ba0456b5f8,Pediatric Neuropsychology at Hasbro Children's,psychologist,"['neurologist', 'doctor', 'health_and_medical']",188c5277-eff6-4007-91a8-1ab74364753d,,commercial,office,providence,RI,Providence,2903.0,110 Lockwood St Ste 430,41.811951,-71.411147,Microsoft,2025-04-25T02:00:26.847Z,0.77,OpenStreetMap,2011-12-16T19:40:05.000Z,,False
cd7b0189-b2ca-4ace-b0a6-8fff7203eb22,Pediatric Endocrinology & Diabetes Center at Hasbro Children's,childrens_hospital,['health_and_medical'],6b5d658b-5dd4-4c40-b3c1-b2b3c6fb854d,,commercial,office,providence,RI,Providence,2903.0,111 Plain St,41.813126,-71.412647,Microsoft,2025-04-18T04:34:38.037Z,0.77,OpenStreetMap,2011-12-16T19:40:00.000Z,,False
6ddec134-1a30-478b-bd66-640c3f2fca9d,Hasbro Children's Hospital Pediatric Endocrinology & Diabetes Center,hospital,"['doctor', 'pediatrician']",6b5d658b-5dd4-4c40-b3c1-b2b3c6fb854d,,commercial,office,providence,RI,Providence,2903.0,111 Plain St,41.8131343,-71.412642,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2011-12-16T19:40:00.000Z,,False
cde34473-f913-479c-babc-98fa1017cd76,Injury Prevention Center at Hasbro Children's,doctor,['health_and_medical'],38aebc4f-fbc2-4937-92e4-8d30827f3f1e,,industrial,industrial,providence,RI,Providence,2903.0,55 Claverick St 2nd Fl,41.81779,-71.41171,Microsoft,2025-05-10T12:01:41.623Z,0.77,OpenStreetMap,2020-01-05T23:47:48.000Z,,False
