id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
19e5731d-f497-405c-bee6-b29702bd8a9e,HCA Florida Hunter's Creek Emergency,emergency_medicine,"['doctor', 'hospital', 'emergency_service', 'health_and_medical']",FL,Orlando,32837.0,12100 S John Young Pkwy,28.3908095,-81.4251644,Microsoft,2025-04-25T16:50:15.120Z,0.77,,,,,,,,orlando,False
edca0f67-36b2-4208-b42e-8dab72fde182,HCA Florida Airport North Emergency,emergency_room,['health_and_medical'],FL,Orlando,32812.0,5597 Lee Vista Blvd,28.469515,-81.311717,Microsoft,2025-05-20T19:02:27.007Z,0.77,,,,,,,,orlando,False
37b0fea4-8901-4b53-8514-d7e82fc1143d,Hca Cleaning,masonry_concrete,"['contractor', 'home_cleaning']",FL,Orlando,32832.0,11150 Whistling Pine Way,28.4088327,-81.2110132,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,bcfe1d22-ca43-4243-b22e-eabcf7440b4d,,,,OpenStreetMap,2021-07-14T20:17:16.000Z,,orlando,False
270df643-344f-4a5f-b628-4eea8c19596d,HCA Florida Behavioral Health Specialists - Moss Park,health_and_medical,,FL,Orlando,32832.0,10920 Moss Park Rd Ste 100,28.4144935,-81.2257145,Microsoft,2025-04-25T16:50:24.863Z,0.77,,,,,,,,orlando,False
527b6a3f-9997-499c-b344-9e923169de0a,HCA Florida Millenia Emergency,emergency_medicine,"['doctor', 'hospital', 'emergency_service', 'health_and_medical']",FL,Orlando,32839.0,4056 Millenia Blvd,28.491393,-81.4281995,Microsoft,2025-04-25T16:50:16.600Z,0.77,,,,,,,,orlando,False
70641b0c-6b93-4d5d-bd99-206f8ca89aff,HCA Florida Healthcare at Home - Orlando,home_health_care,"['personal_care_service', 'health_and_medical']",FL,Orlando,32810.0,1800 Pembrook Dr Ste 170,28.6320944,-81.4017174,Microsoft,2023-08-16T11:15:32.927Z,0.77,b00cfffc-2524-4521-8b4c-a49fca74fb75,,,,OpenStreetMap,2014-04-03T01:36:57.000Z,,orlando,False
297d18d0-aa8f-4039-a465-fc9c596a09e0,HCA Florida Women's Health Group - Orlando,doctor,['health_and_medical'],FL,Orlando,32803.0,3438 Lawton Rd Ste 2D,28.5603631,-81.3415031,Microsoft,2025-04-25T16:50:24.360Z,0.77,,,,,,,,orlando,False
2d0c9f04-ee59-486f-a3ef-e0a72ed62bb5,HCA Florida Baldwin Park Emergency,diagnostic_imaging,"['emergency_medicine', 'doctor', 'emergency_room', 'hospital', 'medical_center', 'emergency_service', 'health_and_medical']",FL,Orlando,32807.0,2361 N Semoran Blvd,28.5784779,-81.3090915,Microsoft,2025-04-25T16:50:16.140Z,0.77,,,,,,,,orlando,False
94594117-a89e-455f-a2ef-21435ace97fe,HCA Florida Casselberry Emergency,emergency_room,['health_and_medical'],FL,Casselberry,32707.0,2560 S Us-Hwy 17-92,28.6832399,-81.3342942,Microsoft,2025-04-25T16:11:53.007Z,0.77,,,,,,,,orlando,False
1e557443-c30a-4ada-8f8e-44555083f955,HCA Florida Women's Health Group - Oviedo,hospital,"['womens_health_clinic', 'health_and_medical']",FL,Oviedo,32765.0,8400 Red Bug Lake Rd Ste 1040,28.6570792,-81.2267206,Microsoft,2025-04-25T16:21:42.290Z,0.77,1ca76058-8f7e-428d-97c9-a0b11279f168,,commercial,commercial,OpenStreetMap,2018-05-11T00:53:23.000Z,,orlando,False
321eaa58-7fe1-4ae7-9af0-4c7ce1f56ac1,HCA Florida Oviedo Surgical Specialists,surgical_center,['health_and_medical'],FL,Oviedo,32765.0,"8400 Red Bug Lake Rd, Ste 1010-A",28.6570812,-81.2267291,Microsoft,2025-04-25T16:21:34.807Z,0.77,1ca76058-8f7e-428d-97c9-a0b11279f168,,commercial,commercial,OpenStreetMap,2018-05-11T00:53:23.000Z,,orlando,False
cb4fdcc1-f78b-4c85-82cb-2b3cde42968b,HCA Florida Oviedo Surgical Specialists,surgical_center,['health_and_medical'],FL,Oviedo,32765.0,"8400 Red Bug Lake Road, Suite 1010-A",28.6578951,-81.2280852,Microsoft,2025-05-20T19:02:15.690Z,0.77,28e503fd-94d2-45ae-83b0-894978404871,,medical,hospital,OpenStreetMap,2018-05-11T00:53:28.000Z,,orlando,False
70d52574-4f2a-47ed-9e4f-4aaa993ee059,HCA Florida Lake Mary Primary Care,doctor,"['hospital', 'health_and_medical']",FL,Lake Mary,32746.0,4106 Lake Mary Blvd Ste 100,28.756237,-81.3501741,Microsoft,2025-04-25T16:31:23.053Z,0.77,,,,,,,,orlando,False
44adc4cc-97f2-49cf-b6af-3fcbe0f8cc33,HCA Florida Lake Mary Urology,urologist,"['doctor', 'hospital', 'health_and_medical']",FL,Lake Mary,32746.0,1071 S Sun Dr Ste 1003,28.7527514,-81.3475992,Microsoft,2025-04-25T16:31:29.833Z,0.77,,,,,,,,orlando,False
0a07af13-abd7-4483-9d6c-57ebb7b8ba94,HCA Florida Lake Mary Family Physicians,doctor,"['hospital', 'health_and_medical']",FL,Lake Mary,32746.0,910 Williston Park Pt,28.772941,-81.348544,Microsoft,2025-05-20T19:02:15.690Z,0.77,6e16a979-edeb-48f1-8c0e-af1a901a8f25,,medical,,OpenStreetMap,2024-10-22T04:56:52.000Z,,orlando,False
f0001896-8664-4032-9c41-e79ddf4af2f2,HCA Florida Heathrow Emergency,emergency_medicine,"['doctor', 'hospital', 'emergency_service', 'health_and_medical']",FL,Sanford,32771.0,4525 International Pkwy,28.8019103,-81.3466945,Microsoft,2025-04-25T16:49:31.283Z,0.77,d51e3b22-391e-4403-a19f-4a661a2a44a7,,,,Microsoft ML Buildings,2023-09-01T00:00:00.000Z,1.0,orlando,False
2770c996-ee53-4874-9fe4-dc16b33447b9,HCA Florida North Seminole Family and Sports Medicine,family_practice,"['doctor', 'professional_services']",FL,Sanford,32771.0,5300 SR-46,28.8118618,-81.3540647,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,39ed456e-b758-4232-b30d-dafef7fc8391,,,,OpenStreetMap,2020-04-22T03:18:48.000Z,,orlando,False
f7179e67-be5d-4cbf-87af-6854a0defc57,HCA Florida North Seminole Family and Sports Medicine,family_practice,"['doctor', 'professional_services']",FL,Sanford,32771.0,2209 S French Ave,28.7912333,-81.2727864,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,orlando,False
d07263ed-7346-47d1-a583-2bf89d27cd4c,HCA Florida Lake Monroe Internal Medicine,internal_medicine,"['doctor', 'health_and_medical']",FL,Sanford,32771.0,1403 Medical Plaza Dr Ste 102,28.8130173,-81.2840445,Microsoft,2025-05-20T19:02:31.203Z,0.77,947355da-3ba7-43d7-a11e-b7188d357d50,,commercial,commercial,OpenStreetMap,2015-01-26T20:57:05.000Z,,orlando,False
7f06e13e-0eda-4a31-b8e2-05b697439a7e,HCA Florida Lake Monroe Hospital,hospital,['health_and_medical'],FL,Sanford,32771.0,1401 W Seminole Blvd,28.8138165,-81.2838615,Microsoft,2025-05-20T19:02:15.690Z,0.77,2f5905cd-4998-4b83-91c7-ccec43789fe0,Lake Monroe Hospital,medical,hospital,OpenStreetMap,2025-01-06T08:54:22.000Z,,orlando,False
96a04491-2b84-4089-bc65-adfe444e8505,HCA Florida Orlando Allergy and ENT,ear_nose_and_throat,"['doctor', 'health_and_medical']",FL,Sanford,32771.0,200 N Mangoustine Ave,28.8130609,-81.2826617,Microsoft,2025-04-25T16:49:29.283Z,0.77,,,,,,,,orlando,False
8a797953-fe6c-4180-af1d-c216dc5b8261,HCA Florida Lake Monroe Hospital,hospital,"['health_and_medical', 'medical_service_organizations']",,,0.0,,28.8142421,-81.2836155,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,2f5905cd-4998-4b83-91c7-ccec43789fe0,Lake Monroe Hospital,medical,hospital,OpenStreetMap,2025-01-06T08:54:22.000Z,,orlando,False
40f1cbd3-f04b-4a4b-8a52-5446a169bd86,HCA Florida Heart and Lung - Sanford,cardiovascular_and_thoracic_surgeon,"['cardiologist', 'surgeon', 'doctor', 'hospital', 'health_and_medical']",FL,Sanford,32771.0,1718 Lexington Green Lane Ste B-1,28.81381,-81.28242,Microsoft,2025-05-20T19:02:18.527Z,0.77,9c759f68-ddb0-4540-89b4-f60a3c07ae94,,commercial,commercial,OpenStreetMap,2015-01-26T20:57:06.000Z,,orlando,False
88872ba7-279a-4639-8273-683803156fe8,HCA Florida Lake Monroe Stroke Specialists,neurologist,"['doctor', 'health_and_medical']",FL,Sanford,32771.0,305 N Mangoustine Ave Ste 100,28.8140096,-81.2826686,Microsoft,2025-04-25T16:49:40.253Z,0.77,,,,,,,,orlando,False
26fe72af-9575-4f24-95d6-f27a4384a8ce,HCA Florida Seminole Neurosurgery,neurologist,"['doctor', 'hospital', 'health_and_medical']",FL,Sanford,32771.0,305 N Mangoustine Ave Ste 100-B,28.8140206,-81.2826687,Microsoft,2025-04-25T16:49:30.350Z,0.77,,,,,,,,orlando,False
a04eacdc-2397-4475-b73b-23dfbf7578fc,HCA Florida Seminole Surgical Specialists,hospital,['health_and_medical'],FL,Sanford,32771.0,305 N Mangoustine Ave,28.8140175,-81.2823718,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,9c759f68-ddb0-4540-89b4-f60a3c07ae94,,commercial,commercial,OpenStreetMap,2015-01-26T20:57:06.000Z,,orlando,False
a028dda2-9c4c-4b1d-9225-533110134d22,HCA Florida Heart and Lung - Sanford,cardiovascular_and_thoracic_surgeon,"['cardiologist', 'surgeon', 'doctor', 'hospital', 'health_and_medical']",FL,Sanford,32771.0,1718 Lexington Green Lane Ste B-1,28.8133568,-81.2821895,Microsoft,2025-04-25T16:49:30.820Z,0.77,,,,,,,,orlando,False
5d928f8b-f47c-4693-9191-4d52218747eb,HCA Florida Seminole Neurosurgery,neurologist,"['doctor', 'hospital', 'health_and_medical']",FL,Sanford,32771.0,305 N Mangoustine Ave Ste 100B,28.8139993,-81.2822077,Microsoft,2025-05-20T19:02:18.527Z,0.77,9c759f68-ddb0-4540-89b4-f60a3c07ae94,,commercial,commercial,OpenStreetMap,2015-01-26T20:57:06.000Z,,orlando,False
