id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
5e287c41-c683-4642-a6bd-d77677464196,Humana Agent - Patrick Lennon,insurance_agency,['professional_services'],2c2c7450-2608-4841-8315-99a0bf40ab6d,,,,jacksonville-florida,FL,Jacksonville,32257.0,9965 San Jose Blvd,30.1963588,-81.6204075,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2020-08-20T22:18:03.000Z,,False
b380747c-82e6-4988-acc6-79dbf9e87d38,Humana Marketpoint,health_department,"['insurance_agency', 'hospital']",005c839c-c7e2-4da9-8cca-570cea65d2c2,VyStar Tower,commercial,office,jacksonville-florida,FL,Jacksonville,32202.0,76 S Laura St,30.325895,-81.659948,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2023-02-04T15:21:38.000Z,,False
c92a05c6-7b74-4655-bd54-849179b57ad9,Humana Neighborhood Center,health_and_medical,"['hospital', 'insurance_agency']",b5ae49d0-bcbe-4670-a740-fe5a277ab6a0,,,,kissimmee,FL,Kissimmee,34741.0,3189 W Vine St,28.3065255,-81.435887,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-01-23T06:46:45.000Z,,False
06274a35-300a-45f9-93b1-fad39421c634,Humana Neighborhood Center,health_and_medical,"['hospital', 'topic_concert_venue']",54dd10a5-3ead-44e5-a21e-bdb19e98a05b,,,,st-petersburg,FL,Clearwater,33759.0,1530 N McMullen Booth Rd,27.9804269,-82.7111327,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2017-09-12T15:15:12.000Z,,False
06274a35-300a-45f9-93b1-fad39421c634,Humana Neighborhood Center,health_and_medical,"['hospital', 'topic_concert_venue']",4143db9e-d02f-4eb5-8281-af6ce52dcf10,,,,st-petersburg,FL,Clearwater,33759.0,1530 N McMullen Booth Rd,27.9804269,-82.7111327,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2017-09-12T15:15:12.000Z,,False
7c646675-8e04-4826-847b-cbc86b07bbdb,Humana Neighborhood Center,hospital,"['health_and_medical', 'financial_service']",,,,,austin,TX,Austin,78759.0,10710 Research Blvd,30.3987777,-97.7469209,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
0dc002bd-c2e4-4615-a29b-8985aa6dbf48,Humana,insurance_agency,['diagnostic_services'],92858e34-00eb-4b7a-97dd-d042067d3967,,,,new-york,NY,New York,10001.0,244 5th Ave,40.7445638,-73.9875697,meta,2025-06-02T07:00:00.000Z,0.8540983606557377,OpenStreetMap,2014-02-05T05:29:41.000Z,,False
0dc002bd-c2e4-4615-a29b-8985aa6dbf48,Humana,insurance_agency,['diagnostic_services'],51e1c3ac-5802-4c03-b23a-569f8e8dcf31,,,,new-york,NY,New York,10001.0,244 5th Ave,40.7445638,-73.9875697,meta,2025-06-02T07:00:00.000Z,0.8540983606557377,OpenStreetMap,2023-07-30T22:02:13.000Z,,False
82c4ab44-d238-4f7c-8d88-f21b31981149,Humana Inc,insurance_agency,,,,,,new-york,NJ,Paramus,7652.0,140 E Ridgewood Ave,40.9644482,-74.0688624,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,,,,False
37e7e249-00e0-4f7d-9e3e-28ec39f8ec87,Humana,health_insurance_office,['health_and_medical'],,,,,palm-bay-melbourne,FL,Melbourne,32935.0,4100 N Wickham Rd,28.1745736,-80.6736373,Microsoft,2018-01-31T19:11:57.967Z,0.77,,,,False
11d6795a-aa5d-40b1-a9c0-ef6045bafd5a,Humana MarketPoint,insurance_agency,,0c3a1599-9671-4c54-8ebb-642759d3dca0,,commercial,office,kansas-city,KS,Overland Park,66213.0,7311 W 132nd St,38.889611,-94.6708465,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2019-08-19T19:14:09.000Z,,False
15f49e62-be6d-4f9b-be62-bb5b43599a49,Partners in Primary Care-Humana,health_and_medical,,,,,,kansas-city,MO,Kansas City,64119.0,5121 NE Antioch Rd,39.245009,-94.534489,Microsoft,2025-05-23T13:50:16.687Z,0.77,,,,False
62e03aae-8da7-4e78-961c-76fd0dff08fb,Humana,professional_services,['insurance_agency'],78b7d767-f9ef-4d76-982d-100f06bb180d,,,,raleigh,NC,Cary,27518.0,2000 Regency Pkwy,35.735416,-78.7894081,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2021-04-09T01:50:03.000Z,,False
da61f4a7-e710-4b64-b896-a93a4ae01258,Humana,insurance_agency,['health_and_medical'],ab0edb28-1b2a-4613-b580-ed65faae62d9,,,,pensacola,FL,Pensacola,32504.0,2032 Creighton Rd,30.4957583,-87.2015967,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,Microsoft ML Buildings,2022-03-26T00:00:00.000Z,,False
b1ec6d68-226e-415e-b81c-6286d779de83,Michael Duke - Humana Agent,insurance_agency,['professional_services'],176b0b4c-7514-49dc-97d7-b9a6a70b8361,,,,baton-rouge,LA,Baton Rouge,70816.0,10330 Airline Hwy,30.4166327,-91.0715593,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2023-02-24T21:25:10.000Z,,False
684473a6-6c5b-4544-90ad-e47b470282c3,Humana Neighborhood Center,health_and_medical,"['religious_organization', 'hospital']",176b0b4c-7514-49dc-97d7-b9a6a70b8361,,,,baton-rouge,LA,Baton Rouge,70816.0,10330 Airline Hwy,30.4167525,-91.071551,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2023-02-24T21:25:10.000Z,,False
e9742905-4d4e-4cfd-816b-3cfd932f1ff5,Humana Travel,travel_services,"['tours', 'travel']",,,,,atlanta,GA,Lawrenceville,30044.0,2366 Cruse Rd NW,33.9443986,-84.0723187,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,,,,False
f3c64efc-15d0-4a3c-be9d-c6050e83ebb6,David Kowalewski - Humana Agent,insurance_agency,['professional_services'],3203b073-d013-4da0-924e-c8e0512d1adf,,,,detroit,MI,Detroit,48223.0,18610 Fenkell St,42.4018403,-83.2242204,meta,2025-06-02T07:00:00.000Z,0.8540983606557377,OpenStreetMap,2023-06-28T18:58:56.000Z,,False
a42d1f85-3fb2-47f8-acd5-9b8628c64a80,Kimberly Tucker - Humana Agent,insurance_agency,['professional_services'],3203b073-d013-4da0-924e-c8e0512d1adf,,,,detroit,MI,Detroit,48223.0,18610 Fenkell St,42.4019182,-83.2241639,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,OpenStreetMap,2023-06-28T18:58:56.000Z,,False
b20c5f9d-2eca-4b47-b92e-d11c96030657,Humana Insurance,insurance_agency,,72019f4a-b1b1-43a0-98e5-6469fa378650,,commercial,office,detroit,MI,Troy,48083.0,2800 Livernois Rd,42.5604323,-83.1451593,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2023-10-28T19:18:02.000Z,,False
2f7e7099-69cc-41f5-ba56-452d9ec194ce,Humana MarketPoint,doctor,"['health_and_medical', 'active_life']",3bff8078-b132-4127-87aa-5ebda8f03ffc,,commercial,retail,philadelphia,PA,Cheltenham Twp,19095.0,2401 W Cheltenham Ave,40.074184,-75.1555594,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,OpenStreetMap,2021-11-11T09:07:43.000Z,,False
46981acc-d273-4403-9ff7-d51480693a02,Humana,accommodation,"['medical_service_organizations', 'health_and_medical']",a82d9ab0-fea0-440b-82e0-a9538384e295,,,,phoenix,AZ,Tempe,85283.0,7333 S Hardy Dr,33.3519123,-111.9537462,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2024-03-26T19:16:53.000Z,,False
b2d1747e-43a3-4313-974c-44b6d023f65a,Humana Insurance Co,health_insurance_office,['health_and_medical'],9bfbec29-139a-4f5d-8456-767f5443c60e,Humana Insurance Co,,,phoenix,AZ,Glendale,85305.0,8990 W Glendale Ave,33.538871,-112.2524363,Microsoft,2024-01-19T06:23:18.177Z,0.77,OpenStreetMap,2023-10-29T20:17:18.000Z,,False
6a3148ab-1672-40c8-8138-70bf53e887ec,Humana,insurance_agency,"['health_department', 'health_and_medical']",,,,,phoenix,AZ,Phoenix,85016.0,2231 E Camelback Rd,33.508929,-112.0328536,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,,,,False
56dfa6cc-4712-453e-9aa4-d0f97c8561f1,Humana,insurance_agency,['business'],809bc1bb-424f-4dd2-8b61-16dcb5571e02,,commercial,retail,fort-worth,TX,Grapevine,76051.0,4020 William D Tate Ave,32.8920348,-97.1002565,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2019-01-28T17:09:28.000Z,,False
51e58214-5a19-4b4a-abe3-19a4e6187e77,Humana- Agent Broker,health_insurance_office,['health_and_medical'],,,,,miami,FL,Miami,33173.0,11165 SW 75th Ter,25.6976514,-80.3744369,Microsoft,2025-04-18T09:08:44.167Z,0.77,,,,False
