id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
efb5163d-263b-43da-9952-23de0e389839,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",,,,,cleveland,OH,Cleveland,44105.0,1600 Harvard Ave,41.4475427,-81.6780463,Microsoft,2025-04-30T19:22:04.713Z,0.77,,,,True
7e27c2c7-b9b5-42dc-85e6-8ed43d33e255,Howmet Aerospace,business_manufacturing_and_supply,,b458980c-bbce-4d22-b0a8-844b1fe9e66e,,,,cleveland,OH,Cuyahoga Heights,44105.0,1600 Harvard Ave,41.4473712,-81.6761743,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,Microsoft ML Buildings,2000-01-01T00:00:00.000Z,,False
5d80a23e-77a3-4f7b-b20e-d939e8c44b83,Arconic Power & Propulsion,industrial_equipment,"['commercial_industrial', 'business']",,,,,cleveland,OH,Cleveland,44114.0,3960 S Marginal Rd,41.5199458,-81.6689658,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,,,,False
cc771e76-47dd-46c4-99fc-53c7c1b5e4c1,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",c064094b-c3be-4be5-a7f3-deb5a05950e9,Arconic,industrial,industrial,cleveland,OH,Cleveland,44114.0,3960 S Marginal Rd,41.5200752,-81.6686792,Microsoft,2024-05-21T14:10:44.010Z,0.77,OpenStreetMap,2017-07-22T22:26:02.000Z,,True
962925c2-516a-4850-9290-6ba6df57a948,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",09c67966-2b3e-47f7-8a7f-7c392eca9a99,,industrial,industrial,tucson,AZ,Tucson,85714.0,3724 E Columbia St,32.1713175,-110.9136877,Microsoft,2024-05-21T14:10:44.010Z,0.77,OpenStreetMap,2021-04-17T11:18:57.000Z,,True
f9edcb24-ecd8-4531-b3b6-9010c70c4373,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",,,,,tucson,AZ,Tucson,85714.0,3724 E Columbia St,32.1708025,-110.9128663,Microsoft,2025-04-30T19:22:32.910Z,0.77,,,,True
6a59198a-f393-49e8-a0c3-33a4532545f3,Arconic,contractor,"['home_improvement_store', 'bar']",e833e472-b4a2-435a-b73d-783e2f4d704b,,industrial,industrial,phoenix,AZ,Chandler,85226.0,6833 W Willis Rd,33.2832913,-111.9606342,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2015-03-26T07:46:35.000Z,,False
812d6cb5-bc10-4e88-9437-b5dd8f5185a8,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",98c6f9f6-c6ff-4a2a-8f79-4bf5c006cdf8,,industrial,industrial,los-angeles,CA,Torrance,90505.0,3000 W Lomita Blvd,33.8070642,-118.3394374,Microsoft,2024-05-21T14:10:44.010Z,0.77,OpenStreetMap,2016-09-13T20:42:25.000Z,,True
c618ab9b-27f1-4380-8a9f-0fac68c8706e,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",,,,,los-angeles,CA,Torrance,90505.0,3000 W Lomita Blvd,33.806951,-118.3385713,Microsoft,2025-04-30T19:22:31.947Z,0.77,,,,True
7826d6ec-d557-4ba0-a9e6-239ab2f1b10c,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",bdd5ec1e-6535-4cd0-83bf-df2097108c67,,,,los-angeles,CA,Carson,90745.0,900 Watson Center Rd,33.8194638,-118.2586923,Microsoft,2024-05-21T14:10:44.010Z,0.77,OpenStreetMap,2011-04-21T19:17:20.000Z,,True
4362dd73-e72d-4be4-a102-bdda35407b30,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",a8085b0a-5140-4632-a057-4626a92ea413,,commercial,warehouse,los-angeles,CA,Norwalk,90650.0,15723 Shoemaker Ave,33.8882586,-118.0563894,Microsoft,2024-06-28T17:54:13.677Z,0.77,OpenStreetMap,2016-10-31T20:15:51.000Z,,True
f730ec49-45dc-4033-b38f-5697d3276c40,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",,,,,los-angeles,CA,Fullerton,92831.0,800 S State College Blvd,33.8642501,-117.8894665,Microsoft,2025-04-30T19:22:11.530Z,0.77,,,,True
f97ef6ec-0e13-4671-bbc4-d73b9d0c9cad,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",8c0ed7b5-309c-4f49-9c4e-3ba04bd4d747,,,,los-angeles,CA,Fullerton,92831.0,800 S State College Blvd,33.8643102,-117.8880989,Microsoft,2024-05-21T14:10:44.010Z,0.77,OpenStreetMap,2013-03-11T05:34:26.000Z,,True
7770d5e8-b767-40ad-8414-320efcb78551,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",3e844924-80c4-4ae3-9d0f-083660b59296,,industrial,industrial,los-angeles,CA,City of Industry,91744.0,135 N Unruh Ave,34.0288588,-117.964531,Microsoft,2024-05-21T14:10:44.010Z,0.77,OpenStreetMap,2019-09-12T15:10:51.000Z,,True
0b790276-5415-469b-b6f0-c131af09b611,Arconic,professional_services,"['laboratory_testing', 'insurance_agency']",296fbd31-de75-4118-9f6b-b368f9056ab6,,,,austin,TX,Pflugerville,78660.0,1007 S Heatherwilde Blvd,30.438064,-97.6459,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2015-12-05T00:31:25.000Z,,False
e36a3528-9faa-441e-97d6-528fae235dfb,Arconic,business_to_business_services,['bar'],,,,,rochester,NY,Rochester,14611.0,181 McKee Rd,43.153602,-77.66899,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,True
e04692ab-3eac-43bd-a54a-532c7e7412fd,Howmet Aerospace,aircraft_manufacturer,"['automotive', 'business_to_business']",,,,,rochester,NY,Rochester,14611.0,181 Mckee Rd,43.1531726,-77.6681976,Microsoft,2024-05-21T14:10:44.010Z,0.77,,,,True
