id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
643ee750-64d8-4fa3-83c0-3a63cd1e75a3,Rita's Italian Ice & Frozen Custard,ice_cream_shop,"['diner', 'restaurant']",IN,Fort Wayne,46804,6312 Covington Rd,41.0600781,-85.2220775,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,0a9661d0-6173-4d3e-81e8-ab21c1179829,,,,OpenStreetMap,2018-07-03T05:07:06.000Z,,fort-wayne,False
1fe009e0-fcf6-496c-83a5-06fca178cded,Handel's Ice Cream,ice_cream_shop,"['diner', 'smoothie_juice_bar']",IN,Fort Wayne,46804,4916 Illinois Rd,41.0753089,-85.2057621,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,c7965aee-492f-4081-a70e-6640ec6583e1,,,,OpenStreetMap,2023-02-25T16:46:51.000Z,,fort-wayne,False
8101ef40-00aa-4b73-8cd6-472287404e10,Home City Ice,commercial_refrigeration,"['grocery_store', 'shopping']",IN,Fort Wayne,46808,3331 Congressional Pkwy,41.1107547,-85.1850409,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,,,,,fort-wayne,False
de1a72e1-7856-4b8d-a644-17e7867c654b,Zesto Ice Cream,ice_cream_shop,"['fast_food_restaurant', 'restaurant']",IN,Fort Wayne,46802,2225 Broadway St,41.0642207,-85.1522528,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,2af2e70c-0205-4c7b-be6a-722804df358e,Zesto's,commercial,,OpenStreetMap,2024-06-18T18:54:16.000Z,,fort-wayne,False
f0b89723-3c57-4c48-8911-c03ca41b38f8,Baskin- Robbins 31 Ice Cream,ice_cream_shop,"['desserts', 'restaurant']",IN,Fort Wayne,46807,3826 S Calhoun St,41.0505034,-85.1361635,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,,,,,fort-wayne,False
79e20c29-1573-4f71-bd8d-1762aaae80ca,Can O' Corn & Ice Cream,ice_cream_shop,"['eat_and_drink', 'desserts']",IN,Fort Wayne,46802,1301 Ewing St,41.073896,-85.142632,meta,2025-06-02T07:00:00.000Z,0.296943231441048,bbd51a94-8a88-4ffd-a054-025acf2abc0f,,,,OpenStreetMap,2022-10-06T20:04:06.000Z,,fort-wayne,False
86d312f8-dedf-4d47-be30-540ac84d908d,Carmelita Ice Cream & Restaurante,mexican_restaurant,"['restaurant', 'ice_cream_shop']",IN,Fort Wayne,46802,202 W Superior St,41.082504,-85.142867,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,,,,,,,,fort-wayne,False
c4ad1d79-8b64-49e1-b6c2-6acae0de115b,Pufferbelly Ice Cream ,candy_store,"['ice_cream_shop', 'train_station']",IN,Fort Wayne,46808,1022 Cass St,41.0840047,-85.1439041,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,,,,,fort-wayne,False
6ddcaeaa-bf56-4aac-b053-9134c87cb9cd,Headwaters Park Ice Rink,ice_skating_rink,"['active_life', 'park']",IN,Fort Wayne,46802,333 S Clinton St,41.0840313,-85.1383936,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,4aa65d09-c301-48ab-8d52-2856554a0a9c,Lincoln Financial Pavilion,entertainment,,OpenStreetMap,2023-01-17T15:04:01.000Z,,fort-wayne,False
f802fcda-2d30-4fb2-81d9-e79bc28c329a,Murphy Ice & Koeneman,lawyer,"['legal_services', 'professional_services']",IN,Fort Wayne,46803,2020 E Washington Blvd,41.0785236,-85.1116817,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,,,,,,,,fort-wayne,False
b4da2e24-540d-4a67-b564-c2cda6a32a03,ICE Pro Shop,active_life,"['sports_club_and_league', 'ice_cream_shop']",IN,Fort Wayne,46808,1455 Goshen Ave,41.1004889,-85.1626768,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,06f53df8-57b5-41be-84a9-96ee5e239282,,commercial,commercial,OpenStreetMap,2023-07-29T21:29:42.000Z,,fort-wayne,False
8290399e-f007-4bc3-93ae-fbdb2cc4fcca,Dreyer's Grand Ice Cream,ice_cream_shop,"['food_beverage_service_distribution', 'business']",IN,Fort Wayne,46808,3426 N Wells St,41.1076814,-85.1460376,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,2ce602d8-0677-4f3f-ba81-78012499a23e,,,,OpenStreetMap,2019-04-09T11:18:11.000Z,,fort-wayne,False
7738138a-148a-4003-8ebb-20dd6d4e5d04,Center Ice Inc,retail,,IN,Fort Wayne,46805,3869 Ice Way,41.1113238,-85.1470309,Microsoft,2011-07-06T17:47:48.170Z,0.77,,,,,,,,fort-wayne,False
