id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
db0aaa59-8099-4a67-a82d-18dbc4815e3b,Tastepoint by IFF,food_beverage_service_distribution,['business_manufacturing_and_supply'],,,,,philadelphia,,,19153.0,7800 Holstein Ave,39.8963332,-75.2329114,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
3f2ea5e6-518e-455d-994f-76a72ed768c0,IFF REAL Estate,construction_services,"['real_estate', 'contractor']",7d305c07-aa5f-4325-9c11-314aa37d00e3,,,,miami,FL,Doral,33178.0,4377 NW 110th Ave,25.81424,-80.37532,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2016-08-04T03:06:31.000Z,,False
15aa4d9b-9c60-40c4-88ee-8809d5e65b9c,IFF Distribution Center,retail,['shopping'],,,,,portland,OR,Portland,97215.0,5441 SE Belmont St,45.516666,-122.6072715,meta,2025-06-02T07:00:00.000Z,0.909823677581864,,,,False
06c3f56c-b20c-4bb9-915e-d3fe9e04277e,IFF,community_services_non_profits,"['installment_loans', 'financial_service']",6b6c7d65-3d3a-4f4b-b747-584a47a3ca2a,333 South Wabash,commercial,office,chicago,IL,Chicago,60604.0,333 S Wabash Ave,41.8774291,-87.6258484,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-05-23T16:50:27.000Z,,False
a305bc47-9dc1-4a1c-ad59-997bb32a69bc,IFF,community_services_non_profits,['event_planning'],05f800e5-5a6a-4b70-81f8-cc4ef077c15f,Fisher Building,commercial,office,detroit,MI,Detroit,48202.0,3011 Grand Blvd W,42.3696246,-83.0770385,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2022-03-28T23:54:36.000Z,,True
6893b51e-f10d-4c0d-8eda-03fe4f8b2d74,"IFF, Inc.",freight_and_cargo_service,"['transportation', 'storage_facility']",,,,,atlanta,GA,McDonough,30253.0,202 Eagle's Landing Way,33.6179001,-84.4068634,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
fdf342f0-fce8-4435-be5b-bc07a9fa4555,Iff Chemical Holdings,chemical_plant,"['commercial_industrial', 'professional_services']",7ed5b792-c3c4-42b2-97c7-067b6f9898e1,,,,jacksonville-florida,FL,Jacksonville,32254.0,2051 Lane Ave N,30.347033,-81.750702,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2017-08-28T06:06:16.000Z,,False
8f77e448-2567-469d-84ab-86c329a1b6b2,Iff,seafood_restaurant,"['restaurant', 'mexican_restaurant']",f6537fd4-b702-44fb-bd7b-bfb66b8bacb7,,,,new-york,NJ,Dayton,8810.0,150 Docks Corner Rd,40.365427,-74.478016,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,Microsoft ML Buildings,2022-10-16T00:00:00.000Z,,False
f3a39334-aa8a-488b-9c18-4c638ffe4077,IFF Employees Federal Credit Union,bank_credit_union,"['credit_union', 'financial_service']",05fd0c62-90ba-4c13-9620-02a541afda07,IFF Compounding Facility,industrial,industrial,new-york,NJ,Hazlet,7730.0,600 State Route 36,40.435951,-74.157851,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2021-09-25T00:11:56.000Z,,False
1ee8edd1-e604-4709-a0dd-0beed8794e4c,IFF International Flavors and Fragrances,business,"['shopping', 'financial_service']",05fd0c62-90ba-4c13-9620-02a541afda07,IFF Compounding Facility,industrial,industrial,new-york,NJ,Hazlet,7730.0,600 State Route 36,40.4364837,-74.1577023,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-09-25T00:11:56.000Z,,False
1c7c2c93-5971-4d59-a8f5-c79d98020e85,IFF Soccer Field,soccer_field,"['park', 'attractions_and_activities']",c51c0002-9229-4578-a716-0d33e5b9c3d4,IFF Research & Development Facility,industrial,industrial,new-york,,,7735.0,Rose Lane,40.4401241,-74.1564297,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2021-09-25T00:11:56.000Z,,False
24823a0a-a8c8-4026-bdfb-cefa9f808488,IFF Research and Development Heliport,heliports,"['travel', 'business']",c51c0002-9229-4578-a716-0d33e5b9c3d4,IFF Research & Development Facility,industrial,industrial,new-york,,,7735.0,,40.439652,-74.156273,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2021-09-25T00:11:56.000Z,,False
ac37ac81-662d-4204-83c9-21b05b270482,International Flavors & Fragrances,professional_services,"['grocery_store', 'chemical_plant']",,,,,new-york,NJ,Union Beach,7735.0,800 Rose Ln,40.44364,-74.15569,meta,2025-06-02T07:00:00.000Z,0.242152466367713,,,,False
b7912a33-3dd8-4895-9a8f-b0ab622a73da,IFF,professional_services,"['chemical_plant', 'beauty_and_spa']",,,,,new-york,NY,New York,10019.0,521 W 57th St,40.7701297,-73.9889723,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
