id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
21e4a9c0-f066-48e5-bf93-85a574311695,Jacobs Engineering Group,engineering_services,"['shopping', 'real_estate']",31731854-d131-46e8-86c5-b38b130c5d3c,Hilton Denver City Center,,,denver,CO,Denver,80202.0,707 17th St,39.7471198,-104.9904439,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2022-05-04T20:09:59.000Z,,False
0283c1ee-ccc6-452d-ae3c-d0a639a7405f,Jacobs Engineering Group,engineering_services,"['commercial_industrial', 'shopping']",22006b83-b822-4c97-85da-bab8bc840e7b,Ameritas Investment Partners,commercial,commercial,cincinnati,OH,Cincinnati,45240.0,1880 Waycross Rd,39.285363,-84.547753,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2021-12-13T01:31:17.000Z,,False
15e6c8b0-e84f-48f9-87a4-6b6dce69fe37,Jacobs Engineering,professional_services,"['engineering_services', 'contractor']",a58a0ba7-9492-4cd1-980e-1f465155a310,,,,houston,TX,Houston,77072.0,5995 Rogerdale Rd,29.7138959,-95.5593816,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2020-09-13T17:48:02.000Z,,False
2b684cc2-7138-468f-9a5e-466c1060881f,Jacobs Engineering Group,engineering_services,,ff095908-6bf3-49f5-b45e-5eff49b2d52e,,,,houston,TX,Houston,77079.0,12140 Wickchester Ln,29.78904,-95.60168,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2018-12-16T22:22:53.000Z,,False
c6905012-5cca-4a77-b32e-3a3a4e0b9f87,Jacobs Engineering Group,engineering_services,"['public_and_government_association', 'shopping']",fbf40932-1af6-47f2-a563-d6bfd194abe8,Hyundai Capital,,,mission-viejo,CA,Irvine,92612.0,3161 Michelson Dr,33.675223,-117.843225,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2023-12-27T23:04:39.000Z,,False
c6905012-5cca-4a77-b32e-3a3a4e0b9f87,Jacobs Engineering Group,engineering_services,"['public_and_government_association', 'shopping']",fbf40932-1af6-47f2-a563-d6bfd194abe8,Hyundai Capital,,,los-angeles,CA,Irvine,92612.0,3161 Michelson Dr,33.675223,-117.843225,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2023-12-27T23:04:39.000Z,,False
f5ba0c29-ead2-4928-9024-4c4b82cc1d17,Jacobs Engineering Group,professional_services,,8db2758d-b851-4548-ad0b-158480216a71,,commercial,commercial,los-angeles,CA,Diamond Bar,91765.0,1520 Bridge Gate Dr,33.994914,-117.837478,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2017-02-01T20:11:22.000Z,,False
e5cc0a57-94e1-4e34-8e8e-e0f8f88cbaf7,Jacobs Engineering Group,engineering_services,"['home_improvement_store', 'interior_design']",61f5449f-3ca3-4c04-9b0a-620af58b7f59,,outbuilding,roof,new-york,NY,New York,10121.0,2 Penn Plz,40.7497138,-73.9917415,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2023-11-24T01:50:46.000Z,,False
e5cc0a57-94e1-4e34-8e8e-e0f8f88cbaf7,Jacobs Engineering Group,engineering_services,"['home_improvement_store', 'interior_design']",74c38655-df5f-44c4-9472-eac18c21354b,PENN 2,commercial,office,new-york,NY,New York,10121.0,2 Penn Plz,40.7497138,-73.9917415,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2024-03-06T21:19:38.000Z,,True
e5cc0a57-94e1-4e34-8e8e-e0f8f88cbaf7,Jacobs Engineering Group,engineering_services,"['home_improvement_store', 'interior_design']",95d6d1d2-a9d5-4514-baf3-26626ed5eb52,Pennsylvania Station,transportation,train_station,new-york,NY,New York,10121.0,2 Penn Plz,40.7497138,-73.9917415,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2024-01-13T03:39:55.000Z,,False
14b760f8-763e-49c8-aa39-dfaa7aa06a23,Jacobs Engineering Group,engineering_services,"['professional_services', 'home_improvement_store']",e5626af6-1eec-4508-ae5b-531fcd1b0555,,,,new-york,NJ,Morristown,7960.0,299 Madison Ave,40.784129,-74.452919,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-07-30T21:20:12.000Z,,False
94b792be-4396-4494-a8f5-b6a7f73cef27,Jacobs Engineering Group,engineering_services,,,,,,atlanta,GA,Acworth,30102.0,5333 Bells Ferry Rd,34.0827001,-84.5754108,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,False
b0932a5c-93e0-4424-8b8d-e5eb40673e08,Jacobs Engineering Group,engineering_services,"['b2b_science_and_technology', 'shopping']",fa3997ea-336c-4591-a815-45ecf6748c1f,,,,miami,FL,Palm Beach Gardens,33410.0,3300 PGA Blvd,26.844539,-80.088029,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2017-03-02T04:59:35.000Z,,False
397eb216-7c2b-46cd-905e-d27d9205293f,Jacobs Engineering,engineering_services,"['professional_services', 'shopping']",c8e2f002-1f41-4066-9042-fc0e1fee9dc8,One Tampa City Center,commercial,office,tampa,FL,Tampa,33602.0,201 N Franklin St,27.946644,-82.457106,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2022-01-13T13:11:54.000Z,,True
a6c3c7c6-a9ab-4e49-9d38-5cca1252889b,Jacobs Engineering Group,engineering_services,,85fa2159-c2ee-489d-813d-2faa920c0b3a,,commercial,commercial,milwaukee,WI,Milwaukee,53214.0,135 S 84th St,43.029447,-88.023262,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2022-12-02T23:07:37.000Z,,False
cbe3d044-0008-40eb-9d9e-8fbaee79f16b,Jacobs Engineering Group,engineering_services,"['commercial_industrial', 'shopping']",633a126b-9747-4e1b-8349-6be0f35b634a,,commercial,office,philadelphia,PA,Philadelphia,19103.0,2301 Chestnut St,39.95289,-75.178572,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2024-07-11T18:11:54.000Z,,True
b557ee47-2076-448c-9eba-54cd72e58be2,Jacobs Engineering Group,engineering_services,,,,,,philadelphia,PA,Oaks,19456.0,2599 West Dr,40.12125,-75.45642,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
