id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
a7c19759-313f-449e-856f-fa0ba00b8c8b,jack henry studios,spas,,55250ced-ff42-4e94-b605-dc7c1bb5266a,,,,mission-viejo,CA,Costa Mesa,92626.0,2948 Randolph Ave,33.6782382,-117.887643,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,OpenStreetMap,2024-03-14T00:01:28.000Z,,False
1cd70d4f-5425-4cb3-a72c-cf8b7c12783f,Jack Henry,software_development,['information_technology_company'],,,,,louisville,KY,Hurstbourne Acres,40220.0,9420 Bunsen Pkwy,38.2210432,-85.5862809,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,True
a7c19759-313f-449e-856f-fa0ba00b8c8b,jack henry studios,spas,,55250ced-ff42-4e94-b605-dc7c1bb5266a,,,,los-angeles,CA,Costa Mesa,92626.0,2948 Randolph Ave,33.6782382,-117.887643,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,OpenStreetMap,2024-03-14T00:01:28.000Z,,False
06b1b21a-dde2-4a99-81e2-32d9cd4e2b14,Jack Henry and Associates,software_development,"['professional_services', 'shopping']",15235c7e-196e-4a0d-b8ed-f6cd87a59833,,commercial,commercial,charlotte,NC,Charlotte,28217.0,5024 Parkway Plaza Blvd,35.1825398,-80.9052518,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-05-19T23:40:50.000Z,,True
c8c711af-abdf-488b-ad27-f8d4a80a2051,Jack Henry & Associates,software_development,"['financial_service', 'banks']",d547d421-74aa-4ea8-8988-b7096dd51587,,,,springfield-missouri,MO,Springfield,65804.0,2131 E Primrose St,37.149631,-93.25527,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,Microsoft ML Buildings,2019-08-12T00:00:00.000Z,,False
749af929-b7a8-4f30-966c-0c3a095132b7,Jack Henry & Associates,software_development,"['contractor', 'professional_services']",,,,,springfield-missouri,MO,Springfield,65809.0,3725 E Battlefield Rd,37.1595698,-93.2190811,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,True
e54dca7f-1d8f-43cd-84d4-819663d33214,Jack Henry and Associates,lawyer,"['software_development', 'financial_service']",0318c022-fd37-4e92-ba0e-ca6445c0982b,Jack Henry & Associates,commercial,commercial,dallas,TX,Allen,75013.0,1021 Central Expy S,33.0830412,-96.6824708,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-04-17T16:03:21.000Z,,False
c9ae46e4-f6a5-4114-8b96-43f3c54178cb,Jack Henry & Associates Inc,information_technology_company,"['business_to_business_services', 'corporate_office', 'business_to_business', 'private_establishments_and_corporates']",0318c022-fd37-4e92-ba0e-ca6445c0982b,Jack Henry & Associates,commercial,commercial,dallas,TX,Allen,75013.0,1021 S Central Expressway,33.0830039,-96.6822433,Microsoft,2023-05-03T17:36:48.920Z,0.77,OpenStreetMap,2018-04-17T16:03:21.000Z,,True
7debf56c-bc46-4e6c-88fa-fc0f21c612ab,Jack Henry and Associates,software_development,"['b2b_science_and_technology', 'engineering_services']",61fab14d-5d49-4dda-80c0-fee79457cb86,,,,atlanta,GA,Alpharetta,30009.0,11605 Haynes Bridge Rd,34.0629588,-84.289721,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2024-07-01T23:54:39.000Z,,True
a248f221-7ab8-4045-973e-72e6a6595e45,Jack Henry and Associates,professional_services,"['software_development', 'it_service_and_computer_repair']",5db9e36c-44e8-40f0-8716-7e304a5773d5,Jack Henry & Associates Inc,,,kansas-city,KS,Overland Park,66214.0,10910 W 87th St,38.9727287,-94.71227,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-03-04T18:16:01.000Z,,False
