id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
7a7986b2-c7ab-4b25-b64a-9dd4d458a6ca,KeyBank,installment_loans,"['financial_service', 'bank_credit_union']",0174c3de-d5f9-4b6e-a5f0-ab75193e1322,,,,fort-collins,CO,Fort Collins,80525.0,100 E Drake Rd,40.5528988,-105.076726,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-12-08T05:57:05.000Z,,False
e29fee48-1c7b-4307-8a71-c93782987d4e,KeyBank,bank_credit_union,"['financial_service', 'installment_loans']",1e413bf0-c50b-436b-8216-52c4f7d5761a,KeyBank,,,fort-collins,CO,Fort Collins,80525.0,1130 Haxton Dr,40.5228933,-105.0569326,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:48:28.000Z,,False
2a1ff053-db26-4f68-bb0a-9d365e8a9efd,KeyBank,bank_credit_union,"['financial_service', 'atms']",8e5e5ae9-2f3a-487d-99d4-1ec572cd08c8,Key Bank Tower,commercial,office,fort-collins,CO,Fort Collins,80521.0,300 W Oak St,40.5858478,-105.0810873,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-02-03T16:40:04.000Z,,True
9c84b4f7-addd-4a0b-bb57-24d7d59767f8,KeyBank ATM,atms,,,,,,ogden,UT,Riverdale,84405.0,1098 W Riverdale Rd,41.1765386,-112.0063083,Microsoft,2025-04-07T21:00:02.403Z,0.77,,,,False
4c0da1c4-f656-4207-b345-50c6b764f266,KeyBank ATM,atms,,,,,,ogden,UT,Ogden,84404.0,1180 Wall Ave,41.24507687205418,-111.97778597474098,Microsoft,2025-04-07T21:00:02.403Z,0.77,,,,False
90100f43-cfe3-4eec-9358-7ea0bd7fdc1b,KeyBank,financial_service,"['bank_credit_union', 'investing']",aee8d6f0-5c26-469a-8ecb-6ce56553e527,,,,ogden,UT,Ogden,84403.0,3565 Harrison Blvd,41.1983675,-111.9490468,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-11-06T04:08:37.000Z,,False
4935e485-d482-4efe-8db1-4561313990dc,KeyBank,bank_credit_union,"['financial_service', 'installment_loans']",ab8427d3-c794-43b3-b1a2-63d17effde52,,,,ogden,UT,Ogden,84401.0,2491 Washington Blvd,41.2208018,-111.970851,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-11-10T06:52:00.000Z,,False
0a2860ca-6edc-4731-b344-674020da79a7,KeyBank,installment_loans,"['financial_service', 'bank_credit_union']",3f5438c6-6eff-40a4-ab24-55f439c07aa1,KeyBank,,,ogden,UT,Ogden,84404.0,175 N Harrisville Rd,41.2596264,-111.9709267,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
0a2860ca-6edc-4731-b344-674020da79a7,KeyBank,installment_loans,"['financial_service', 'bank_credit_union']",53f2ee7e-6e5e-40fd-968f-3b29cd407ee5,,commercial,retail,ogden,UT,Ogden,84404.0,175 N Harrisville Rd,41.2596264,-111.9709267,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-07-14T06:27:05.000Z,,False
e2e8b03e-004f-4308-bdb7-ab6605e8222d,KeyBank,bank_credit_union,"['investing', 'installment_loans']",b2395cb9-5438-4c8a-9f97-9010db5e9aa1,KeyBank,commercial,commercial,salt-lake-city,UT,South Jordan,84095.0,11422 S District Dr,40.5437072,-111.9836073,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
6c4b79dd-ddf9-4ac5-a10d-63a928dc774e,KeyBank ATM,atms,,,,,,salt-lake-city,UT,Riverton,84065.0,12560 S Redwood Rd,40.52311537560997,-111.93913131952286,Microsoft,2025-04-07T21:00:02.403Z,0.77,,,,False
279e5a99-0d69-4d82-8fd8-18dfe71824f0,KeyBank,bank_credit_union,"['installment_loans', 'investing']",a52f812a-a9a0-4230-91bc-294e6b3c6172,KeyBank,commercial,commercial,salt-lake-city,UT,Draper,84020.0,11433 S State St,40.5439131,-111.8906022,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
6990a44c-743a-4745-b0d2-5c8512074cd1,KeyBank,installment_loans,"['financial_service', 'bank_credit_union']",99059c44-9349-400c-9335-3a4ef13cb8b9,KeyBank,commercial,commercial,salt-lake-city,UT,West Jordan,84088.0,1435 W 9000 S,40.5873802,-111.9324131,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:54:33.000Z,,False
85231fb9-5fd9-40ee-ac29-ab9ba6714ea3,KeyBank,financial_service,"['bank_credit_union', 'investing']",2b741f0d-0e42-41e2-ace7-f0bfe51a3106,KeyBank,commercial,commercial,salt-lake-city,UT,Draper,84020.0,348 E 12300 S,40.5261867,-111.8804099,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
c8fcbe1d-2c63-468a-ae7c-043a35b8d5bc,KeyBank,financial_service,"['bank_credit_union', 'atms']",99bb7218-b877-45c5-9437-dfb7e9b7337b,,,,salt-lake-city,UT,Sandy,84093.0,8625 Highland Dr,40.5945568,-111.8314047,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2016-06-29T20:18:58.000Z,,False
2c9a87af-c837-4529-9257-0005ba9a471e,KeyBank,installment_loans,"['investing', 'bank_credit_union']",,,,,salt-lake-city,UT,West Valley City,84120.0,2807 S 5600 W,40.709147,-112.0244719,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
d5857f3e-54ee-4876-b3d3-7314862e404d,KeyBank,bank_credit_union,"['financial_service', 'installment_loans']",06973ef7-97a8-48a0-a53e-eb702d15d8d4,,,,salt-lake-city,UT,West Valley City,84120.0,4220 W 2100 S,40.726654,-111.992017,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2025-03-03T17:10:12.000Z,,False
3ea22c86-1bf7-4807-bea7-e67b8c809893,KeyBank ATM,atms,,,,,,salt-lake-city,UT,West Jordan,84088.0,1789 W 7800 S,40.6095174,-111.9406394,Microsoft,2025-04-07T21:00:02.403Z,0.77,,,,False
60094e49-9f70-4eca-b44a-94ced69c914c,KeyBank ATM,atms,,420a77ce-1910-4ffa-9568-22bfb7d620a1,,commercial,retail,salt-lake-city,UT,Taylorsville,84123.0,5800 S Redwood Rd,40.6464293,-111.9402136,Microsoft,2025-04-07T21:00:02.403Z,0.77,OpenStreetMap,2023-07-19T03:44:25.000Z,,False
7bde5227-450d-4532-b5df-40aab0b5f0c1,KeyBank,installment_loans,"['financial_service', 'bank_credit_union']",654f8076-e4b8-4d1b-a780-f5fcb8951e55,KeyBank,commercial,commercial,salt-lake-city,UT,Taylorsville,84129.0,1939 W 4700 S,40.6673239,-111.9425651,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
706c8a00-4884-46aa-b518-47c21dc3743f,KeyBank ATM,atms,"['financial_service', 'investing']",,,,,salt-lake-city,UT,Murray,84107.0,5101 S State St,40.6610663,-111.8876067,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
0d79b887-1e7c-484e-a53c-5c1f1f4aaf8e,KeyBank,financial_service,"['bank_credit_union', 'investing']",fbfda79b-ffb2-40f7-9665-07ef4f698415,,commercial,commercial,salt-lake-city,UT,Midvale,84047.0,924 E Fort Union Blvd,40.6215155,-111.865268,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-03-12T00:04:21.000Z,,False
15fec6d3-07fc-40dc-8cce-37c28e15fe10,KeyBank,installment_loans,"['financial_service', 'bank_credit_union']",,,,,salt-lake-city,UT,Murray,84121.0,5625 S Waterbury Way,40.6492377,-111.8492958,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
28111333-071f-4478-9ff5-c719d3be17da,KeyBank ATM,financial_service,"['atms', 'investing']",5ee24026-1aec-4ba8-8521-fcd620f6c768,KeyBank,,,salt-lake-city,UT,Salt Lake City,84101.0,1098 S 300 W,40.7450269,-111.9001934,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
6400d32a-6846-4497-9f26-efd341e19684,KeyBank,financial_service,"['bank_credit_union', 'banks']",54e8a2cb-d5dd-4a48-bd61-68c20739495c,Beneficial Tower,commercial,office,salt-lake-city,UT,Salt Lake City,84101.0,15 W South Temple,40.7691467,-111.8915679,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-09-27T22:55:39.000Z,,True
8863fda6-b610-4491-ad2b-71e50512a186,KeyBank,bank_credit_union,,c07cc1cb-8e00-4028-86dc-03bc6cec1ad1,Key Bank Tower,,,salt-lake-city,UT,Salt Lake City,84111.0,36 S State St Ste 2609,40.76831033220267,-111.88881200676326,Microsoft,2025-04-07T20:59:06.547Z,0.77,OpenStreetMap,2024-11-13T22:10:10.000Z,,False
6c48cf6c-1f02-4ce7-93be-2d6f9df74959,KeyBank,banks,"['bank_credit_union', 'installment_loans']",c07cc1cb-8e00-4028-86dc-03bc6cec1ad1,Key Bank Tower,,,salt-lake-city,UT,Salt Lake City,84111.0,36 S State St,40.768318,-111.8886211,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-11-13T22:10:10.000Z,,False
cefc5f8d-fa0d-4f75-bf83-cb1449154aff,KeyBank ATM,financial_service,"['investing', 'bank_credit_union']",960b7c12-2dbe-4a53-b288-de11130b85ac,,commercial,commercial,salt-lake-city,UT,Salt Lake City,84106.0,2299 Highland Dr,40.7209041,-111.857561,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-03-26T19:38:52.000Z,,False
26f0fcff-d7eb-4c7d-82b2-1735ad9320b9,KeyBank,bank_credit_union,,af00c626-311b-47be-bb85-f1407992dd95,KeyBank,commercial,commercial,salt-lake-city,UT,Salt Lake City,84111.0,410 E 400 S,40.76041313064496,-111.87931563265532,Microsoft,2025-04-07T20:57:13.997Z,0.77,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
94f1fb23-92a1-44ee-8452-e61156667955,KeyBank ATM,atms,"['bank_credit_union', 'investing']",af00c626-311b-47be-bb85-f1407992dd95,KeyBank,commercial,commercial,salt-lake-city,UT,Salt Lake City,84111.0,410 E 400 S,40.7604215,-111.8792532,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-01-17T09:53:56.000Z,,False
94f1fb23-92a1-44ee-8452-e61156667955,KeyBank ATM,atms,"['bank_credit_union', 'investing']",4c85746b-0be3-43b5-a886-bf8783e513e5,,outbuilding,roof,salt-lake-city,UT,Salt Lake City,84111.0,410 E 400 S,40.7604215,-111.8792532,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-12-13T06:20:36.000Z,,False
b5a4803a-70c5-4da1-945c-4b6355a1c312,KeyBank,bank_credit_union,"['investing', 'installment_loans']",,,,,salt-lake-city,UT,Salt Lake City,84102.0,290 S 1300 E,40.7630987,-111.8541414,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,False
3d216268-65a1-423f-98aa-e15715d88194,KeyBank ATM,financial_service,"['atms', 'bank_credit_union']",8b9e1f20-ac26-4cba-9e99-658ac83fae27,,,,salt-lake-city,UT,Salt Lake City,84124.0,4025 S Wasatch Blvd,40.684115,-111.7957096,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-02-05T16:51:39.000Z,,False
