id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
c0ba8e72-aa63-4484-8194-c70ffaa24722,Labcorp,clinical_laboratories,"['b2b_medical_support_services', 'business_to_business']",CA,Millbrae,94030.0,"1001 Broadway, Ste 204",37.60524,-122.39762,Microsoft,2025-05-23T23:18:50.660Z,0.77,,,,,,,,san-francisco,False
983a66f4-3b1d-4006-959d-67d487497b71,Labcorp,laboratory_testing,"['clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,Burlingame,94010.0,1828 El Camino Real Ste 707,37.5953428659499,-122.383700275446,Microsoft,2021-08-11T16:32:20.397Z,0.77,,,,,,,,san-francisco,False
6f5b832b-374e-46a7-98cb-a89dbf61e0dd,Labcorp,laboratory_testing,"['hospital', 'health_and_medical']",CA,Daly City,94015.0,1440 Southgate Ave,37.6753056,-122.4779984,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,60feed6f-409e-42cb-9f56-8979584b0c35,,,,OpenStreetMap,2016-01-07T14:27:11.000Z,,san-francisco,False
f1db33c1-6fc6-49d3-97ed-f32c26419c4d,Labcorp,laboratory_testing,"['education', 'medical_service_organizations']",CA,San Francisco,94132.0,2622 Ocean Ave,37.731939,-122.4735785,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,74311732-d81a-415e-9d1c-9cd7ada67b04,,,,OpenStreetMap,2020-07-09T04:48:28.000Z,,san-francisco,False
51416795-91c5-48f4-87d0-83aebc9fce18,Labcorp,laboratory_testing,"['medical_service_organizations', 'health_and_medical']",CA,San Francisco,94114.0,148 Noe St,37.7667211,-122.433555,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,9b90ba6b-70f3-4340-9b16-a1aa63e0fabc,,residential,apartments,OpenStreetMap,2020-07-09T04:26:00.000Z,,san-francisco,False
744482ca-cc08-42f3-911b-4029cd3cc027,Labcorp,laboratory_testing,"['medical_service_organizations', 'health_and_medical']",CA,San Francisco,94115.0,2233 Post St,37.7843846,-122.438628,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,d7356288-8259-4c66-a166-8426ca72e040,LabCorp,,,OpenStreetMap,2023-08-02T22:08:22.000Z,,san-francisco,False
b9373955-eb9f-4842-a56c-be0141f5f098,Labcorp,laboratory_testing,"['education', 'medical_service_organizations']",CA,San Francisco,94115.0,2100 Webster St,37.7906129,-122.4323404,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,f51dd2ed-cad2-47c3-a214-3a6bd81cad37,Pacific Professional Building,commercial,commercial,OpenStreetMap,2024-11-18T20:51:22.000Z,,san-francisco,False
7549d84d-7ed6-4dcd-9f40-164e436b3c50,Labcorp,laboratory_testing,"['clinical_laboratories', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,San Francisco,94109.0,1 Daniel Burnham Ct Ste 391c,37.78678,-122.42329,Microsoft,2025-05-24T00:14:01.173Z,0.77,,,,,,,,san-francisco,False
4393073d-c919-41fe-864d-2e624e02eefb,Labcorp,laboratory_testing,"['clinical_laboratories', 'scientific_laboratories', 'blood_and_plasma_donation_center', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,San Francisco,94102.0,490 Post St Ste 419,37.7882,-122.40987,Microsoft,2025-05-23T23:06:40.353Z,0.77,6b341f74-a3d5-4af5-8a8e-dee66881598a,Medico-Dental Building,commercial,commercial,OpenStreetMap,2024-03-12T17:27:50.000Z,,san-francisco,False
1ff34091-6fb4-4107-99a2-504e488813e6,LabCorp,laboratory_testing,"['clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,San Francisco,94109.0,2000 Van Ness Ave Ste 215,37.79394,-122.423,Microsoft,2019-10-30T23:08:35.527Z,0.77,,,,,,,,san-francisco,False
a530a273-2b17-4025-b888-5e4c83e9b050,Laboratory Corporation of America,laboratory_testing,"['medical_service_organizations', 'health_and_medical']",CA,San Francisco,94133.0,728 Pacific Ave,37.796892,-122.407596,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,9fe5e11c-32bf-44d6-a92d-cb965dc02923,Miniwa Center,,,OpenStreetMap,2025-06-04T16:06:01.000Z,,san-francisco,True
6fe99950-6acf-47e7-b3e5-bd89217ac56a,Labcorp,laboratory_testing,"['clinical_laboratories', 'scientific_laboratories', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,San Francisco,94133.0,728 Pacific Ave Ste 401,37.7969,-122.40758,Microsoft,2025-05-23T23:18:50.660Z,0.77,9fe5e11c-32bf-44d6-a92d-cb965dc02923,Miniwa Center,,,OpenStreetMap,2025-06-04T16:06:01.000Z,,san-francisco,False
bf9ac166-50e8-439d-8df3-cc3823db5b96,LabCorp,laboratory_testing,"['clinical_laboratories', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,San Francisco,94133.0,55 Francisco St Ste 430,37.80557516,-122.4062132,Microsoft,2019-02-05T19:09:55.647Z,0.77,,,,,,,,san-francisco,False
c0d34b01-df63-422a-b00d-a5bbbb19ac7c,Labcorp,laboratory_testing,"['medical_service_organizations', 'education']",CA,Redwood City,94063.0,1048 El Camino Real,37.4836263,-122.2324481,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,6d4d8ddd-f71b-4110-9b69-4cd8536dd196,,,,OpenStreetMap,2018-12-18T02:58:27.000Z,,san-francisco,False
ca1f4c41-942c-44d4-84d6-23c205995a05,Labcorp,laboratory_testing,"['health_and_medical', 'medical_service_organizations']",CA,San Mateo,94401.0,101 S San Mateo Dr,37.5659691,-122.3255075,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,ca889203-ee01-41c5-a354-a0c30a74bf82,,commercial,office,OpenStreetMap,2020-04-22T15:35:21.000Z,,san-francisco,True
edb71c07-a7f6-4e3b-ae23-397714a2de9c,Labcorp,laboratory_testing,"['clinical_laboratories', 'b2b_medical_support_services', 'health_and_medical', 'business_to_business']",CA,San Mateo,94401.0,101 S San Mateo Dr Ste 107,37.56658,-122.32618,Microsoft,2025-05-23T23:18:50.660Z,0.77,,,,,,,,san-francisco,False
9ab3c0f4-afd2-4064-a395-4ca1e9074e10,Labcorp,laboratory_testing,"['hospital', 'education']",CA,Alameda,94501.0,2412 Central Ave,37.7637476,-122.242358,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,2734892d-a2c5-48e9-9482-1647d7e53b45,,,,OpenStreetMap,2022-04-16T22:17:59.000Z,,san-francisco,False
fdbe4121-42a9-4d4a-a919-109b7d366217,Labcorp,laboratory_testing,"['hospital', 'education']",CA,Visalia,93291.0,609 W Acequia,36.3287972,-119.2982597,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,f0a811b3-7f99-4e94-8b7c-9df6f21d62a9,,,,Microsoft ML Buildings,2000-01-01T00:00:00.000Z,,visalia,False
