id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
0af1a30c-398e-4c94-b266-ab11b38bfab5,Lincoln Financial Securities,financial_advising,['professional_services'],24a37df7-a790-4892-b3a9-6cca7b8ee7a7,The Geno Building,commercial,office,san-jose,CA,San Jose,95126.0,1042 W Hedding St,37.3412178,-121.9220592,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2023-02-17T12:43:08.000Z,,True
edb87595-3ff3-475b-9b89-7bba722b0817,Lincoln Financial Advisors,financial_advising,"['financial_service', 'investing']",3c4e5610-9ad5-4a56-9f40-298755a5b576,,,,pittsburgh,PA,Pittsburgh,15235.0,201 Penn Center Blvd,40.4285998,-79.8113176,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2023-04-21T04:44:17.000Z,,False
f7b17f47-01ee-4569-883b-84685fc150bf,Lincoln Financial Advisors,bank_credit_union,,d2163017-4480-47d7-b358-41bbc08c2798,,transportation,parking,charlotte,NC,Charlotte,28210.0,6000 Fairview Rd Ste 1550,35.1500212,-80.8390723,Microsoft,2025-03-03T13:17:43.160Z,0.77,OpenStreetMap,2023-03-12T04:42:09.000Z,,False
f7b17f47-01ee-4569-883b-84685fc150bf,Lincoln Financial Advisors,bank_credit_union,,7e769774-74fe-4a4f-a33f-9f91e920d0e9,,commercial,commercial,charlotte,NC,Charlotte,28210.0,6000 Fairview Rd Ste 1550,35.1500212,-80.8390723,Microsoft,2025-03-03T13:17:43.160Z,0.77,OpenStreetMap,2023-10-30T06:26:22.000Z,,False
11baf6dd-1182-4520-85d7-6981bc52e375,Lincoln Financial Solutions,professional_services,['event_photography'],0c6413e8-a31b-4eee-b694-a3426b0c5496,Auto Trim Design,commercial,retail,portland,OR,Portland,97216.0,2355 SE 110th Ave,45.5048497,-122.5500194,meta,2025-06-02T07:00:00.000Z,0.8540983606557377,OpenStreetMap,2016-12-25T00:12:22.000Z,,False
5eacd1e6-c9a3-4d65-bbdb-63e96c85b440,Lincoln Financial Group,financial_advising,['financial_service'],3877220c-6fa5-4dfc-810d-258d764072a3,,,,fort-wayne,IN,Fort Wayne,46802.0,1300 S Clinton St,41.073738,-85.139082,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2020-03-17T14:32:54.000Z,,False
b625bc9c-3e69-4223-9e57-7925667c7f8d,Lincoln National Forest,national_park,"['forest', 'active_life']",,,,,el-paso,TX,El Paso,0.0,,31.7976545,-106.3331986,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
1bd98017-ec72-46ec-b748-3152b17567be,Lincoln Financial Group,financial_advising,"['investing', 'professional_services']",369be38a-df51-41ab-b979-e70f51477834,,,,houston,TX,Houston,77084.0,16151 Cairnway Dr,29.8410266,-95.6443425,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2017-09-01T17:10:13.000Z,,False
dda550e3-05e8-4e7e-b2d2-56b3f5a634ee,Lincoln Financial Advisors,financial_advising,['financial_service'],40bd3f45-c0ea-4f08-af7c-54312c9136c4,Aon Building,commercial,commercial,houston,TX,Houston,77056.0,1330 Post Oak Blvd,29.753298,-95.4611433,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2020-08-21T14:28:04.000Z,,False
dfac4ec3-9b0a-476b-a3ac-468e3523c3a2,Lincoln Financial Group,financial_service,"['insurance_agency', 'accountant']",6577d2a6-9b20-4562-9bb1-3cafb376bda0,125 Summer Street,commercial,commercial,boston,MA,Boston,2110.0,125 Summer St,42.353216,-71.057325,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2022-01-12T23:16:04.000Z,,False
72b9d1ff-25d2-423a-91aa-7eeee4017e4f,Lincoln Financial Group,business,"['financial_advising', 'insurance_agency']",37fcb80b-c858-4e40-a8c4-477ec1cbd07f,,,,omaha,NE,Omaha,68114.0,8801 Indian Hills Dr,41.2611027,-96.0486872,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-12-22T05:29:41.000Z,,False
72b9d1ff-25d2-423a-91aa-7eeee4017e4f,Lincoln Financial Group,business,"['financial_advising', 'insurance_agency']",46dff01c-391e-470f-bc43-093720dedfec,,,,omaha,NE,Omaha,68114.0,8801 Indian Hills Dr,41.2611027,-96.0486872,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-12-22T05:29:41.000Z,,False
83d0d045-1b77-417b-b028-6a799bb3adba,Lincoln Financial Group,insurance_agency,['financial_service'],76888ae2-f061-41bf-b8c8-0aedd26b3de6,Lincoln Financial Group,commercial,office,greensboro,NC,Greensboro,27401.0,100 N Greene St,36.0727317,-79.7911099,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-10-12T17:43:24.000Z,,True
db63f727-23d9-400f-9563-bec20c5799c8,Lincoln Financial Children's Garden,gym,"['playground', 'active_life']",,,,,greensboro,NC,Greensboro,27401.0,201 N Davie St,36.0745335,-79.7886803,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,,,,False
2239a403-0959-45b1-b973-f576a7e78ea5,Lincoln Financial Group,financial_advising,['insurance_agency'],4f59691e-08a5-47ce-8a97-d9dc76756056,,,,concord,CA,Walnut Creek,94596.0,1333 N California Blvd,37.8982277,-122.063529,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2022-04-16T01:33:19.000Z,,False
c5495808-79ee-429a-a76d-7227d58c8b97,Lincoln Financial Group,financial_advising,['financial_service'],8c43823f-8019-4ad9-982e-bb8903ee4443,,commercial,office,concord,CA,San Ramon,94583.0,3000 Executive Pkwy,37.7686634,-121.9685889,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2017-03-04T23:57:17.000Z,,True
50990b94-d2ac-4032-b2ac-053e5ac2cd4c,Lincoln Financial Advisors - Christopher McClure,bank_credit_union,,8c43823f-8019-4ad9-982e-bb8903ee4443,,commercial,office,concord,CA,San Ramon,94583.0,3000 Executive Pkwy Ste 400,37.7686498,-121.9683071,Microsoft,2025-03-05T13:06:06.167Z,0.77,OpenStreetMap,2017-03-04T23:57:17.000Z,,False
2239a403-0959-45b1-b973-f576a7e78ea5,Lincoln Financial Group,financial_advising,['insurance_agency'],4f59691e-08a5-47ce-8a97-d9dc76756056,,,,oakland,CA,Walnut Creek,94596.0,1333 N California Blvd,37.8982277,-122.063529,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2022-04-16T01:33:19.000Z,,False
d8d4ffac-7765-4ceb-8e29-f47da174f225,Lincoln Financial Group,financial_advising,"['financial_service', 'professional_services']",,,,,philadelphia,DE,Elsmere,19805.0,238 Locust Ave,39.7357173,-75.5987037,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
dc8e892a-ecef-4b34-a10a-ba69ea01352b,Lincoln Financial Group,financial_advising,"['financial_service', 'insurance_agency']",6b13f941-4056-4c03-a61f-07b5cb47c209,Radnor Financial Center,,,philadelphia,PA,Radnor Twp,19087.0,150 N Radnor Chester Rd,40.0427146,-75.3655692,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-04-18T00:02:34.000Z,,False
7a5f0c53-c1ed-40be-8d16-3604369b1220,Lincoln Financial,financial_advising,"['financial_service', 'insurance_agency']",bd066918-61e2-42d1-a413-141492b3d517,,residential,house,philadelphia,NJ,Sewell,8080.0,30 Tarpon Ct,39.7167488,-75.0760817,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2021-01-24T19:40:41.000Z,,False
e7409375-6d58-4b39-9307-5b967d09bf34,Lincoln Financial Field Philadelphia Pa,football_stadium,"['stadium_arena', 'active_life']",,,,,philadelphia,PA,Philadelphia,19153.0,1 Lincoln Financial Field Way,39.8927803,-75.2330738,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
eefff840-5b8b-4ba2-98f5-3940b688c187,The Control Room Atop Lincoln Financial Field,sports_and_recreation_venue,['attractions_and_activities'],,,,,philadelphia,PA,Philadelphia,0.0,,39.9004499,-75.1675853,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
78c3f256-53c3-40d1-a4ee-5c613dd887c6,Lincoln Financial Philadelphia Eagles Stadium,stadium_arena,"['football_stadium', 'active_life']",,,,,philadelphia,PA,Philadelphia,0.0,,39.9006172,-75.1673412,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
ca631cd6-e4d3-4fba-91e5-d0d3dd9d68b2,The Eagles at the Lincoln Financial Field,stadium_arena,"['lounge', 'financial_service']",,,,,philadelphia,PA,Philadelphia,19148.0,1 Lincoln Financial Field Way,39.9008776,-75.1676479,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
f62377be-9bc8-4e01-9cb0-30256efc0135,SCA Club & Suites @ Lincoln Financial Field,arts_and_entertainment,"['active_life', 'hotel']",79ad1780-02ce-40f4-8ace-8c54409d36d5,Lincoln Financial Field,entertainment,stadium,philadelphia,PA,Philadelphia,19148.0,1 Lincoln Financial Field Way,39.9007664,-75.1665843,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2025-01-03T11:08:14.000Z,,False
cd218117-06d7-4a6f-bdcd-935d86751c8a,Lincoln Financial Field,football_stadium,"['stadium_arena', 'attractions_and_activities']",,,,,philadelphia,PA,Philadelphia,19148.0,1020 Pattison Ave,39.9013074,-75.1675592,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
3f61c81f-8aa9-4557-aef6-9d242f32b650,Lincoln Financial Field lot n,football_stadium,"['active_life', 'arts_and_entertainment']",,,,,philadelphia,PA,Philadelphia,19148.0,1 Lincoln Financial Field Way,39.9019679,-75.1627458,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
0a99086f-d141-436e-be7b-f5a6c99786ba,Lincoln Financial Group,financial_advising,['financial_service'],5244a23b-3732-4ffc-bd60-efb14cfd0b50,,,,philadelphia,NJ,Pine Hill,8021.0,28 Golf View Ct,39.7832991,-75.0030591,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,Microsoft ML Buildings,2022-06-06T00:00:00.000Z,,False
20590cf1-4595-4c0a-a099-6ca9eae7db9d,Lincoln financial field,active_life,"['football_stadium', 'stadium_arena']",5b06b577-0fec-4651-86c9-dc062a48b98a,NovaCare Complex,,,philadelphia,PA,Philadelphia,19145.0,2 Novacare Way,39.9069495,-75.1758695,meta,2025-06-02T07:00:00.000Z,0.8540983606557377,OpenStreetMap,2025-02-20T17:09:38.000Z,,False
