id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
5ea65ca0-20be-4a31-a10b-301d4f924072,Mattel Toy Store,toy_store,"['discount_store', 'flowers_and_gifts_shop']",e3a88bac-c687-420b-a3a3-abe71ce81a6c,,commercial,warehouse,fort-worth,TX,Fort Worth,76106.0,501 Meacham Blvd,32.8293889,-97.3516904,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2017-06-01T19:14:27.000Z,,False
f2e5131d-2b0b-4242-be67-6999610285ae,Mattel,commercial_industrial,['shopping'],f59e2420-30e9-4bf7-9d34-21af6955c4ef,,,,new-york,NY,New York,10010.0,675 Avenue of the Americas,40.741989,-73.993845,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2014-03-05T21:09:34.000Z,,False
0d8e17bd-5db3-43fe-815b-0b10e1934251,Mattel Adventure Park,water_park,"['amusement_park', 'active_life']",5922e3ef-fe6f-42e8-8ac7-0b019853633d,,,,phoenix,AZ,Glendale,85305.0,9601 W Cardinals Way,33.5185731,-112.2665591,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-12-02T21:14:31.000Z,,False
68f54042-f7b7-4591-82f5-43c63c543830,Mattel,toy_store,"['shopping', 'cafe']",8d49cddb-9aae-43b5-a17d-aea105f650f0,,,,phoenix,AZ,Phoenix,85027.0,2411 W Rose Garden Ln,33.675618,-112.111063,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2023-07-30T00:43:17.000Z,,False
47dd55b7-9810-4a37-a1d1-bf77e74a9e09,Mattel Toy Tent,toy_store,"['shopping', 'clothing_store']",8e205057-bb58-433d-8878-1cbffd80d987,,commercial,commercial,los-angeles,CA,El Segundo,90245.0,1955 E Grand Ave,33.9202566,-118.3931461,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2025-01-18T17:51:07.000Z,,False
f124d924-ed80-4db1-8a51-b1a032d86d52,Mattel Inc,commercial_industrial,['industrial_company'],,,,,los-angeles,CA,El Segundo,0.0,,33.920296,-118.391852,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,False
984ef9b8-2754-410d-8775-82b41b6e0223,Mattel Logo,toy_store,['attractions_and_activities'],,,,,los-angeles,,,90245.0,,33.9213657,-118.3916501,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
d1985942-8276-4b7c-b8f4-aadf0a11750f,Mattel Federal Credit Union,bank_credit_union,"['financial_service', 'atms']",,,,,los-angeles,CA,El Segundo,90245.0,333 Continental Blvd,33.9207091,-118.3913512,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
88290d0f-e071-4e88-8873-a12a88a2a84e,Mattel,shopping,"['grocery_store', 'religious_organization']",,,,,los-angeles,CA,El Segundo,90245.0,2041 E Maple Ave,33.9270172,-118.3899498,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,False
189e457d-1b91-441d-ad5c-81d9f306a712,UCLA Mattel Children’s Hospital,hospital,"['pediatrician', 'doctor']",78dfc07a-562b-46cf-91a1-5e99c288d041,Ronald Reagan UCLA Medical Center,medical,hospital,los-angeles,CA,Los Angeles,90095.0,757 Westwood Plz,34.0665639,-118.4466907,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-03-21T19:44:49.000Z,,False
df488daa-3aad-40fd-84e3-30192df37779,Mattel Toy Store,outlet_store,"['toy_store', 'retail']",,,,,los-angeles,CA,Pomona,91766.0,2780 S Reservoir St,34.02407,-117.731414,Microsoft,2014-02-07T19:19:58.257Z,0.77,,,,False
11d4260d-fa5c-4b6e-8dbd-3a215379e149,"The Mattel Toy Store - San Bernardino, CA",toy_store,"['shopping', 'clothing_store']",4bee21bf-08eb-40b1-93e8-c0436b100053,,commercial,warehouse,riverside-san-bernardino,CA,San Bernardino,92408.0,1456 E Harry Sheppard Blvd,34.100888,-117.257165,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2016-03-28T17:44:06.000Z,,False
a2c0ff81-4b03-4a6f-b57c-e4d953141ca1,Mattel Toy Store,toy_store,"['corporate_office', 'private_establishments_and_corporates', 'retail']",4bee21bf-08eb-40b1-93e8-c0436b100053,,commercial,warehouse,riverside-san-bernardino,CA,San Bernardino,92408.0,1456 E Harry Shepard Blvd,34.1008834838867,-117.257064819336,Microsoft,2014-01-22T16:05:07.553Z,0.77,OpenStreetMap,2016-03-28T17:44:06.000Z,,False
2fb5bb00-02bc-48a8-ab91-a9f92cdb9fe0,Mattel Factory,dance_club,"['bar', 'pub']",3efe6d56-ff79-4f38-bec3-6a9f9e4b97e9,,,,charlotte,NC,Charlotte,28208.0,515 S Turner Ave,35.242126,-80.866162,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2015-01-26T06:33:45.000Z,,False
