id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
d0beb6fc-b538-4c06-8b0f-f0e4e03a518b,Medtronic Physio Control Corp,hospital,"['pharmacy', 'laboratory_testing']",75a034d0-7546-4a91-b5fc-9fccef374f08,,,,seattle,WA,Redmond,98052.0,11811 Willows Rd NE,47.706849,-122.156348,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-08-17T21:55:24.000Z,,False
755faf11-6c42-43a5-8e72-010eb0c66bb4,Medtronic,pharmacy,"['surgical_appliances_and_supplies', 'laboratory_testing']",6515096b-41e3-4abc-9723-31289c92f79b,,commercial,commercial,mission-viejo,CA,Santa Ana,92705.0,1851 E Deere Ave,33.7068847,-117.8492193,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-04-02T17:15:23.000Z,,False
fc9cf693-e106-44ab-bc8e-3a3b99a33187,Medtronic Neurovascular,laboratory_testing,"['medical_research_and_development', 'osteopathic_physician']",053f3f55-9ce7-4912-8da9-8214418eac25,,commercial,commercial,mission-viejo,CA,Irvine,92618.0,9775 Toledo Way,33.6511944,-117.7075102,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-09-20T20:52:01.000Z,,False
7536c972-467a-468d-93fd-dc204421239d,Medtronic,surgical_appliances_and_supplies,"['pharmacy', 'laboratory_testing']",50354eee-0d94-44ee-8f1a-d7a69288f6c8,,,,miami,FL,Doral,33178.0,3750 NW 87th Ave,25.80938,-80.33784,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2020-11-21T23:22:54.000Z,,False
755faf11-6c42-43a5-8e72-010eb0c66bb4,Medtronic,pharmacy,"['surgical_appliances_and_supplies', 'laboratory_testing']",6515096b-41e3-4abc-9723-31289c92f79b,,commercial,commercial,los-angeles,CA,Santa Ana,92705.0,1851 E Deere Ave,33.7068847,-117.8492193,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-04-02T17:15:23.000Z,,False
fc9cf693-e106-44ab-bc8e-3a3b99a33187,Medtronic Neurovascular,laboratory_testing,"['medical_research_and_development', 'osteopathic_physician']",053f3f55-9ce7-4912-8da9-8214418eac25,,commercial,commercial,los-angeles,CA,Irvine,92618.0,9775 Toledo Way,33.6511944,-117.7075102,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-09-20T20:52:01.000Z,,False
5a85ed2d-0daa-4fbd-8ba5-081fa507df75,Medtronic,laboratory_testing,"['health_and_medical', 'pharmacy']",905424ab-61d3-45da-bd6c-9dac5487291c,Warner Center Tower II,commercial,commercial,los-angeles,CA,Woodland Hills,91367.0,21550 Oxnard St,34.178777,-118.59989,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-12-24T08:11:55.000Z,,False
e9a81aac-5d2e-4034-9204-64ac00163708,Medtronic Diabetes,medical_supply,"['surgical_appliances_and_supplies', 'pharmacy']",,,,,los-angeles,CA,Northridge,91325.0,18000 Devonshire St,34.2569752,-118.5253205,meta,2025-06-02T07:00:00.000Z,0.672566371681416,,,,False
3e4c97ba-e7b6-400b-88be-063530394e3c,Medtronic-Minimed,health_and_medical,"['hospital', 'laboratory_testing']",92b6e063-1347-4b70-bdda-58823c51d402,,,,los-angeles,CA,Sylmar,91342.0,14385 Polk St,34.310688,-118.446685,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2016-07-14T09:23:40.000Z,,False
f8484d53-a091-4c0a-816f-675720d6a486,Medtronic,health_and_medical,"['medical_service_organizations', 'naturopathic_holistic']",d67b026e-f772-4958-ac50-141ed85f916e,,,,minneapolis,MN,Plymouth,55441.0,161 Cheshire Ln N,44.98071,-93.45729,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2010-04-24T03:09:21.000Z,,False
