id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
a0cc8d0a-ce5c-4f5c-a0a5-e918899bcde6,MetLife,insurance_agency,,PA,Clarks Summit,18411.0,1028 Morgan Hwy,41.4796652,-75.7118235,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,6b4e66cb-0a24-4288-88c0-ece3c7947faf,,,,Microsoft ML Buildings,2022-06-05T00:00:00.000Z,,scranton,False
4c52bcf5-a91c-4062-bdec-e9dd77faa508,Unofficial: MetLife - David A. Jones,insurance_agency,['financial_service'],FL,Fort Lauderdale,33309.0,5900 N Andrews Ave,26.20111,-80.14818,meta,2025-06-02T07:00:00.000Z,0.242152466367713,8effdd3a-1304-4ddb-ae0c-8dfd2e62d2d2,,transportation,parking,OpenStreetMap,2015-12-06T15:41:33.000Z,,miami,False
c85a6b8d-bb9c-4fa8-8713-db9286800582,Metlife Of Southern California,insurance_agency,,,,91746.0,13191 Crossroads Pkwy N,34.034888,-118.002367,meta,2025-06-02T07:00:00.000Z,0.296943231441048,9067e959-3437-41f4-9fa0-b93e5b342d69,,residential,house,OpenStreetMap,2017-01-31T21:47:18.000Z,,los-angeles,False
3277c7aa-dc4e-4fa8-8ece-ba438ea7d331,Metlife Financial Services,financial_service,['legal_services'],UT,West Jordan,84088.0,8833 S Redwood Rd,40.590828,-111.936474,meta,2025-06-02T07:00:00.000Z,0.296943231441048,cc8d879b-ab8a-46d5-86ca-1eb3b832b1b6,,,,OpenStreetMap,2024-03-26T19:38:52.000Z,,salt-lake-city,False
ffa94f2c-292c-46b9-94c0-77cf2453aa35,MetLife,insurance_agency,,,,6002.0,1300 Hall Blvd,41.8084655,-72.7455157,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,f3dd84a5-325d-4351-b157-69ded7a72ec6,,,,OpenStreetMap,2021-03-18T22:55:10.000Z,,hartford,False
35fe7426-0d17-4068-97a3-e0cfcaad47cb,Kevin Rodabaugh MetLife Home & Auto,insurance_agency,,TN,Knoxville,37922.0,111 Center Park Dr,35.903871,-84.121543,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,64acdfe3-fff2-48d7-96ef-6fb2b9d55eea,,,,OpenStreetMap,2025-01-06T02:09:11.000Z,,knoxville,False
ce777b14-947f-40aa-b9a5-bf556f8c6c2c,MetLife,insurance_agency,['professional_services'],SC,Greenville,29607.0,651 Brookfield Pkwy,34.8147045,-82.2833882,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,86146e8f-515c-49f2-8140-9249b6033046,,,,OpenStreetMap,2018-03-15T02:12:00.000Z,,greenville,False
0e20647f-2220-4079-9dde-5da4bee80943,MetLife,insurance_agency,['financial_service'],IL,Aurora,60506.0,1 N Constitution Dr,41.765181,-88.369972,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,08746d05-6c14-4fd3-85da-613dc8baf155,1st Secure Community Bank of Aurora,commercial,commercial,OpenStreetMap,2023-10-19T16:10:52.000Z,,chicago,False
72b22bec-ddd8-440c-9001-c7b3589643ed,MetLife,insurance_agency,,IL,Aurora,60504.0,177 S Commons Dr,41.7502956,-88.2190996,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,chicago,False
3139a568-51f4-4410-815e-38ff44648192,Cesario MetLife Auto and Home,insurance_agency,,IL,Tinley Park,60477.0,16575 Oak Park Ave,41.5896523,-87.7846597,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,chicago,False
