id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
c2302336-89a6-494e-9b61-eac5b69e096b,The Meta Game Ormond Beach,gift_shop,['business'],FL,Ormond Beach,32174.0,431 S Nova Rd,29.269674,-81.079941,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,6e3ec345-332b-44cf-af9a-c10d8618f215,,,,OpenStreetMap,2022-05-30T22:39:15.000Z,,daytona-beach-port-orange,False
9cd70473-aedf-4f0a-a681-bdfe17138acd,Meta phone repair & Hawraa body care حوراء,it_service_and_computer_repair,"['electronics', 'audio_visual_equipment_store']",,,48126.0,5832 Schaefer Rd,42.3317119,-83.1760192,meta,2025-06-02T07:00:00.000Z,0.909823677581864,,,,,,,,detroit,False
4098c128-95e9-4085-b44b-8e568fff638c,Meta Physica Wellness Center,spas,"['massage', 'naturopathic_holistic']",MI,Detroit,48216.0,1701 Trumbull St,42.3295521,-83.0658971,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,a2d56b0f-fffc-46ad-b4bc-03aee769f384,,,,OpenStreetMap,2023-04-26T18:52:42.000Z,,detroit,False
c5836002-375e-4871-bf27-e9574656a2c5,META Athletics,gym,"['fitness_trainer', 'life_coach']",OK,Oklahoma City,73132.0,8101 Silver Xing,35.5534057,-97.6500433,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,oklahoma-city,False
5703a425-95ef-4e24-a4b2-04e3d560df58,Meta Special Aerospace - Technical Services (MRO),automotive,,OK,Oklahoma City,73132.0,7301 NW 50th St,35.52285033,-97.6419905,Microsoft,2020-09-29T22:41:55.317Z,0.77,2f8bab45-3788-42fd-867a-88711fbd1862,,,,OpenStreetMap,2025-05-31T19:47:41.000Z,,oklahoma-city,False
d376f2a5-60db-423c-a0d7-0bfccb035518,Meta Special Aerospace,business_to_business_services,"['aircraft_repair', 'airlines']",OK,Oklahoma City,73008.0,5600 Philip J Rhoads Ave,35.5296514,-97.6386995,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,,,,,oklahoma-city,False
b85a87a1-7c51-4be7-bbc4-8157e14d1eb9,Meta Special Aerospace - FBO,automotive,,OK,Bethany,73008.0,7200 NW 63rd St,35.537914276123,-97.6420745849609,Microsoft,2021-04-05T14:07:12.840Z,0.77,15dac459-c70c-427f-b1fd-eb9606c088fa,,,,OpenStreetMap,2025-05-31T19:47:41.000Z,,oklahoma-city,False
37b09756-2db0-46e8-9518-4ee461af8b02,"META law, inc. - Muegenburg Estate & Trust Attorneys",lawyer,"['wills_trusts_and_probate', 'financial_service']",CA,Ventura,93003.0,1893 Knoll Dr,34.255985,-119.220601,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,9dfbca6a-f3c4-45bf-9343-e1ba1d32d72c,,,,OpenStreetMap,2024-05-15T03:36:00.000Z,,oxnard,False
489e6aa5-385f-4412-8a07-76f17b036e37,Meta Healing Connection,naturopathic_holistic,"['hospital', 'health_and_medical']",CA,Ventura,93001.0,73 N Palm St,34.2817037,-119.2963132,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,68c98c48-941b-4f89-aeb7-feb27030f16d,,,,OpenStreetMap,2025-05-04T09:23:43.000Z,,oxnard,False
7eea7e02-c831-44a8-94a8-d1ce6a6a1b3f,Meta Market,grocery_store,"['liquor_store', 'health_food_store']",CA,Ventura,93001.0,1194 E Meta St,34.2782253,-119.2826085,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,c2c9a712-db0b-4318-8773-910f55bd7a49,,,,OpenStreetMap,2024-02-28T19:05:47.000Z,,oxnard,False
6ba1e814-0879-416a-b5ed-f73ae7051c1c,Clinicas Meta Health Center,medical_center,"['community_center', 'health_and_medical']",CA,Oxnard,93030.0,650 Meta St,34.1952094,-119.1757227,Microsoft,2025-04-18T19:13:06.447Z,0.77,604b4535-8c7e-408e-9832-8114b89f90b9,,,,OpenStreetMap,2024-05-14T22:37:09.000Z,,oxnard,False
97ab91ca-7d84-44a2-9383-c4ec44682d5f,Facebook,event_planning,['bar'],TX,Dallas,75225.0,5956 Sherry Ln,32.86203,-96.809778,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,fe83eab0-1aa2-477f-9cdf-31248d4c83ab,,,,OpenStreetMap,2019-10-23T18:13:58.000Z,,dallas,True
31624f25-07a7-46b9-8008-4a2adbaf3b75,https://www.facebook.com/Aspenmarkroofing?ref=hl,professional_services,"['adoption_services', 'european_restaurant']",TX,Dallas,75220.0,2947 Blystone Ln,32.8739749,-96.8790397,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,70114dc8-9809-4ef7-969a-392b53c5ef0b,,commercial,warehouse,OpenStreetMap,2017-01-17T20:13:35.000Z,,dallas,False
e94c92bc-a32e-4430-a03a-9bd2088429fe,Meta Beauty 4:7,beauty_and_spa,,TX,Frisco,75034.0,5850 Town and Country Blvd,33.0905503,-96.8363266,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,f8994dd3-5161-410d-91a7-317c99d1bd11,,commercial,office,OpenStreetMap,2025-02-03T23:14:49.000Z,,dallas,False
018e8f8c-aecf-4d8e-af35-2be4de3e04f8,Meta Health,acupuncture,"['naturopathic_holistic', 'health_and_medical']",CA,Santa Monica,90404.0,2812 Santa Monica Blvd,34.0355363,-118.471714,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,los-angeles,False
15310b82-d4bd-4b0c-b216-e053a63f4960,META Foundation,community_services_non_profits,['beauty_salon'],CA,Beverly Hills,90211.0,8383 Wilshire Blvd,34.06501,-118.37347,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,e99de3df-9b4e-49e6-a922-cf61a9e183d1,,commercial,commercial,OpenStreetMap,2016-06-16T17:31:56.000Z,,los-angeles,False
37790ffd-90d6-46c7-8cf9-1e795450a56a,Meta Theatre,topic_concert_venue,"['theatre', 'cinema']",CA,Los Angeles,90046.0,7801 Melrose Ave,34.08406,-118.359629,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,74743a8f-9401-41b9-b302-a59a05b9552d,,commercial,retail,OpenStreetMap,2016-06-18T07:44:11.000Z,,los-angeles,False
ed888e73-fe21-4d1a-ad19-caa0a6420506,Emerald Terrace-Meta Housing,real_estate_service,"['real_estate', 'accommodation']",CA,Los Angeles,90026.0,1345 Emerald Dr,34.059827,-118.259885,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,4c7bd2bc-a5e8-41a4-ac89-1bd59860085e,,,,OpenStreetMap,2016-06-21T00:46:54.000Z,,los-angeles,False
4c9319e7-1020-4b67-8f09-311eba612789,Facebook Headquarters,real_estate,"['church_cathedral', 'real_estate_agent']",CA,Encino,0.0,,34.158906,-118.49276,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,db614476-63cd-466b-bdcd-3e661d2f4f70,,residential,house,OpenStreetMap,2016-07-16T08:21:11.000Z,,los-angeles,False
4c9319e7-1020-4b67-8f09-311eba612789,Facebook Headquarters,real_estate,"['church_cathedral', 'real_estate_agent']",CA,Encino,0.0,,34.158906,-118.49276,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,397221c4-2db9-42f6-9835-8955d87243f3,,residential,house,OpenStreetMap,2016-07-16T08:21:09.000Z,,los-angeles,False
f6424e86-4a1d-48ce-8e37-474476897d33,META+LAB,software_development,['web_designer'],CA,Northridge,91324.0,9423 Reseda Blvd Unit A,34.24151010442623,-118.53645443916278,Microsoft,2017-11-21T04:34:33.233Z,0.77,402a0c2e-62fa-4518-a818-d797c8c31095,Meridian Place,residential,apartments,OpenStreetMap,2023-03-06T19:21:54.000Z,,los-angeles,False
c3ff488b-1d10-4654-bd4f-f329ca61b3a7,Meta H20 & Superior Health Products,vitamins_and_supplements,"['health_food_store', 'nutritionist']",CA,Los Angeles,91423.0,13808 Ventura Blvd,34.1482766,-118.4334613,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,a29da492-bb19-46bc-83dc-600380ed80be,,commercial,retail,OpenStreetMap,2016-07-19T09:52:02.000Z,,los-angeles,False
3e1e7f9f-6a99-4f0f-ba5a-4bcc2de237d1,Meta Spa,cosmetic_and_beauty_supplies,['beauty_and_spa'],CA,Burbank,91506.0,1715 W Verdugo Ave,34.16789,-118.32408,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,bc8cf831-ee70-43e3-ab47-7c4887abf06d,,commercial,retail,OpenStreetMap,2019-10-07T06:34:22.000Z,,los-angeles,False
7a301e15-0221-42c4-bce0-e40a94944e34,META Risk Managers,insurance_agency,,CA,Fullerton,92832.0,201 N Harbor Blvd,33.871544,-117.924662,meta,2025-06-02T07:00:00.000Z,0.909823677581864,8441ddf5-51cd-4d23-950d-d0b175fa32de,,,,OpenStreetMap,2022-04-17T02:00:39.000Z,,los-angeles,False
d2a3fb65-61c5-4b4c-9cbf-ef64cfdb32d3,""" Logra Tu Meta """,restaurant,"['health_food_store', 'health_and_medical']",CA,El Monte,91731.0,3617 Monterey Ave,34.0757224,-118.0381215,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,b91ef5f8-5818-4175-b073-dfdc6f98aafb,,commercial,retail,OpenStreetMap,2017-02-01T10:14:29.000Z,,los-angeles,False
abd7b43a-f4f9-47dc-b95e-17c8ecbb59ee,Meta Mfg Corp,automotive_repair,"['automotive', 'commercial_industrial']",OH,Cincinnati,45242.0,8901 Blue Ash Rd,39.219381,-84.386551,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,54aab47a-40c6-4128-9567-4aa26857c220,,,,OpenStreetMap,2015-03-31T08:29:17.000Z,,cincinnati,False
e2a413c7-4dee-4b04-92c0-fdc1fdb7d21a,Herbal Meta Nepal,eyewear_and_optician,,OH,Cincinnati,45241.0,10870 Willfleet Dr,39.26387,-84.39847,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,f4f9b52a-5b4c-474b-a3ed-d657e242e611,,,,OpenStreetMap,2019-04-26T11:12:58.000Z,,cincinnati,False
