id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
39f4ff6a-aa47-4f94-9a72-f0c41d3e7435,Mohawk Insurance Services,insurance_agency,,NY,Albany,12203.0,4 Tower Pl,42.6862167,-73.8427172,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,albany,False
fbaee306-3f1b-4e7b-9c08-5eeff633a02d,Mohawk Hudson Land Conservancy,community_services_non_profits,"['environmental_conservation_organization', 'social_service_organizations']",NY,Albany,12205.0,195 New Karner Rd,42.7186504,-73.8647855,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,05caff23-44b1-4634-abd3-96cb131364a6,Albany Pine Bush Discovery Center,,,OpenStreetMap,2015-01-02T14:09:03.000Z,,albany,False
4f69036d-4d2e-46c7-a5be-60f3117e8e90,Mohawk Innovative Technology,b2b_science_and_technology,"['engineering_services', 'professional_services']",NY,Colonie,12205.0,1037 Watervliet Shaker Rd,42.7438354,-73.8400194,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,d0975849-cea1-4cb7-9c13-f2eec08b1f41,,,,Microsoft ML Buildings,2021-11-08T00:00:00.000Z,,albany,False
d570530a-25b9-40c9-bc3c-768521a95702,Mohawk Army Navy,clothing_store,"['shopping', 'fashion']",NY,Schenectady,12304.0,3514 State St,42.7705728,-73.8936647,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,e6e46e31-f695-41a2-9c74-8c36efcf869a,Mohawk Army-Navy,,,OpenStreetMap,2021-02-09T13:16:06.000Z,,albany,False
1c4104fa-a66d-4795-a8a5-d8b35ed75a31,Mohawk Mall,shopping_center,"['shopping', 'delicatessen']",NY,Schenectady,12304.0,425 Balltown Rd,42.7750152,-73.8928062,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,c4f288de-5e0f-4671-91f3-6e39d01d0f94,,,,OpenStreetMap,2013-04-12T22:21:12.000Z,,albany,False
14dc138d-1b50-473a-a945-39568dc13a1b,Mohawk Commons,shopping_center,"['shopping', 'landmark_and_historical_building']",NY,Schenectady,12304.0,402 Balltown Rd,42.7744723,-73.8925055,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,,,,,albany,False
bdcddbb9-80ee-4e69-92ea-8ad153a6ff17,Mohawk Golf Club,active_life,['golf_course'],NY,Niskayuna,12309.0,1849 Union St,42.7990111,-73.8911821,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,912af343-e3cd-4b75-adf2-f6d229c267b0,Mohawk Golf Club,,,OpenStreetMap,2024-06-20T00:32:00.000Z,,albany,False
fe64eab0-bb1a-4ccd-8520-cab419f6b77f,Mohawk Hudson Bike Path - Rosendale Rd,hiking_trail,,,,12309.0,Rosendale Rd,42.7708389,-73.8303284,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,19cf5a50-c96f-41c5-892c-c0955e2d4398,,,,Microsoft ML Buildings,2021-11-08T00:00:00.000Z,,albany,False
1044fbba-7e69-49c4-82ca-5da071ddf27a,Mohawk Towpath Scenic Byway,active_life,"['community_services_non_profits', 'tours']",NY,Clifton Park,0.0,,42.7993919,-73.8398217,meta,2025-06-02T07:00:00.000Z,0.296943231441048,,,,,,,,albany,False
2bfcc36a-1ccd-4fdf-a26d-1843bdc36a95,Mohawk River State Park,skate_park,"['park', 'river']",,,0.0,,42.8036,-73.8515,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,,,,,albany,False
