id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
dd79a315-70bc-42dc-90c7-29123f50ae29,lonsdale marsh,landmark_and_historical_building,"['fountain', 'monument']",RI,Cumberland,0.0,,41.901974,-71.3947609,meta,2025-06-02T07:00:00.000Z,0.296943231441048,c6b51221-3ba9-4eae-9b9c-22e692af0410,,,,Microsoft ML Buildings,2020-10-08T00:00:00.000Z,,providence,False
afba2add-f529-4399-b533-70fa44907ba9,Marsh and Long Surveying,land_surveying,"['engineering_services', 'contractor']",RI,Smithfield,2917.0,450 George Washington Hwy,41.9286498,-71.4986961,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,,,,,providence,False
543449ae-2b7b-456c-9e1e-72a3c6e59c72,Mercer Advisors,financial_advising,"['professional_services', 'financial_service']",NV,Reno,89511.0,5470 S Kietzke Ln,39.4649183,-119.7892124,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,35e9aaf0-5290-4788-b4bb-ae5a67d75b40,Biggest Little Speech Co.,commercial,office,OpenStreetMap,2025-04-06T14:27:21.000Z,,reno,False
d750cbe8-99ba-41d9-8267-81b67d8fb1f3,Shelly Marsh Walters with Coldwell Banker Lic # S.0174760,real_estate_agent,"['professional_services', 'real_estate']",NV,Reno,89502.0,1170 S Rock Blvd,39.4986266,-119.7500158,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,964c8a07-d149-4041-aec4-2fc857bc1e14,,commercial,commercial,OpenStreetMap,2024-11-05T00:41:38.000Z,,reno,False
619c51cd-9cb4-4c38-890b-6a201e296c37,Mercer Middle School,middle_school,"['school', 'public_school']",VA,Aldie,20105.0,42149 Greenstone Dr,38.9249457,-77.5469767,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,1b435f28-c489-46ad-8116-122d9da13743,Mercer Middle School,education,school,OpenStreetMap,2021-09-01T14:55:16.000Z,,washington-dc,False
5a249c38-54e2-4996-b34e-3b5b218fcedf,"Mercer Park, Aldie",park,['home_developer'],VA,Aldie,0.0,,38.9347151,-77.5431448,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,e06a375c-eb7e-44ee-ac20-9c553ca9ba95,,,,OpenStreetMap,2023-05-20T00:53:39.000Z,,washington-dc,False
7d20cba2-3ae6-4077-9572-56353fae534c,Mercer Condominium,landmark_and_historical_building,"['accommodation', 'property_management']",VA,Reston,20191.0,11760 Sunrise Valley Dr,38.9497227,-77.3525625,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,washington-dc,False
000a0eeb-ee18-41f3-936a-fa8885b1d1f4,Mercer Lake,lake,"['hiking_trail', 'park']",VA,Fairfax Station,0.0,,38.7370345,-77.2570641,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,,,,,washington-dc,False
f558232b-9a34-47d7-973c-292ff3901b82,Lake Mercer,lake,"['hunting_and_fishing_supplies', 'park']",,,22153.0,,38.7387964,-77.2584714,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,,,,,washington-dc,False
accf204c-5295-4614-b8c2-210f111c2c91,Lake Mercer Trail,hiking_trail,['lake'],,,22039.0,,38.7380785,-77.254937,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,,,,,washington-dc,False
