id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
5e6386b1-ed81-42b1-a153-790befa660da,Molina Healthcare of Idaho,medical_center,"['insurance_agency', 'health_department']",e6ee456d-28dc-43a6-ace3-4d228f9973de,Banner Bank Building,commercial,office,boise-city,ID,Boise,83702.0,950 W Bannock St,43.618264,-116.2038616,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2021-05-15T18:53:15.000Z,,False
359cea46-083e-4176-9a72-258d91504dd5,Molina Healthcare of Michigan Regional Office,health_coach,['health_and_medical'],c0e8f633-b651-4e1e-aced-9a7ede149429,Old Detroit News Building,commercial,office,detroit,MI,Detroit,48226.0,615 W Lafayette Blvd #500,42.3285114,-83.0538582,Microsoft,2017-04-17T22:48:57.590Z,0.77,OpenStreetMap,2022-06-18T19:44:10.000Z,,True
81f37d33-c884-44b7-a699-dad68ea525b4,Molina Insurance Agency,insurance_agency,['financial_service'],faa07ba9-514c-4a9e-9113-f73c71cc86cf,,,,detroit,MI,Waterford,48329.0,4620 Dixie Hwy,42.6856606,-83.3790436,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2022-08-25T09:03:57.000Z,,False
c9cec14c-aeaa-4b7d-8f26-5841fe4fecac,Molina Healthcare of Michigan,hospital,"['health_department', 'insurance_agency']",0e963d46-e497-4b0c-8daa-8b7d2f5e142f,,,,detroit,MI,Troy,48098.0,880 W Long Lake Rd,42.5928712,-83.1672822,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2023-03-23T00:30:06.000Z,,False
2fd205ae-dc89-4863-a376-9d9aeb4b91bf,Molina Healthcare of Nevada,insurance_agency,['health_department'],c8498784-a6c6-40d7-80a5-3dcd2880b417,,,,las-vegas,NV,Las Vegas,89113.0,8329 W Sunset Rd,36.0687076,-115.2731029,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,OpenStreetMap,2024-01-03T01:08:13.000Z,,False
06bc73cf-44ca-42b1-adda-5f1a89ee9356,Molina Healthcare,hospital,"['health_department', 'insurance_agency']",31067acd-402e-4a06-8cb9-e758120a3c94,,commercial,office,chicago,IL,Downers Grove,60515.0,2001 Butterfield Rd,41.8307273,-88.033278,meta,2025-06-02T07:00:00.000Z,0.8980891719745223,OpenStreetMap,2021-12-31T06:09:04.000Z,,False
06bc73cf-44ca-42b1-adda-5f1a89ee9356,Molina Healthcare,hospital,"['health_department', 'insurance_agency']",d24f4e3d-1ee3-4c7f-94b9-c56094e159e8,,commercial,office,chicago,IL,Downers Grove,60515.0,2001 Butterfield Rd,41.8307273,-88.033278,meta,2025-06-02T07:00:00.000Z,0.8980891719745223,OpenStreetMap,2021-12-31T06:09:04.000Z,,False
346a17d8-07e3-4b30-a4c9-1d1b6ac0249a,Molina Healthcare,hospital,"['medical_center', 'health_department']",,,,,chicago,CA,Long Beach,90802.0,200 Oceangate Plz,41.7944,-88.0104,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,,,,False
21320f19-d2bc-4573-b391-355b35698354,Molina Healthcare,hospital,"['health_department', 'health_and_medical']",e2c84900-9f21-4e36-926c-b99d551d49cc,,,,charleston,SC,North Charleston,29405.0,4105 Faber Pl Dr,32.8435321,-80.0202763,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2023-03-01T08:00:40.000Z,,False
0ce6f4c8-08ca-4fae-a177-f3f56106ca97,Molina Healthcare Indio Resource Center,health_insurance_office,['health_and_medical'],f76d2aed-988e-4075-baf3-0bcba784f805,,,,indio,CA,Indio,92201.0,81735 CA-111 Ste b,33.7102523,-116.2382264,Microsoft,2023-11-10T21:42:12.760Z,0.77,Microsoft ML Buildings,2022-05-28T00:00:00.000Z,,False
3a254dc5-03f3-4d5d-a8ef-6fb904ec5a98,Molina Healthcare of California Regional Office,health_coach,"['medical_center', 'health_and_medical']",,,,,victorville,CA,Victorville,92394.0,15095 Amargosa Rd Ste 202,34.5248287,-117.3296539,Microsoft,2020-06-30T13:34:33.100Z,0.77,,,,True
af964b6a-9a87-4008-b78a-8d30f5a4485d,Molina Healthcare of New Mexico,health_department,['insurance_agency'],86792a23-b9d4-43b4-aa77-176114a6f585,Plaza Compana,commercial,commercial,albuquerque,NM,Albuquerque,87102.0,400 Tijeras Ave NW,35.0864147,-106.6517453,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,OpenStreetMap,2023-05-18T14:34:00.000Z,,False
