id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
cf1777f2-e133-469e-8a11-fb55ba7d73cb,NS Dance Studio,dance_school,['performing_arts'],ef38c708-8f26-4475-b478-e84d4bc6cec4,,,,birmingham,AL,Vestavia Hills,35243.0,3242 Cahaba Heights Rd,33.4546377,-86.7283895,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,Microsoft ML Buildings,2021-03-08T00:00:00.000Z,,False
bd3a2bd2-32b7-43f0-b232-d948fb52668e,Norfolk Southern,train_station,['travel'],2132609f-b388-4438-a5e3-61c792a92241,Red Roof PLUS,,,birmingham,AL,Birmingham,35235.0,6001 Southern Industrial Dr,33.53226,-86.7033588,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2023-12-06T07:16:13.000Z,,False
9095e4ae-083d-459e-9edc-c63a0690c195,Norfolk Southern Railroad,railroad_freight,"['train_station', 'travel']",,,,,birmingham,AL,Birmingham,35210.0,1400 Norfolk Southern Dr,33.54489,-86.70194,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
4773391a-bb7d-4bdd-9d7a-d980b1ccab3d,Norfolk Southern,railroad_freight,"['freight_and_cargo_service', 'professional_services']",,,,,birmingham,AL,Birmingham,35210.0,1400 Norfolk Southern Dr,33.5497382,-86.6941444,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
db53f07d-e672-482a-a3b7-6f27710383bc,Norfolk Southern,professional_services,"['transportation', 'public_and_government_association']",c918475a-629f-4539-951d-9d95717dffc2,,,,durham,NC,Durham,27703.0,3000 Angier Ave,35.9725409,-78.8664845,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2020-06-27T23:31:09.000Z,,False
49e3d2b4-709a-4966-b0ef-46e4ccac04f9,Norfolk Southern,transportation,"['travel', 'freight_and_cargo_service']",964891ee-2700-4555-9bfa-e3c69c28fb43,Foster Plaza 2,commercial,commercial,pittsburgh,PA,Pittsburgh,15220.0,425 Holiday Dr,40.4217736,-80.0573204,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2019-02-20T05:49:06.000Z,,False
a6d4941f-41b7-4f4e-bfc3-0b3d91a54f79,Cedar Ave at East Ohio St NS,retirement_home,"['landmark_and_historical_building', 'transportation']",d2971231-42cd-442b-878f-c5f5e02e84ef,Giant Eagle,,,pittsburgh,PA,Pittsburgh,15212.0,318 Cedar Ave,40.451459,-79.999709,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2024-02-07T00:01:05.000Z,,False
bfca0ff2-4b23-4ace-8d2d-53ca10fb0d66,Norfolk Southern Norfolk,railroad_freight,"['contractor', 'home_improvement_store']",,,,,virginia-beach,VA,Norfolk,23507.0,500 Orapax St,36.8643305,-76.3101709,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
c486b88c-cbfa-4c7c-9064-016fac937a5c,Norfolk Southern,transportation,['train_station'],,,,,virginia-beach,VA,Norfolk,23508.0,3701 Powhatan Ave,36.879137,-76.312471,meta,2025-06-02T07:00:00.000Z,0.296943231441048,,,,False
c6ff61aa-a91c-4d52-8f53-54c8dea5f606,Norfolk Southern Railroad,railroad_freight,"['transportation', 'freight_and_cargo_service']",,,,,virginia-beach,VA,Norfolk,23507.0,2200 Redgate Ave,36.8746676,-76.3084869,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
8fe7b361-0648-4cb4-88e0-859e68a89470,Norfolk Southern Portlock Yard,railroad_freight,"['travel', 'transportation']",6ffd3dac-42c3-4cdb-8e9b-4a2403c93ea0,,,,virginia-beach,VA,Chesapeake,23324.0,1710 Atlantic Ave,36.8028521,-76.2626985,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-11-13T15:41:20.000Z,,False
de5d90d3-f0a4-4e8b-84d8-d07b778af5f8,Norfolk Ns (Chambers Fld) Airport,airport,"['travel', 'limo_services']",,,,,virginia-beach,VA,Norfolk,0.0,,36.9375992,-76.289299,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,False
d4765fd1-2b44-4544-b9fc-bdfdacba8f82,NS Graphic Design,graphic_designer,['business_advertising'],c0f0c490-053e-4070-8196-9802b50a65b1,,,,fort-worth,TX,Dalworthington Gardens,76013.0,2620 W Pioneer Pkwy,32.7092481,-97.1514906,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2019-08-14T14:37:00.000Z,,False
da577791-8932-4515-bc14-fa02a1fd0770,NS Custom Upholstery,furniture_assembly,"['construction_services', 'automotive']",ce7d3769-4a80-4ab5-b940-50ae652f17b9,,,,sarasota-bradenton,FL,Bradenton,34207.0,5620 14th St W,27.4415395,-82.5758275,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,OpenStreetMap,2022-01-07T03:46:11.000Z,,False
c93b4972-23d8-4c5f-b3d3-55db32ad6af6,NS Cargo,business_to_business,,,,,,miami,FL,Miami,33182.0,12950 NW 25th St 204,25.796767,-80.412139,Microsoft,2025-05-15T05:51:27.583Z,0.77,,,,False
