id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
bc3bf035-fca6-4772-abeb-c3b47b506da3,Nucor Skyline,iron_and_steel_industry,"['metal_fabricator', 'iron_and_steel_store', 'wholesaler', 'metals', 'business_equipment_and_supply', 'business_to_business']",8abda38b-a200-4d09-879b-ac45b5b60597,,,,washington-dc,VA,Springfield,22150.0,7426 Alban Station Blvd Ste 202,38.733965,-77.199111,Microsoft,2022-09-06T13:53:25.950Z,0.77,OpenStreetMap,2013-10-18T04:56:15.000Z,,False
286e38ba-4c00-4ff7-b008-58da265c93ed,Nucor Steel Seattle,professional_services,"['commercial_industrial', 'metal_supplier']",d27289db-1579-4eba-afae-71ae96f8cb22,,,,seattle,WA,Seattle,98106.0,2424 SW Andover St,47.5692265,-122.3649927,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2019-04-20T16:09:30.000Z,,False
185bf5dc-b63c-420b-a961-ecfbb4fe6665,Nucor Steel Seattle,commercial_industrial,"['professional_services', 'iron_and_steel_industry']",,,,,seattle,WA,Seattle,98106.0,4260 W Marginal Way SW,47.56494,-122.35048,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,False
befecd63-5079-40b6-b1d6-50f1cc364458,Nucor Steel Birmingham,metal_supplier,"['commercial_industrial', 'metal_fabricator']",0164ab91-9390-41db-93bb-952f92963cf2,,,,birmingham,AL,Birmingham,35234.0,2301 FL Shuttlesworth Dr,33.5458128,-86.8067059,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,Microsoft ML Buildings,2021-03-08T00:00:00.000Z,,False
fe5ab74b-39af-4dd3-bcf7-d41fdea03dc4,Nucor Tubular Products,business,['business_manufacturing_and_supply'],b4e5d1fc-aa82-48ce-90f9-6237701af049,,,,birmingham,AL,Birmingham,35234.0,3525 Richard Arrington Jr Blvd N,33.5353037,-86.7888777,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,Microsoft ML Buildings,2021-03-08T00:00:00.000Z,,False
8dd3892d-7578-4440-be2c-0644ce773b33,Nucor Rebar Fabrication,metal_fabricator,"['shopping', 'hardware_store']",,,,,detroit,ON,Tecumseh,10.0,4995 8th Concession Rd,42.2448694,-82.9487506,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
0dafb464-1415-4d75-bb65-d986811c77a2,Nucor Cold Finish Wisconsin,metal_supplier,"['commercial_industrial', 'industrial_company']",3281ae37-fcd4-4a53-b573-516fde3202dd,,,,milwaukee,WI,Oak Creek,53154.0,7200 S 6th St,42.9135275,-87.916577,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-12-04T23:53:47.000Z,,False
22026607-26c0-4997-b9d4-b174b8e92301,Nucor Construction Corp,construction_services,['contractor'],c6c9f0bd-d8d0-4947-bc0a-b0810497db81,,,,new-york,NY,New York,10001.0,117 W 28th St,40.7465006,-73.9913319,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2015-05-12T19:23:45.000Z,,False
22026607-26c0-4997-b9d4-b174b8e92301,Nucor Construction Corp,construction_services,['contractor'],318858ec-a428-47b9-ab88-1896f4ce33ae,,,,new-york,NY,New York,10001.0,117 W 28th St,40.7465006,-73.9913319,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2014-07-15T12:19:52.000Z,,False
ec37e452-50a7-49cb-ac59-5972228bc94c,Nucor Skyline,iron_and_steel_industry,"['metal_fabricator', 'iron_and_steel_store', 'wholesaler', 'metals', 'business_equipment_and_supply', 'business_to_business']",5385c97e-2b8e-4e47-a088-d879ef1aaa1b,,,,new-york,NJ,Parsippany,7054.0,300 Kimball Dr Ste 401,40.860854,-74.40711,Microsoft,2022-09-06T13:06:03.470Z,0.77,OpenStreetMap,2022-03-24T03:06:14.000Z,,False
