id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
2c266b29-fa80-49e4-83bc-771c017a7617,Nvidia Redmond,it_service_and_computer_repair,"['professional_services', 'business_advertising']",6242e223-ec3a-40ee-963a-be962e947852,,,,seattle,WA,Redmond,98052.0,11431 Willows Rd NE,47.7034093,-122.153782,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2024-08-17T21:55:24.000Z,,False
c2c02e08-497c-44eb-8037-b87ea842ae20,NVIDIA Corporation,software_development,"['business', 'information_technology_company']",02a31d15-c309-41ca-9365-405787c079f5,,,,austin,TX,Austin,78717.0,11001 Lakeline Blvd,30.4801765,-97.7932237,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2015-11-22T08:31:49.000Z,,True
2b982ca5-0582-4d71-a3d6-6b8e8fc3c02d,NVIDIA,computer_hardware_company,,,,,,new-york,NY,New York,10003.0,41 E 11th St 11th Fl,40.7331609,-73.9930016,Microsoft,2023-11-06T23:46:15.390Z,0.77,,,,True
1e5ff2eb-a539-4be6-b71e-7e4ba35b35e1,Nvidia Auditorium,auditorium,"['cinema', 'museum']",eec8ec37-f0a3-4698-a73c-efa488ae1f55,Jen-Hsun Huang Engineering,,,san-jose,,,94305.0,,37.4281422,-122.1740743,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2023-10-28T15:27:54.000Z,,False
90ebe9be-f6d3-4059-8d17-dc63547c892e,NVIDIA Building D,event_planning,['real_estate'],,,,,san-jose,CA,Santa Clara,95050.0,2731 San Tomas Expy,37.3699832,-121.9637523,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,True
f927e691-8780-4b9c-84b9-561285818e47,NVIDIA,computer_hardware_company,,,,,,san-jose,CA,Santa Clara,95051.0,2788 San Tomas Expy,37.3717415,-121.9659785,Microsoft,2023-11-06T23:46:15.390Z,0.77,,,,True
f3e8a61c-5a76-413d-a789-ddecf0bd3138,Nvidia Corporation,community_services_non_profits,['public_and_government_association'],f16db2c2-fe61-4745-8b5f-569508e53c3f,NVIDIA Building B,,,san-jose,CA,Santa Clara,95050.0,2701 San Tomas Expy,37.3710421,-121.9639017,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2022-03-19T08:54:45.000Z,,False
f0171b37-9c19-4532-babb-f9e57ca0ddb9,NVIDIA Building E,business,"['information_technology_company', 'computer_hardware_company']",b11ab002-d809-419c-9d15-6237f8df925a,NVIDIA Building E,,,san-jose,CA,Santa Clara,95050.0,2800 Scott Blvd,37.3712645,-121.9609989,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2014-07-24T17:39:29.000Z,,True
b3c4846d-455b-45cd-b00e-1593d5786327,NVIDIA Networking,software_development,"['computer_hardware_company', 'professional_services']",,,,,san-jose,CA,Sunnyvale,94085.0,350 Oakmead Pkwy,37.3787354,-121.9874758,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,,,,True
03ea5107-f3cf-47d6-b008-77be6a7828e5,Nvidia Corporation,software_development,"['it_service_and_computer_repair', 'business']",,,,,fort-collins,CO,Fort Collins,80525.0,300 Boardwalk Dr,40.5325779,-105.0731492,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,False
