id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
7e5f4e07-a570-4a11-b1a3-b9fad48cdabb,Cycle The Times,shopping,['convenience_store'],de693164-79de-4a4e-94c3-c5c6bcf5ce0f,,commercial,hotel,mission-viejo,CA,San Juan Capistrano,92675.0,31641 Rancho Viejo Rd,33.5024457,-117.6550041,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2020-08-27T18:10:24.000Z,,False
26679ba6-89d8-48d7-b922-6c6bfc19c6b3,Sign of the Times,art_gallery,"['shopping', 'arts_and_entertainment']",2784607d-4bd4-4903-aa38-e56f13461b45,,commercial,warehouse,los-angeles,CA,Vernon,90058.0,4950 S Santa Fe Ave,33.9980374,-118.2288184,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2016-07-12T21:27:58.000Z,,False
a6c56ac6-5ea3-414c-ab48-1faf597cd9ac,The Times DJs,bar,"['dance_club', 'social_service_organizations']",d033b860-0502-469c-88ea-e12018b85c16,STILE Downtown Los Angeles by Kasa,commercial,commercial,los-angeles,CA,Los Angeles,0.0,,34.04197,-118.25688,meta,2025-06-02T07:00:00.000Z,0.1666666666666666,OpenStreetMap,2024-02-22T22:59:30.000Z,,False
6608ea99-0c8a-41e8-948e-6e2e9a3f5937,Abound by The Times of India,shopping,['sex_therapist'],e7a66367-dfb1-42db-bc88-2872ab7e7e05,,,,los-angeles,,,0.0,,33.90693,-117.86567,meta,2025-06-02T07:00:00.000Z,0.3313953488372093,OpenStreetMap,2022-01-19T19:12:01.000Z,,False
0d93d9e9-8471-415e-9adb-02f807a5ef80,The Times of Our Lives,yoga_studio,['gym'],,,,,grand-rapids,MI,Georgetown Twp,49428.0,7721 Georgetown Center Dr,42.9094043,-85.8284272,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,False
a937d936-7141-495e-9bc9-b20456ec95b6,The Times Nail Lounge,nail_salon,['beauty_and_spa'],5ae7beef-8600-4b67-9b3a-5f263d65aea6,,,,atlanta,GA,Douglasville,30135.0,"2562 Fair Burn Rd, Suite G10-G20",33.7352076,-84.6708307,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2021-12-09T14:06:55.000Z,,False
18e378f4-af3e-48e7-b1f7-dc4bee8d4dad,The Wall Street Journal,convenience_store,['newspaper_and_magazines_store'],5ba61623-ea03-4339-ba7f-6f061bc69755,A Concourse,,,detroit,,,48242.0,L.C. Smith Terminal,42.2046584,-83.3607465,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2025-03-31T17:05:35.000Z,,False
21515c96-5519-4cea-89cd-6c6e397776c5,Designs of the Times Florist,flowers_and_gifts_shop,['professional_services'],,,,,palm-bay-melbourne,FL,Melbourne,32904.0,2394 Minton Rd,28.0702568,-80.6710656,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
172e3c41-ca5b-41ed-8f6c-dbccd5e68c06,WSJ Wine from The Wall Street Journal,winery,['shopping'],,,,,st-petersburg,,,0.0,,27.89722,-82.78574,meta,2025-06-02T07:00:00.000Z,0.3313953488372093,,,,False
723ff6ab-b55d-4c22-8e79-acff1976aa78,Styles of the Times,hair_salon,"['beauty_salon', 'beauty_and_spa']",d565afa0-878e-4495-a590-ee94f977ecc6,Navy Federal Credit Union,,,virginia-beach,VA,Virginia Beach,23464.0,5265 Providence Rd,36.8129888,-76.1702721,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-11-08T17:41:46.000Z,,False
4c207144-927b-4c19-8484-2e0c6f307239,Signs of the Times Two,marketing_agency,"['business_advertising', 'printing_services']",4d29b580-9614-4753-a57a-f27132cc1379,,,,providence,MA,Seekonk,2771.0,72 Mink St,41.7925678,-71.3299399,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,OpenStreetMap,2023-02-05T22:46:29.000Z,,False
a7c971e9-ce54-4ef0-b059-1b78d2c16b31,Shine of The Times Shoe Shines,shoe_store,"['automotive', 'automotive_repair']",6a4637bf-46cc-4d86-b271-f6ad832e904c,,,,new-york,NJ,New Brunswick,8901.0,90 Bayard St,40.4938924,-74.4467191,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2013-01-15T21:37:46.000Z,,False
3cf38f4b-ab18-486d-ac12-e10045ff4788,City News Corporation,shopping,"['convenience_store', 'bookstore']",28ab5008-fb71-4fe6-9813-c010095772cf,,,,new-york,NJ,Jersey City,7306.0,2988 John F Kennedy Blvd,40.7352514,-74.0628131,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2023-08-24T16:36:29.000Z,,True
