id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
25ee70e6-92de-493d-a2e2-e25e55fafbd0,Old Dominion Freight Line,freight_and_cargo_service,"['transportation', 'travel']",7ec1a632-ab2b-42e9-83c6-61897e0a5d98,,,,louisville,KY,Louisville,40211.0,1400 S 34th St,38.2344779,-85.8122523,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2015-04-17T21:05:48.000Z,,False
9744907a-03c7-471f-8c25-0b519ec3c487,Old Dominion Freight Line,freight_and_cargo_service,"['professional_sports_team', 'business_storage_and_transportation', 'active_life', 'business_to_business']",,,,,louisville,KY,Louisville,40211.0,1400 Louis Coleman Jr Dr,38.2344419,-85.8110775,Microsoft,2025-04-30T19:18:38.233Z,0.77,,,,False
bedf9f04-e1a5-4150-9a45-ed48e7982ee2,Old Dominion Freight Line,freight_and_cargo_service,"['transportation', 'travel']",,,,,washington-dc,VA,Bristow,20136.0,7937 Gainsford Ct,38.7844716,-77.5698763,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
6fd15f53-d1d5-4708-8dde-eb22bad198e8,Old Dominion Concrete Supply,building_supply_store,['recycling_center'],,,,,washington-dc,VA,Bristow,20136.0,7800 Piney Branch Ln,38.7864807,-77.5678328,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,,,,False
3e455e78-c067-400f-b900-0a4b933c6ca9,Washington & Old Dominion Trail,park,"['real_estate_agent', 'real_estate']",,,,,washington-dc,,,20170.0,,38.9701318,-77.3853082,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,False
72252aee-fa60-4240-a947-5be2fc9526c0,Old Dominion Stone,stone_supplier,['business_to_business'],155c98c1-d8c4-41bd-bb80-0170246db5e5,,residential,house,washington-dc,VA,Leesburg,20175.0,19415 Evergreen Mills Rd,39.080496,-77.573695,Microsoft,2008-01-12T12:27:02.150Z,0.77,OpenStreetMap,2023-05-15T13:20:59.000Z,,False
502174ef-2c5b-42c7-8e82-f8ae953d28b8,Washington and Old Dominion Trail near Leesburg,sports_club_and_league,"['active_life', 'hiking_trail']",,,,,washington-dc,,,20176.0,,39.0645632,-77.5107217,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
512438bc-c0ac-41a4-ae78-e2efe8eddd39,Washington and Old Dominion Railroad Regional Park,park,"['mountain_bike_trails', 'active_life']",,,,,washington-dc,VA,Ashburn,20147.0,21293 Smith Switch Rd,39.0271188,-77.4607232,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
21379e52-4bf8-466f-b216-93efdf62951d,Old Dominion Orthodontics,orthodontist,"['hospital', 'dentist']",c2fa2d2f-f296-4952-8064-2f0dcb91fec6,,commercial,commercial,washington-dc,VA,Ashburn,20147.0,44121 Leesburg Pike,39.0666472,-77.4744076,meta,2025-06-02T07:00:00.000Z,0.9879256218304756,OpenStreetMap,2023-10-11T17:32:15.000Z,,False
0a6f80ee-aae7-4114-92d0-346ebd8b8f00,Old Dominion Orthodontics,orthodontist,"['dentist', 'health_and_medical']",4ca162a0-0644-4e5f-8c83-b85cd5322cb0,,,,washington-dc,VA,Sterling,20165.0,21155 Whitfield Pl Ste 107,39.0303233,-77.3974779,Microsoft,2019-09-27T12:01:35.073Z,0.77,OpenStreetMap,2021-04-14T20:57:30.000Z,,False
2a81a722-9b07-4574-ae14-e5bbf368fb89,Old Dominion Orthodontics,orthodontist,"['dentist', 'health_and_medical']",fa78b49d-7761-459e-a9b7-57f66992d173,,,,washington-dc,VA,Sterling,20165.0,21155 Whitfield Pl Ste 107,39.0324897766113,-77.3963317871094,Microsoft,2019-09-21T22:23:40.453Z,0.77,OpenStreetMap,2021-04-14T20:57:30.000Z,,False
4c096e41-acb0-443d-be26-7307cf4100f9,"Old Dominion Cleaning co., INC.",home_cleaning,"['windows_installation', 'carpet_cleaning']",,,,,washington-dc,VA,Springfield,22150.0,7309 Highland St,38.7946927,-77.1986548,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,,,,True
cd765582-784c-4963-94cc-e18945dbfa01,Old Dominion Settlements,real_estate,['hotel'],61ca0f07-be05-4de9-a963-daf6ff64f357,Shell,commercial,,washington-dc,VA,Annandale,22003.0,7010 Little River Tpke,38.829532,-77.187711,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2023-12-02T23:26:02.000Z,,False
4172730d-b63c-45e0-aeea-7f98609dfa44,"Old Dominion Barbecue and Bacon Company, LLC",barbecue_restaurant,"['restaurant', 'american_restaurant']",cc8f9899-aa5a-4403-beeb-88a85ef69f55,,,,washington-dc,VA,Lorton,22079.0,"Frontier Kitchen, 8538 Terminal Rd",38.769,-77.08033,meta,2025-06-02T07:00:00.000Z,0.296943231441048,Microsoft ML Buildings,2023-09-01T00:00:00.000Z,0.9740999937057496,True
3fbabd38-7366-4d78-a302-5b59d8d36749,Washington & Old Dominion Regional Park,park,"['active_life', 'bicycle_shop']",,,,,washington-dc,,,22206.0,S 4 Mile Run Dr @ S Shirlington Rd,38.844325,-77.0860546,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
8c45083a-f171-4653-a300-a4e2f6ab3f0d,Old Dominion Boat Club,active_life,"['marina', 'private_association']",53eac2f6-80ea-4eff-b7ee-35cc2ff47792,Old Dominion Boat Club,,,washington-dc,VA,Alexandria,22314.0,200 Strand St,38.8029006,-77.0393926,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-12-21T00:56:27.000Z,,False
