id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
52680ca2-e1f6-4ed4-84b6-37ba7d9fa35b,Paramount Stoneworks,building_supply_store,"['patio_covers', 'swimming_pool']",599c6602-8e77-4bec-b060-d8c839dae95f,,commercial,commercial,daytona-beach-port-orange,FL,Holly Hill,32117.0,711 Commercial Dr,29.2372966,-81.0405105,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,OpenStreetMap,2021-09-24T01:25:12.000Z,,False
d038abc0-e9f1-4a1b-b25d-b7cd55b6d177,Paramount Beauty Supply - Syracuse,cosmetic_and_beauty_supplies,['beauty_and_spa'],,,,,syracuse,NY,De Witt,13214.0,5861 Thompson Rd,43.0543433,-76.0825159,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
60fb92c7-2d63-4e9b-aad5-ec25d847ff7e,Paramount Television,cinema,"['professional_services', 'mass_media']",905d6c0b-9bd7-4898-8f7f-407545ee3592,,commercial,office,denton-lewisville,TX,Dallas,75244.0,5001 Spring Valley Rd,32.93999,-96.82362,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2024-12-21T05:46:35.000Z,,False
ae87e239-6792-4bf1-8c98-98919fa7a0f2,Paramount Tax & Bookkeeping Addison,trusts,"['accountant', 'financial_advising']",b789c701-4554-4238-ae4c-0b226ce39576,,commercial,commercial,denton-lewisville,TX,Dallas,75248.0,17250 Dallas Pkwy,32.9851734,-96.8275798,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,OpenStreetMap,2017-01-30T19:11:06.000Z,,False
456c66f7-d9f3-4f0a-b7e2-a88f71168420,CBS Denton County Class,religious_organization,,,,,,denton-lewisville,TX,Lewisville,75057.0,2021 N Mill St,33.07391,-97.01089,meta,2025-06-02T07:00:00.000Z,0.296943231441048,,,,False
e1ea39dd-0cbf-427c-96cb-78316a645762,CBS Liquor,liquor_store,['professional_services'],3cac1eeb-2476-4691-9a71-5db5353d0c1a,,,,denton-lewisville,TX,The Colony,75056.0,5110 Paige Rd,33.08525,-96.8761899,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2019-02-13T22:45:15.000Z,,False
1f9d8be1-c1c6-4d9c-ba41-f781d07f4cd6,Paramount Tax & Bookkeeping West Plano,trusts,"['accountant', 'financial_service']",ff42bde4-3f15-4bbf-9693-7e3d37699f46,Legacy Tower,commercial,commercial,denton-lewisville,TX,Plano,75024.0,7250 Dallas Pkwy,33.0776511,-96.8234073,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2025-01-28T17:21:03.000Z,,False
bcd8b585-088f-4b40-b2a9-95d6f26bba77,Paramount Jewelers,jewelry_store,,506d19ea-32f0-4671-aeae-87131f556695,Stonebriar Centre,commercial,retail,denton-lewisville,TX,Frisco,75034.0,2601 Preston Rd,33.1000509,-96.8097071,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-01-21T09:26:18.000Z,,False
dbd80dbe-094d-49ff-adcf-9efbbd597666,Kbak Tv 29 CBS News,broadcasting_media_production,['professional_services'],2f901221-c63e-4773-a86d-cd9ea3ff86d0,Sinclair Broadcast Group,,,bakersfield,CA,Bakersfield,93301.0,1901 Westwind Dr,35.376703,-119.043178,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2024-02-27T21:02:30.000Z,,False
9b76b17b-6b31-402a-be49-47bae9d483be,Paramount Custom Cabinets,countertop_installation,['professional_services'],099bc67e-4121-48ce-84d7-c1762cc994c9,,,,albuquerque,NM,Albuquerque,87106.0,640 Oak St SE,35.0768787,-106.6370202,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2020-08-10T16:19:46.000Z,,False
