id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
638c9c52-7ffd-4521-b482-0aa32b67b78a,Principal Financial Group,insurance_agency,['financial_service'],7133315c-7cd1-4a91-8535-c7549455c68a,Farmers Insurance,residential,detached,tulsa,OK,Tulsa,74135.0,4200 E Skelly Dr,36.08959,-95.92641,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2023-01-25T00:51:06.000Z,,False
6faef676-25a7-45f0-9e5e-f0580563e858,Principal Financial Network of Ohio,insurance_agency,['financial_service'],b40109d4-ecbe-4b09-b4a9-1da4291f1bcf,,commercial,office,columbus-ohio,OH,Dublin,43017.0,5600 Blazer Pkwy,40.0791488,-83.1302162,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2017-03-19T15:19:37.000Z,,True
a1b07fc9-9bed-4ee7-8199-d2960af2ddc2,Principal Financial Network of Mid-Atlantic,insurance_agency,,b6c40cb9-6cdc-4c6a-8c8a-1f2909f38dbc,,commercial,office,washington-dc,MD,Bethesda,20817.0,6700 Rockledge Dr,39.0285828,-77.1353558,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2024-10-15T01:09:16.000Z,,True
0a05db7a-72fe-4763-9b0f-ad5bc3cb8341,Principal Financial Network of North Texas,business,"['insurance_agency', 'financial_service']",,,,,dallas,TX,Addison,75001.0,5080 Spectrum Dr,32.9542539,-96.8239217,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
627babfe-1046-48bd-a20b-efdac5fe1662,Principal Financial Group,financial_service,['insurance_agency'],3dcc8c11-1154-4159-a03d-bfa6e9b04003,,,,visalia,CA,Visalia,93291.0,3530 W Mineral King Ave,36.32847,-119.330251,meta,2025-06-02T07:00:00.000Z,0.242152466367713,Microsoft ML Buildings,2022-05-30T00:00:00.000Z,,False
30b76cc8-520e-482e-a909-ee95131e1f6d,Principal Financial Network of Indianapolis,insurance_agency,['financial_service'],20693359-4fe3-4c5a-8594-4d411cdebe8b,,,,indianapolis,IN,Indianapolis,46268.0,8910 Purdue Rd,39.9168699,-86.2219217,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2022-12-12T23:03:17.000Z,,False
cc278f1a-2b83-4f82-abb1-9d5232d18143,Principal Financial Network of Georgia,financial_service,['insurance_agency'],0075ace6-52e2-420a-bd04-2fe71509eb4a,,transportation,parking,atlanta,GA,Atlanta,30339.0,3625 Cumberland Blvd SE,33.8836715,-84.4536082,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2019-07-11T03:19:25.000Z,,False
6dc8f503-6e14-41f8-836e-ba9b4ff91918,Principal Financial Group - Support Office,investing,['insurance_agency'],ff9ab1cf-159f-4c9f-b219-da9f2cc4c05a,,commercial,commercial,atlanta,GA,Atlanta,30339.0,3625 Cumberland Blvd SE,33.8843295,-84.453569,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2016-08-15T03:05:53.000Z,,True
16e899c5-11a5-429a-8dbd-ee1cce67f0c5,Principal Financial Network of Central Iowa,insurance_agency,['financial_advising'],0b1515fe-5832-4f0f-96d3-2d89eacabd72,LADCO II Building,commercial,office,des-moines,IA,West Des Moines,50266.0,6701 Westown Pkwy,41.594964,-93.8003913,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2014-02-15T15:16:46.000Z,,True
cd5a8889-6086-4e59-a1d6-ef76f14349cf,Principal Financial Group,financial_service,"['professional_services', 'shopping']",9fb15a25-0c27-4826-900d-0f862c1a1ac0,,,,des-moines,IA,Urbandale,50323.0,12000 Meredith Dr,41.6425609,-93.7786298,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2014-10-06T02:35:59.000Z,,False
8e4f25a3-255a-4722-809d-d101138ce353,Principal Financial Group,investing,"['financial_advising', 'insurance_agency']",6907b964-779b-4394-a56c-4b79da729446,One Urban Centre,,,tampa,FL,Tampa,33609.0,4830 W John F Kennedy Blvd,27.9442535,-82.5248606,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2023-10-14T01:45:46.000Z,,False
e889be1d-ccdc-4b8f-b026-ae8fd409aae1,Principal Financial Group,insurance_agency,"['financial_service', 'investing']",4adda050-9538-429f-9ecf-4ac52797b4ef,,,,salt-lake-city,UT,Sandy,84070.0,9815 S Monroe St,40.5734456,-111.8982101,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,OpenStreetMap,2025-02-10T02:18:30.000Z,,False
9b689102-ed4e-4ac5-ac8b-75e7a0b4f71d,Principal Financial Network of Southern California,financial_advising,"['financial_service', 'investing']",0447216c-4369-4eab-a937-a5ec9d2e12d6,,,,mission-viejo,CA,Costa Mesa,92626.0,575 Anton Blvd,33.6889681,-117.8786303,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2024-03-21T18:09:49.000Z,,False
41b5a091-7111-4552-ba54-9d3ab1ef592b,Principal Financial Network of Central California,insurance_agency,,fae9bf56-9bbf-4a40-98ee-ff037ebc2da5,,commercial,commercial,bakersfield,CA,Bakersfield,93309.0,4900 California Ave,35.3651725,-119.0561712,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2023-01-30T02:11:57.000Z,,False
66f67816-1355-4894-ba61-8e6700f2a914,Principal Financial Network of the Carolinas,insurance_agency,"['financial_advising', 'financial_service']",b1cdd7a1-5ee2-40b8-96ba-e3ff4f90616f,,,,raleigh,NC,Raleigh,27612.0,4141 Parklake Ave,35.8355461,-78.6895673,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2023-03-14T22:11:18.000Z,,False
66f67816-1355-4894-ba61-8e6700f2a914,Principal Financial Network of the Carolinas,insurance_agency,"['financial_advising', 'financial_service']",987ba0ad-cf51-45a6-a94f-48d324f5187d,,,,raleigh,NC,Raleigh,27612.0,4141 Parklake Ave,35.8355461,-78.6895673,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2023-03-20T01:21:34.000Z,,False
a06dcb56-fdcf-4c7e-bda2-da42ebcb95da,Principal Financial Network of Northern California,insurance_agency,,39515c15-39f9-4909-abd8-d0476bca893a,500 Ygnacio Valley Rd,,,oakland,CA,Walnut Creek,94596.0,500 Ygnacio Valley Rd,37.9068317,-122.0636972,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2016-08-26T22:25:43.000Z,,False
1483bf5b-4bfa-41f0-9f93-07c270bd870a,Principal Financial Network of North Florida,business,"['insurance_agency', 'financial_advising']",f8ca8ddc-9a6f-470a-8913-33a531bc380f,,,,jacksonville-florida,FL,Jacksonville,32216.0,7077 Bonneval Rd,30.2468313,-81.5973567,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2019-07-12T18:11:24.000Z,,False
52e2bdb2-f5b5-4e98-9de9-7a01bc88f0d8,Principal Financial Group,doctor,['health_and_medical'],,,,,fort-worth,TX,Fort Worth,76116.0,"6500 W Freeway, Ste 555",32.7351814,-97.4291432,Microsoft,2025-04-24T09:33:22.347Z,0.77,,,,False
13d226ed-2394-48d8-925b-556e3d4fc2ce,Principal Financial Network of North Texas,insurance_agency,['financial_service'],3e4edd31-06a5-453d-9f94-9d8d588d6c9e,,commercial,office,fort-worth,TX,Fort Worth,76116.0,6500 West Fwy,32.7355019,-97.4290044,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2018-12-17T15:33:51.000Z,,True
985da687-b6ac-40e0-a036-787c80b7cf41,Principal Financial Network of Chicagoland,financial_advising,"['financial_service', 'insurance_agency']",48b92af7-7caf-416f-85f0-4a0fd7b76b69,Ensono,commercial,commercial,chicago,IL,Downers Grove,60515.0,3333 Finley Rd,41.8267101,-88.0238137,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2018-05-04T12:44:25.000Z,,False
6df768f9-97a6-491a-b43f-06c1b7ef25fa,Principal Financial Network of Central Florida,financial_advising,"['financial_service', 'insurance_agency']",1a089d6a-eccf-4fae-a50a-c95f460bf877,,,,orlando,FL,Maitland,32751.0,"Vitas Healthcare, 2201 Lucien Way",28.627547,-81.365796,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2020-08-13T03:10:38.000Z,,False
3724c3a9-9b03-44de-822c-6ef525b76600,Principal Financial Group,financial_advising,['financial_service'],02f74121-cb96-43cf-b740-87137f8c98ab,,,,syracuse,NY,Salina,13212.0,200 Salina Meadows Pkwy,43.0997049,-76.1629197,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2021-06-01T00:20:44.000Z,,False
9cff5d12-c266-4232-9bd6-54b3e3164ee5,Principal Financial Network of Missouri,financial_advising,"['financial_service', 'insurance_agency']",52f305b8-ca9b-4bb6-84f3-13b6c30bbbca,,,,st-louis,MO,St Louis,63141.0,625 Maryville Centre Dr,38.6447036,-90.4970215,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-06-01T13:23:49.000Z,,False
081a9dda-196c-4d91-a4c9-0e260dc14139,Principal Financial Group,insurance_agency,['mortgage_broker'],7c952b5f-bdb2-4140-a6f4-1c05f3936122,,,,cincinnati,OH,Blue Ash,45242.0,4555 Lake Forest Dr,39.253437,-84.381304,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2022-08-10T21:49:15.000Z,,False
1457dd64-b6ba-40f1-8647-b7bd0e09da3e,Principal Financial Network of Ohio,insurance_agency,,037202ee-86f1-423d-9770-765992db2da0,,commercial,office,cincinnati,OH,Sharonville,45241.0,398 E-Business Way,39.2857114,-84.3649656,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-01-10T08:31:38.000Z,,True
