id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
157d108f-cf8e-48c6-a94f-0950fbc63568,PPL Learning Center,home_service,"['day_care_preschool', 'specialty_school']",35e47941-2edd-492c-bebb-bccefb7df64b,,,,minneapolis,MN,Minneapolis,55404.0,1925 Chicago Ave,44.962888,-93.262346,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2011-07-27T03:09:40.000Z,,False
9c5964c2-fe60-457e-b97e-42080591081b,Ppl,social_service_organizations,"['central_government_office', 'printing_services']",e87cbe8a-617d-4af5-b691-901d881aae6a,,,,minneapolis,MN,Minneapolis,55404.0,2020 Elliot Ave,44.962446,-93.261448,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2022-02-06T21:11:03.000Z,,False
fdef8d70-04c1-4b45-953c-0c453d02e490,PPL Rising Cedar Apartments,accommodation,"['landmark_and_historical_building', 'retirement_home']",40173a7f-cd27-4ffa-9efb-acf7f59f0e4d,Rising Cedar Apartments,,,minneapolis,MN,Minneapolis,55404.0,2308 Snelling Ave,44.959698,-93.24427,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2021-04-27T16:21:08.000Z,,False
c15a1a02-436b-4a80-8528-82a27f822954,Ppl Industries,real_estate,"['industrial_equipment', 'packing_supply']",b57ab4a6-347d-42c7-b923-af8ea85e632e,,,,minneapolis,MN,Minneapolis,55414.0,1179 15th Ave SE,44.9936,-93.231305,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-04-02T16:15:34.000Z,,False
2c7d27da-db9d-4868-8730-a2f0566d49ee,Ppl Data & Operations Center,it_service_and_computer_repair,"['electronics', 'information_technology_company']",883e758b-9448-4ae7-9ef7-f3a104b70ed0,PPL Windsor Office,,,allentown-bethlehem,PA,Allentown,18106.0,7231 Windsor Dr,40.584255,-75.614471,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2024-06-11T01:52:54.000Z,,False
57704af8-71f9-4100-b6e2-491c9bfc7ec6,PPL Electric Utilities,electric_utility_provider,"['electrician', 'public_service_and_government']",8f68024c-63ae-4264-a21e-038b82a4e3d0,PPL Lehigh Service Center,commercial,commercial,allentown-bethlehem,PA,Allentown,18104.0,827 Hausman Rd,40.5927508,-75.5569611,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-05-18T00:47:48.000Z,,False
b7412825-af2a-488e-aac9-d621d4d7cdc2,PPL Building,arts_and_entertainment,['accommodation'],,,,,allentown-bethlehem,PA,Allentown,18101.0,2 N 9th St,40.6017146,-75.4761174,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,False
c1fb232c-a50d-4b1a-8a53-710fbb244f3c,PPL Electric Utilities,public_utility_company,"['energy_company', 'public_service_and_government']",c4660e9d-7f93-468b-8c22-d9e19b52bf74,,,,allentown-bethlehem,PA,Allentown,18101.0,2 N 9th St,40.6021213,-75.4761547,meta,2025-06-02T07:00:00.000Z,0.8384615384615385,OpenStreetMap,2022-09-08T20:45:43.000Z,,False
10b8f5a2-9516-4d60-bb5e-d41d6a514c88,Chickie's & Pete's Ppl Center,sports_bar,"['bar', 'american_restaurant']",0caaa1a4-3ea5-4434-8105-dc91b0b2bd04,PPL Center,,,allentown-bethlehem,PA,Allentown,18101.0,701 W Hamilton St,40.6020535,-75.472749,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-09-12T19:56:06.000Z,,False
75ddb82d-8d4e-448f-b84c-5dd21ebbccd9,Ppl Renewable Energy,arts_and_entertainment,"['dance_club', 'cinema']",0caaa1a4-3ea5-4434-8105-dc91b0b2bd04,PPL Center,,,allentown-bethlehem,PA,Allentown,18101.0,835 Hamilton St,40.6025828,-75.4732461,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2023-09-12T19:56:06.000Z,,False
e71c5c5f-f877-4844-9708-059b97396210,AutoPROVED Ice Suite at PPL Center,arts_and_entertainment,"['dance_club', 'transportation']",0caaa1a4-3ea5-4434-8105-dc91b0b2bd04,PPL Center,,,allentown-bethlehem,PA,Allentown,18101.0,701 W Hamilton St,40.6025201,-75.4726773,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2023-09-12T19:56:06.000Z,,False
1d8e8fde-c1c3-4a3a-9a3c-5d56cc0d1fee,PPL Center,football_stadium,"['stadium_arena', 'active_life']",0caaa1a4-3ea5-4434-8105-dc91b0b2bd04,PPL Center,,,allentown-bethlehem,PA,Allentown,18101.0,701 W Hamilton St,40.6025963,-75.4728519,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-09-12T19:56:06.000Z,,False
c0ec4018-d386-440f-96b4-7fd9870a4b72,PPL Corporation,electric_utility_provider,"['public_utility_company', 'gas_station']",a204d147-ae04-486f-beec-4340d880eee4,,,,allentown-bethlehem,PA,Allentown,18101.0,645 Hamilton St,40.6027083,-75.4713374,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-01-19T21:27:20.000Z,,True
97ac21f1-f1b4-4936-a947-89452ae2e6e3,PPL Electric Utilities,utility_service,"['b2b_energy_and_mining', 'business_to_business']",d410adfb-574d-4d65-8a87-0049ad941558,The Morning Call,,,allentown-bethlehem,PA,Allentown,18101.0,2 N 9th St,40.6046419590712,-75.4701498895884,Microsoft,2011-09-30T16:12:39.360Z,0.77,OpenStreetMap,2022-09-15T19:10:48.000Z,,False
