id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
d3ebe1a5-6260-4ca2-8dca-5cd4f6d5e8db,Prudential,insurance_agency,,IN,Fort Wayne,46805.0,2420 N Coliseum Blvd,41.098902,-85.0880706,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,,,,,,,,fort-wayne,False
4fe7b1e5-36f7-42fd-8650-d509b5c02dd7,"Ryan Rushe, Financial Planner/Advisor with Prudential",financial_service,['financial_advising'],VA,Vienna,22182.0,1919 Gallows Rd,38.91312,-77.22662,meta,2025-06-02T07:00:00.000Z,0.242152466367713,f3172e6f-80c2-4283-b3e5-08483d59d231,,,,OpenStreetMap,2022-09-19T20:46:46.000Z,,washington-dc,False
9a8eff55-f9f5-42b1-b990-f778c3967240,Prudential,real_estate_agent,['insurance_agency'],MD,Bethesda,20814.0,4920 Elm St,38.9820399,-77.0971376,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,942f0b93-fa2f-4c3d-b705-bd9897015dc1,Elm Street Shops,,,OpenStreetMap,2023-08-11T15:16:52.000Z,,washington-dc,False
201d322b-6b8e-408c-869b-5a5a4d73fb5f,Prudential Associates,information_technology_company,['financial_advising'],MD,Rockville,20850.0,9900 Belward Campus Dr,39.104717,-77.208718,meta,2025-06-02T07:00:00.000Z,0.242152466367713,e43e6888-f3dc-4a48-9b10-2d025c8771d3,Rockville Research Center at Belward South,commercial,commercial,OpenStreetMap,2024-02-02T01:43:01.000Z,,washington-dc,False
0b95bd14-60be-48e7-ab53-7dce92884a9a,Prudential Associates,private_investigation,"['professional_services', 'financial_advising']",MD,Rockville,20850.0,9200 Corporate Blvd,39.1072257,-77.1907307,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,f58028ea-c2a7-4ff4-8e31-55850aee2efc,,commercial,office,OpenStreetMap,2024-01-16T08:15:13.000Z,,washington-dc,True
bceb8ae7-08cf-4e09-bde5-f7345cb589f9,Derilyn D. Freeman at Prudential,financial_service,['insurance_agency'],VA,Vienna,22182.0,1919 Gallows Rd,39.0281792,-77.1401215,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,58d57161-8362-4998-b292-fcc62b8a93b0,,commercial,commercial,OpenStreetMap,2018-04-07T19:25:56.000Z,,washington-dc,False
79567f8d-0e98-4e08-8663-f8deab513c62,Prudential Overall Supply,shopping,"['clothing_store', 'carpet_store']",CA,Chula Vista,91910.0,740 F St,32.6362052,-117.0972489,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,176bc35a-827c-4028-981a-4dd9bf03e7f9,,,,OpenStreetMap,2023-06-17T08:48:45.000Z,,san-diego,False
3aa89d4e-5f51-42c4-a841-970f5ddaa0ce,Prudential California Realty,real_estate,['real_estate_agent'],CA,Chula Vista,91910.0,333 H St,32.634327,-117.0781941,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,7d017764-fe0e-4075-bdb7-e77c25f585ab,,commercial,commercial,Esri Community Maps,2024-10-15T00:00:00.000Z,,san-diego,False
367f24a9-9125-4694-b5ec-e3d06e907f3b,Prudential California Realty,real_estate,"['property_management', 'real_estate_agent']",CA,San Diego,92101.0,516 5th Ave,32.7108056,-117.160195,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,,,,,,,,san-diego,False
93751082-2eb1-4856-a667-faad2378fb5e,Prudential California Realty,real_estate_agent,['real_estate'],CA,San Diego,92108.0,2365 Northside Dr,32.783808,-117.1254,meta,2025-06-02T07:00:00.000Z,0.296943231441048,115a29f7-7ca2-47b9-90f0-306b40f2d3ba,,,,OpenStreetMap,2010-06-30T04:30:59.000Z,,san-diego,False
4f038b26-25d6-4ef7-90c0-1000215531ad,Prudential California Realty /  Mark S McDonald,real_estate_agent,"['fast_food_restaurant', 'real_estate']",CA,Del Mar,92014.0,3790 Via de La Valle,32.983262,-117.229507,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,b9a94080-062b-487a-bb9a-f7df2dd61be6,,,,OpenStreetMap,2025-01-08T12:59:24.000Z,,san-diego,False
5fa8ef97-4736-46d1-b26c-269c649d2b27,Rebecca Wood - Kramer & Martin - Prudential CA Realty,real_estate_agent,['property_management'],CA,Rancho Santa Fe,92067.0,16915 Avenida de Acacias,33.019322,-117.203429,meta,2025-06-02T07:00:00.000Z,0.242152466367713,58575d73-0697-4ef3-bd65-e7cd54eff533,,,,OpenStreetMap,2025-01-08T14:03:19.000Z,,san-diego,False
3c59343d-b0d6-420b-9521-12296dfff094,Prudential California Realty,property_management,"['real_estate_agent', 'real_estate_service']",CA,La Mesa,91941.0,9555 Grossmont Summit Dr,32.778444,-116.990903,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,ef3d706c-1309-4227-95cf-8add27056723,,,,Microsoft ML Buildings,2023-09-01T00:00:00.000Z,0.973800003528595,san-diego,False
d681c3a8-0d0f-4173-ba73-207242234122,Prudential California Realty,real_estate_agent,"['real_estate', 'real_estate_service']",CA,Stockton,95207.0,5713 N Pershing Ave,37.9999622,-121.3267641,meta,2025-06-02T07:00:00.000Z,0.242152466367713,dc841187-706d-4137-8a7e-f2fab7b52393,,,,OpenStreetMap,2014-06-11T20:43:12.000Z,,stockton,False
bf37b48b-d1ae-4a4b-8f4b-8ce0c7a6a82a,Prudential Overall Supply,clothing_store,"['carpet_store', 'shopping']",TX,El Paso,79936.0,11501 Rojas Dr,31.7384699,-106.3153967,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,el-paso,False
c2831ed5-d496-4728-8899-3106e3c98855,Team Gayton - Prudential California Realty,real_estate_agent,['real_estate'],CA,Huntington Beach,92648.0,200 Main St,33.658617,-118.000156,meta,2025-06-02T07:00:00.000Z,0.296943231441048,329a16db-562b-48f1-9f20-0007513ad15d,,,,OpenStreetMap,2020-09-21T21:21:57.000Z,,los-angeles,False
7d099001-53a4-488c-8256-6daf18ff23fd,Prudential California Realty,real_estate_agent,['real_estate'],CA,Huntington Beach,92649.0,5848 Edinger Ave,33.728852,-118.026576,meta,2025-06-02T07:00:00.000Z,0.242152466367713,4e547ecc-d2f8-4a31-bbec-6d25fe3c37ed,,,,OpenStreetMap,2021-01-27T19:19:01.000Z,,los-angeles,False
aac41670-d955-45ac-8a9b-98b7d8c74965,Prudential Funding Partners,installment_loans,"['mortgage_broker', 'investing']",CA,Huntington Beach,92647.0,7755 Center Ave,33.7349369,-117.9951485,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,93c7120f-2af0-4aaf-ae36-d5bdd63a45df,,commercial,commercial,OpenStreetMap,2021-06-15T15:07:00.000Z,,los-angeles,False
41a5e0f2-feef-4369-9c58-8127bc89ed24,Prudential California Realty,real_estate_agent,['real_estate'],CA,Newport Beach,92660.0,1400 Newport Center Dr,33.6092483,-117.8795735,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,fb1a2e7e-df2a-4139-b42a-eaa7db137b1e,The Kelso Team - On Q Financial INC.,,,OpenStreetMap,2022-10-25T15:02:54.000Z,,los-angeles,False
ec554fd9-2d9e-4fdf-9a90-0d37021e4102,Prudential Overall Supply,uniform_store,['clothing_store'],CA,Irvine,92606.0,1661 Alton Pkwy,33.6986402,-117.8461149,meta,2025-06-02T07:00:00.000Z,0.9688311688311688,ce58bbfd-6906-4ea9-80ac-034df8acbdce,,commercial,commercial,OpenStreetMap,2023-12-19T23:19:39.000Z,,los-angeles,False
50a4858b-2da0-463b-9ffa-298a8e8010ff,Prudential Malibu Realty,real_estate_service,,CA,Malibu,90265.0,23405 Pacific Coast Hwy,34.034356,-118.685406,Microsoft,2013-01-27T18:57:32.500Z,0.77,,,,,,,,los-angeles,False
e50ed5e9-dffb-4e3e-8982-3597d6f121f6,Prudential Plumbing,plumbing,['contractor'],CA,Torrance,90503.0,3525 W Carson St,33.832628,-118.34875,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,,,,,,,,los-angeles,False
5f5eb96a-4cd0-4047-a774-ed551a5da8ea,Dina & Osmin Ruano - Prudential California Realty,real_estate,['real_estate_agent'],CA,Hermosa Beach,90254.0,2615 Pacific Coast Hwy,33.873561,-118.396419,meta,2025-06-02T07:00:00.000Z,0.242152466367713,7f6ad0ec-f2a8-4a01-bfd5-dd4d81c6520b,,commercial,commercial,OpenStreetMap,2025-03-10T04:36:04.000Z,,los-angeles,False
b61e531f-bcc5-4b0c-987f-2a46d680af8b,Prudential Plumbing,plumbing,,CA,Torrance,90503.0,PO Box 13742,33.84021759033203,-118.35316848754884,Microsoft,2015-09-10T02:45:59.623Z,0.77,40879d9e-017f-48d9-b418-80925c59703d,,commercial,commercial,OpenStreetMap,2016-09-16T13:45:54.000Z,,los-angeles,False
0f1a83a8-1567-419a-813f-531dc3894a23,Prudential California Realty,real_estate_agent,['real_estate'],CA,Carson,90745.0,510 W Carson St,33.831423,-118.2848716,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,ac783baf-589a-4b17-9a56-71851e0df67c,,commercial,commercial,OpenStreetMap,2016-09-08T15:17:25.000Z,,los-angeles,False
d6a0021b-1258-4f42-a0d5-149474f976db,Prudential Ca. Realty,real_estate,"['real_estate_agent', 'property_management']",CA,Long Beach,90807.0,3728 Atlantic Ave,33.825121,-118.184731,meta,2025-06-02T07:00:00.000Z,0.242152466367713,da42c180-fa59-4c72-a21d-7736f4f21cd1,,commercial,commercial,OpenStreetMap,2016-09-07T14:57:22.000Z,,los-angeles,False
ed801d53-fe2a-43d0-8f94-b98040dfbcdc,Prudential Overall Supply,clothing_store,"['home_cleaning', 'carpet_store']",CA,Carson,90746.0,951 Sandhill Ave,33.8787679,-118.2583661,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,,,,,los-angeles,False
21ae54d9-2f8d-4aa7-be2b-ae78da012fa7,Prudential California Realty,real_estate_agent,"['real_estate', 'insurance_agency']",CA,Bellflower,90706.0,16911 Bellflower Blvd,33.880823,-118.125568,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,e7327c2c-13ca-4197-9832-8de4595572dc,,commercial,commercial,OpenStreetMap,2016-10-28T16:36:49.000Z,,los-angeles,False
7e5bc89e-0a72-4980-aee7-fe52336a1035,Prudential,financial_service,"['insurance_agency', 'financial_advising']",CA,Los Angeles,90010.0,3530 Wilshire Blvd,34.0611032,-118.301013,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,1bed8f89-40c0-4fda-a41e-ec8b71e3edba,,commercial,commercial,OpenStreetMap,2022-07-28T15:54:38.000Z,,los-angeles,False
32a7475b-f505-4b24-879f-c8f936444122,Prudential Overall Supply,home_and_garden,"['shopping', 'dry_cleaning']",CA,Commerce,90040.0,6920 Bandini Blvd,33.9857696,-118.1383241,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,7f1a8d41-c021-4334-8e1b-8e5b8357688a,,industrial,industrial,OpenStreetMap,2016-11-29T19:46:42.000Z,,los-angeles,False
9df8fe3a-e0f0-4e7a-8ec8-9b3b359d8024,Prudential Cleanroom Services,dry_cleaning,"['carpet_store', 'professional_services']",CA,Commerce,90040.0,6948 Bandini Blvd,33.9857468,-118.1375774,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,82c6ec31-b6d4-4574-b0ae-0fb068ace324,,industrial,industrial,OpenStreetMap,2016-11-29T19:46:17.000Z,,los-angeles,False
6bbd4f60-f735-4ed3-bcae-64665c257b3a,Prudential Lighting,packing_supply,"['business_manufacturing_and_supply', 'contractor']",CA,Los Angeles,90058.0,1774 E 21st St,34.0172344,-118.2404973,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,f85ae41d-3cc8-4eba-bdc2-3adc280931f6,,industrial,industrial,OpenStreetMap,2016-07-05T19:14:24.000Z,,los-angeles,False
