id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
47564414-f0e3-4021-a9ea-6a09ddf9df30,Royal Caribbean,travel_services,"['transportation', 'travel']",6dfd1b79-cf26-4e8b-bc6e-fbb79350bb96,,,,new-orleans,LA,New Orleans,70115.0,1016 Louisiana Ave,29.9223802,-90.0888028,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2025-01-23T04:01:17.000Z,,False
2d1c1496-a1f9-4ace-9b6e-2d72cd106aa4,Royal Caribbean Takeout & Delivery,caribbean_restaurant,"['fast_food_restaurant', 'restaurant']",e48b83a4-920c-4270-941a-67ff488d693d,,commercial,commercial,pittsburgh,PA,Pittsburgh,15221.0,1568 Montier St,40.4459951,-79.871197,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2017-10-22T22:14:50.000Z,,False
ac1170ba-7437-4330-9f61-2da138ad8697,Royal Caribbean,ferry_boat_company,,dbcba8a3-18b7-4aa7-b4ee-2a36620fb3bc,,,,los-angeles,CA,Los Angeles,0.0,,33.7449677,-118.2761722,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2020-01-24T19:09:30.000Z,,False
cf6af221-0ff3-49e5-b49f-84bdd4ae1a4c,Royal Caribbean Club Condominium,accommodation,"['dance_club', 'bar']",1de37a5a-8944-48cf-b885-764a425374d1,,,,miami,FL,Coral Gables,33146.0,1150 Madruga Ave,25.714528,-80.275081,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2016-08-05T22:15:57.000Z,,False
87389aa3-f148-4cce-956d-95e711cbeace,Celebrity Cruises,travel_services,['travel'],bed2413d-f1a5-45ab-81ab-78f57fc4c2d1,,,,miami,FL,Miami,33126.0,5201 Blue Lagoon Dr,25.782821,-80.280971,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2016-08-03T20:24:20.000Z,,False
99380dee-7cb7-4988-b9a1-c73b606f34a6,Silversea Cruises,transportation,['travel'],c3e0994a-1c15-476b-b72c-47fd4b16e87b,Wells Fargo Center,,,miami,FL,Miami,33131.0,333 SE 2nd Ave,25.7712457,-80.1896158,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2025-01-27T10:42:06.000Z,,False
0f23a784-a3ae-4172-8477-cbd236f601a2,Port of Miami - Royal Caribbean Terminal A,transportation,,4c3ae86d-2034-426a-9ae7-7ecdfa43785e,,,,miami,FL,Miami,0.0,"Miami, Florida ",25.7724007,-80.1588086,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2024-07-28T21:20:00.000Z,,False
a5c1bce9-12b7-40e7-8eef-f832a90058fa,Royal Caribbean Symphony of the Seas,transportation,['bar'],,,,,miami,FL,Miami,0.0,Port of Miami,25.7725767,-80.1586674,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
cf68ad85-2a29-4869-824e-7f1ff995bebf,Crucero Royal Caribbean,transportation,"['travel_services', 'boat_tours']",6c8a9e88-aad9-4942-b29f-75adfb7e708d,,,,miami,FL,Miami,33132.0,1050 Caribbean Way,25.7751896,-80.1783621,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2023-02-03T20:04:28.000Z,,False
2561cbfa-a5ce-4b7d-bb7c-25833035425c,Royal Caribbean Group,transportation,['travel_services'],6c8a9e88-aad9-4942-b29f-75adfb7e708d,,,,miami,FL,Miami,33132.0,1050 Caribbean Way,25.7752782,-80.1783573,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-02-03T20:04:28.000Z,,False
