id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
34e3f5d4-8a7f-423e-8a54-2641cc03eb64,Republic Services,garbage_collection_service,"['public_service_and_government', 'environmental_conservation_and_ecological_organizations']",c1841dd6-ce58-4c1c-9a9e-4d7690358c43,,,,charleston,SC,North Charleston,29418.0,141 Fennell Rd,32.9221721,-80.0849335,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-05-31T17:24:50.000Z,,False
44057346-6246-4b53-bb95-5a863added2c,Republic Services Spring Grove Landfill,garbage_collection_service,"['water_treatment_equipment_and_services', 'recycling_center']",,,,,charleston,SC,North Charleston,29456.0,8101 Palmetto Commerce Pkwy,32.9545709,-80.0915389,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,,,,False
9937fd21-f205-4aab-affb-6fdd2db15dd6,Republic Services,garbage_collection_service,"['contractor', 'professional_services']",9914ae02-d313-4d95-9426-dd534804ff09,,,,daytona-beach-port-orange,FL,Daytona Beach,32124.0,3143 W International Speedway Blvd,29.1604812,-81.0944676,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2023-10-06T15:34:07.000Z,,False
fec8db1c-5987-4149-8d50-92a4f6dc586f,Republic Services,garbage_collection_service,"['public_service_and_government', 'recycling_center']",94747d97-1e70-4aa4-8c1a-b614c101fe08,,,,orlando,FL,Orlando,32824.0,11255 Rocket Blvd,28.4040181,-81.3897025,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-06-12T19:33:30.000Z,,False
5307228c-76eb-410e-ac12-66ae1370a9b5,Republic Services,garbage_collection_service,"['professional_services', 'environmental_conservation_and_ecological_organizations']",69f83cfe-ad78-4294-be14-c8aa197ec718,,,,orlando,FL,Apopka,32703.0,3445 Overland Rd,28.627135,-81.454218,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,Microsoft ML Buildings,2023-09-01T00:00:00.000Z,0.9915000200271606,False
edcb6935-e10d-41f5-89bd-939698633c24,Republic Services trash collection in Bossier City,garbage_collection_service,"['public_utility_company', 'public_service_and_government']",6a7c8ba4-cb83-4f20-9b97-c4364dfab3d3,Bossier City Municipal Complex,civic,,shreveport,LA,Bossier City,71111.0,620 Benton Rd,32.525302,-93.714401,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2025-02-23T00:06:47.000Z,,False
33f10070-5bee-46b9-bb1a-f755b867a332,Republic Services,garbage_collection_service,"['excavation_service', 'public_service_and_government']",be4a960d-d3b5-4956-a128-9b51f08dc974,,,,toledo,MI,Erie,48133.0,6749 S Dixie Hwy,41.741219,-83.5278506,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-10-26T05:17:41.000Z,,False
e430537b-5d2f-4e9c-b3b9-6df37c7403dc,Republic Services Vienna Junction Landfill,garbage_collection_service,"['utility_service', 'environmental_testing', 'junk_removal_and_hauling']",00550051-7045-4e79-8c63-9eff6070e404,Browning-Ferris Industries,,,toledo,OH,Toledo,43612.0,6196 Hagman Rd,41.7311428,-83.5083095,Microsoft,2025-05-05T23:15:47.517Z,0.77,OpenStreetMap,2014-03-10T16:49:52.000Z,,False
163ebaa1-9b79-4b1f-aaf2-c347b820d3f6,Republic Services,b2b_cleaning_and_waste_management,"['garbage_collection_service', 'environmental_and_ecological_services_for_businesses', 'utility_service', 'junk_removal_and_hauling', 'business_to_business_services', 'business_to_business']",38413eb4-f554-4aae-916d-caca63e93f6b,,,,kansas-city,KS,Overland Park,66210.0,7301 College Blvd Ste 210,38.9271185,-94.6715976,Microsoft,2025-05-07T06:44:13.217Z,0.77,OpenStreetMap,2025-02-13T02:49:35.000Z,,False
87f4d4cc-3ff5-452e-862b-f9eb8441c019,Republic Services,garbage_collection_service,"['excavation_service', 'professional_services']",6fcf8c63-dcaf-4745-b4d0-517bf14f8a15,,,,kansas-city,KS,Kansas City,66115.0,3150 N 7th St Trfy,39.1432925,-94.6224677,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2023-04-08T16:12:01.000Z,,False
85f31f53-a56e-4e94-9ff3-b78bfe9c4690,Republic Services,garbage_collection_service,"['utility_service', 'recycling_center']",,,,,kansas-city,MO,Kansas City,64129.0,4020 Winchester Ave,39.0513075,-94.5020751,Microsoft,2025-05-03T10:25:36.367Z,0.77,,,,False
b44d71aa-29ed-4644-91e5-b307373c805a,Republic Services,garbage_collection_service,"['environmental_conservation_and_ecological_organizations', 'clothing_store']",c720267e-f756-4985-b054-6364321601b2,,industrial,industrial,kansas-city,MO,Independence,64052.0,1220 S Brookside Ave,39.0935852,-94.469686,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
59ca5b7a-9ef3-479d-b217-8df3060ed1d5,Republic Services Courtney Ridge Landfill,garbage_collection_service,"['utility_service', 'environmental_testing']",,,,,kansas-city,MO,Sugar Creek,64058.0,1701 Route 291,39.148604,-94.384927,Microsoft,2025-05-05T23:17:03.133Z,0.77,,,,False
c0a788f4-1cbf-482b-9df1-df15aed5af8a,Republic Services Contra Costa Transfer Station,garbage_collection_service,"['public_service_and_government', 'excavation_service']",63f1f8d6-be68-4497-b27e-7d4aa6b6b5ee,,commercial,commercial,concord,CA,Martinez,94553.0,951 Waterbird Way,38.0180565,-122.0853186,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2017-08-17T05:08:36.000Z,,False
c7fdca0b-19d4-4199-ab20-d4f4a15a9d9a,Republic Services,garbage_collection_service,"['professional_services', 'environmental_conservation_and_ecological_organizations']",36f59fc4-549c-46f8-b82b-68f35b0a5050,,industrial,industrial,concord,CA,Martinez,94553.0,441 N Buchanan Cir,37.9908302,-122.0717083,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2020-01-07T18:38:14.000Z,,False
