id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
b9d7e303-0fe1-4863-a9ef-2a6bce3fc4a2,Snap-on Tools Pinellas County,automotive_repair,"['shopping', 'automotive']",43aed974-7628-43e9-926c-b6c806d29f54,,,,st-petersburg,,,33781.0,7701 46th St N,27.842,-82.69559,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2017-09-21T04:42:15.000Z,,False
696b00ee-8116-4945-b54d-effce984a054,Snap-On Tools Distribution Center,hardware_store,"['industrial_equipment', 'commercial_industrial']",b22ea9f2-3517-473b-b97c-47e7a7e6f361,,,,memphis,MS,Olive Branch,38654.0,8330 Hacks Cross Rd,34.9817644,-89.7941749,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-05-05T19:30:57.000Z,,False
14e19da3-e425-40f0-b979-f0ef65658f3a,Snap-on,hardware_store,['industrial_equipment'],c1d71ff6-6a3e-4388-afc5-81fbb095b80b,Snap-on,industrial,industrial,milwaukee,WI,Milwaukee,53224.0,7939 N Faulkner Rd,43.1621788,-88.0233501,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2022-12-06T00:39:36.000Z,,False
88a34ec8-8bd6-4b79-ac5e-98cc90c60783,Snap-On Tools,hardware_store,"['auto_company', 'automotive']",7de48499-9021-4ee1-be5e-68199eea3568,Snap-On Tools,,,harrisburg,PA,Harrisburg,17112.0,6300 Flank Dr,40.3267973,-76.7818875,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2021-08-02T01:10:20.000Z,,False
64963391-36c6-409e-ad8a-fe6572b54309,Snap On Tools Pacific Beach La Jolla,home_improvement_store,"['hardware_store', 'automotive']",90df07d0-2836-480a-877d-a5728f67dc4a,Blue Sea Apparel,,,san-diego,CA,San Diego,92109.0,5181 Santa Fe St,32.81876,-117.22469,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2021-01-06T01:59:43.000Z,,False
4538ffdc-4469-4178-9898-2c1412cc0be0,J. McMullen Tools Inc. Authorized Franchise of Snapon tools in san diego,auto_parts_and_supply_store,['retail'],,,,,san-diego,CA,San Diego,92126.0,9528 Miramar Rd 244,32.8938273,-117.1227658,Microsoft,2025-04-11T11:08:05.730Z,0.77,,,,False
960d5f26-cbbd-408c-9d06-ed5a7c73086a,Snap-On Dentures Houston TX,dentist,['cosmetic_dentist'],70b9847e-07db-4b83-bf6f-5fe8df2498ca,,,,houston,TX,Houston,77079.0,11111 Katy Fwy,29.78347,-95.57813,meta,2025-06-02T07:00:00.000Z,0.93,OpenStreetMap,2018-07-16T06:01:09.000Z,,False
cf9901a9-a6d8-4201-b07e-c1e5ed783273,Snap on Veneers,periodontist,"['dentist', 'health_and_medical']",,,,,sacramento,CA,Sacramento,95825.0,87 Scripps Dr Ste 302,38.57205854,-121.41020367,Microsoft,2025-05-06T12:00:38.153Z,0.77,,,,False
8a9df0a7-12df-4acc-b564-e51a7c447f73,Santoro Steve Authorized Snap On Tool Dealer,hardware_store,"['shopping', 'mobile_phone_store']",69d9a3e0-91bc-43ea-9bc6-f3fb324b5b67,,,,concord,CA,Concord,94518.0,4316 Rose Ln,37.953017,-122.001556,meta,2025-06-02T07:00:00.000Z,0.296943231441048,Microsoft ML Buildings,2022-03-11T00:00:00.000Z,,False
b280f3bf-bce1-41c3-9331-f3a7da1f5e1a,Snap-on Tools,b2b_science_and_technology,['automotive_consultant'],,,,,boston,MA,Newton,2458.0,128 Bridge St,42.36128,-71.20148,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,False
e082b0fc-121d-44b0-b252-35da0c11b39e,Snap-on Kent Ramadan,hardware_store,"['automotive', 'boat_parts_and_accessories']",8fce9ab3-a0df-4db5-9ec9-61e836ed19de,,,,miami,FL,Palm Beach Gardens,33418.0,8051 Damascus Dr,26.795071,-80.119591,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2022-03-19T21:18:52.000Z,,False
4af5c596-3672-43c0-8f67-2d75377c2842,Snap On Smile Veneers,teeth_whitening,,49c3f9b6-252f-4bcf-8a00-e0cb587def5f,,,,san-antonio,TX,San Antonio,78249.0,5922 Hart Fld,29.56225,-98.60267,meta,2025-06-02T07:00:00.000Z,0.3313953488372093,OpenStreetMap,2022-12-13T04:29:11.000Z,,False
d6d6dbc2-f68c-447d-af82-fb74c8064852,Snap on Tools,home_and_garden,['hardware_store'],,,,,detroit,ON,LaSalle,936.0,504 Vandernoot Ave,42.238919,-83.0901816,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,False
f37d9d65-e286-49c1-9e2b-ecaad119e5f5,Snap On Diagnostics,automotive_parts_and_accessories,"['laboratory_testing', 'automation_services']",0cd96fc2-6e04-4ef5-9cdf-1f354fdeb2dd,,commercial,office,san-jose,CA,San Jose,95138.0,5500 Hellyer Ave,37.264957,-121.788863,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2022-02-01T03:02:57.000Z,,False
2533712a-73d2-4794-8cea-b8740288ffbd,Snap-On Tools,hardware_store,"['shopping', 'home_and_garden']",c3a74619-1333-4443-a2bf-504c6a2c34bf,,residential,house,phoenix,AZ,Peoria,85345.0,7733 W Cinnabar Ave,33.576029,-112.225597,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2023-04-07T16:03:37.000Z,,False
1c3a8aa7-45b9-4333-9b22-fa1eb2940d4a,Snap On Optics,optometrist,"['pharmacy', 'naturopathic_holistic']",e9a7741d-cd7b-486f-938a-c3f29f5af5ae,,,,phoenix,AZ,Phoenix,85017.0,3116 W Thomas Rd,33.4813663,-112.1274183,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2023-12-03T05:21:56.000Z,,False
0b2ada84-676f-4f64-901d-113d7cdf4287,Snap-On MOSER,automotive_dealer,,4bd24287-3935-41db-9ce6-54798c54c64f,,residential,residential,baltimore,MD,Sparrows Point,21219.0,2316 Lodge Forest Dr,39.22502,-76.44563,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2014-08-19T23:40:27.000Z,,False
