id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
589fa82f-1fbe-426e-bad4-66ebff17f42a,Steris AST,shopping,"['laboratory_testing', 'chemical_plant']",d8f508bc-91b0-4d51-9b3f-ecc36f58a77d,,industrial,industrial,san-diego,CA,San Diego,92154.0,7685 St Andrews Ave,32.5655863,-116.9763796,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2016-04-10T03:40:36.000Z,,False
0c0143d4-f6bb-46e7-a5c1-f9bd170be63d,Steris Corporation,medical_supply,"['doctor', 'hospital']",,,,,reno,NV,Reno,89502.0,5355 Capital Ct,39.503176,-119.7523762,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,,,,True
cfb812a9-fbae-48b4-be69-26c277d46978,STERIS Laboratories,laboratory_testing,"['health_and_medical', 'real_estate']",0936bbf1-e624-4f02-844e-843b76b4e963,,,,minneapolis,MN,Brooklyn Park,55445.0,9303 W Broadway Ave,45.1242402,-93.3779783,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2023-03-27T22:40:07.000Z,,False
eaa94649-a44b-44b0-aa8b-07810c970152,STERIS Applied Sterilization Technologies,health_and_medical,"['medical_service_organizations', 'pharmacy']",,,,,salt-lake-city,UT,Sandy,84070.0,9120 S 150 E,40.5869477,-111.88639,meta,2025-06-02T07:00:00.000Z,0.9297091412742382,,,,False
71489333-9626-4e24-91e4-558cebb44d95,Steris Instrument Management Services USA,surgical_appliances_and_supplies,"['pharmacy', 'medical_service_organizations']",30835597-53c1-45a6-955c-dc6918b55bff,,,,birmingham,AL,Birmingham,35222.0,3316 2nd Ave N,33.5248499,-86.7882138,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2022-10-05T20:38:46.000Z,,False
b80b0d93-b73f-4a62-8d52-e85b56b79a3e,Steris Isomedix Service,laboratory_testing,"['automotive_repair', 'professional_services']",ec012212-30c2-4972-be29-efea159d26df,,,,dallas,TX,Grand Prairie,75050.0,1175 Isuzu Pkwy,32.799257,-97.047373,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2018-11-08T18:57:57.000Z,,False
f8608678-2a7a-418e-9d2a-361bd4326147,STERIS Corporation,health_and_medical,"['laboratory_testing', 'hospital']",1a4f2488-e347-4d5a-a869-164411146153,,,,san-jose,CA,Santa Clara,95050.0,324 Martin Ave,37.3614829,-121.9368299,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2021-08-01T04:27:54.000Z,,True
07a99d0a-09b7-4f8d-b3e0-451d96791a6b,Steris Isomedix,pharmacy,"['medical_service_organizations', 'home_service']",dd326788-3f12-4304-a9f9-f7cb23d3aed4,,,,riverside-san-bernardino,CA,Ontario,91761.0,1000 Sarah Pl,34.0527799,-117.5404229,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2018-10-09T00:40:02.000Z,,False
6486ead8-9298-49e4-9c18-e4d0def8f265,STERIS Applied Sterilization Technologies,hospital,"['laboratory_testing', 'health_and_medical']",f8ba98cc-6dfb-40e4-ac6b-11960185f814,,,,el-paso,TX,El Paso,79936.0,1441 Don Haskins Dr,31.7308828,-106.2898325,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2019-03-08T15:58:01.000Z,,False
cb2ae3a6-9e68-4d56-af72-91b34c0f7b50,Steris,pharmacy,"['surgical_appliances_and_supplies', 'health_and_medical']",b322a3c1-a30e-45a4-9f90-832c50e0db45,,,,new-york,NJ,South Plainfield,7080.0,3459 S Clinton Ave,40.568662,-74.429082,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2013-02-06T21:19:36.000Z,,False
