id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
3b6efdc1-c6b1-45b4-b3d6-b5d2049aef32,Tiffany Dance Company,dance_school,"['active_life', 'specialty_school']",UT,Herriman,84096.0,6361 W 13400 S,40.50771,-112.0424468,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,,,,,salt-lake-city,False
9b291392-ca04-4683-956d-68c641b3c717,Farmers Insurance - Tiffany Ventura,auto_insurance,,UT,Midvale,84047.0,68 W Center St,40.61136,-111.89378,Microsoft,2025-05-23T12:29:47.047Z,0.77,aa93f5f6-c85c-47ad-98c9-29ea601830b2,,,,OpenStreetMap,2023-01-25T01:23:13.000Z,,salt-lake-city,False
e32b1186-f18d-46dc-b043-daa739b45b4a,"Tiffany Q. Rees, PA-C",health_consultant,['active_life'],UT,Murray,84107.0,5121 S Cottonwood St,40.6324725,-111.8996058,Microsoft,2023-05-28T23:53:49.360Z,0.77,,,,,,,,salt-lake-city,False
e5336b83-991e-4706-984d-12313d375568,Tiffany Ngo - SecurityNational Mortgage Company Loan Officer,mortgage_lender,,UT,Salt Lake City,84123.0,433 W Ascension Way 5th Floor,40.6553654,-111.903552,Microsoft,2025-02-28T20:06:34.533Z,0.77,45d7c37d-846f-4d36-a208-fea8fdd526b8,,transportation,parking,OpenStreetMap,2024-08-09T15:59:55.000Z,,salt-lake-city,True
5aec4589-17a4-4e3b-bb7c-fcc4a797e315,"Tiffany A. Castagno, NP",nurse_practitioner,['health_and_medical'],UT,Murray,84107.0,5121 S Cottonwood St Bldg 1 Ste 810,40.6592711,-111.8919973,Microsoft,2025-04-27T17:24:13.340Z,0.77,fec099c9-81c9-4a12-a3f6-246b11ab5af9,Jon & Karen Huntsman Cancer Center,medical,hospital,OpenStreetMap,2023-05-08T02:28:48.000Z,,salt-lake-city,False
04d1954f-7861-4533-b7c4-3b9a411d489d,"Tiffany Q. Rees, PA-C",health_consultant,['active_life'],UT,Murray,84107.0,5121 S Cottonwood St,40.6590658,-111.891794,Microsoft,2024-02-20T11:47:54.250Z,0.77,feb43e39-929c-47be-83b0-7d4ca2e5c8b4,Eccles Outpatient Care Center,medical,hospital,OpenStreetMap,2023-05-08T02:28:48.000Z,,salt-lake-city,False
2295fe98-5618-4c8f-8050-586030439436,"Tiffany Pulgiano, DNP",health_and_medical,,UT,Murray,84107.0,6095 S Fashion Blvd,40.63869,-111.8827,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,d8503eba-d353-4e60-9db6-78f142dbcd75,,commercial,office,OpenStreetMap,2024-01-29T22:11:25.000Z,,salt-lake-city,False
10aedbd6-e4ad-4f10-a1c1-7f44bfee5c59,Tiffany & Co.,jewelry_store,['flowers_and_gifts_shop'],UT,Salt Lake City,84101.0,50 S Main St,40.7685327,-111.8927936,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,33ffc41e-465d-4f97-b833-fecd3941009b,,commercial,retail,OpenStreetMap,2024-09-27T23:01:13.000Z,,salt-lake-city,False
76e323e8-e8f4-470c-a368-c7d9fc90e804,Tiffany Cordial LLC,liquor_store,"['shopping', 'bridal_shop']",CT,Meriden,6451.0,66 Kensington Ave,41.5496934,-72.7957452,meta,2025-06-02T07:00:00.000Z,0.909823677581864,3967def0-cb62-4113-94d2-1cfb8563ad61,,,,OpenStreetMap,2021-06-18T06:09:08.000Z,,hartford,False
207a18ab-a2bc-4fcf-9f22-21bb43d400c4,J Tiffany's Hair Studio,beauty_salon,"['beauty_and_spa', 'barber']",CT,Avon,6001.0,320 W Main St,41.8146867,-72.8579207,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,445eddcc-62f7-4b21-affd-b1ad46cd294f,,,,OpenStreetMap,2012-01-04T17:28:42.000Z,,hartford,False
