id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
78ad998d-5169-41c4-b0cb-3a1e25b04b66,Trane Supply,hvac_services,"['rental_service', 'professional_services']",WI,Milwaukee,53219.0,4512 W Burnham St,43.0104795,-87.9700643,meta,2025-06-02T07:00:00.000Z,0.9300613496932516,2214c73f-6d27-49e2-807b-9e7118897473,,,,OpenStreetMap,2022-12-02T00:29:23.000Z,,milwaukee,False
2eafa207-9c94-4bb2-ae95-e1c327950945,Trane Commercial Sales Office,hvac_supplier,"['hvac_services', 'business_to_business']",WI,Milwaukee,53204.0,"234 W Florida St., 6th Floor",43.02778128068014,-87.91363562603908,Microsoft,2025-04-29T15:13:56.767Z,0.77,da17e529-9371-411e-9ead-9880ab7f0264,,commercial,commercial,OpenStreetMap,2024-09-30T19:40:17.000Z,,milwaukee,False
6db3692c-ebd1-4821-841d-d153fb6816fe,Ingersoll Rand Customer Center - Milwaukee,corporate_office,['private_establishments_and_corporates'],WI,Menomonee Falls,53051.0,N58 W14686 Shawn Circle,43.12391545741728,-88.09367611082962,Microsoft,2025-04-05T06:05:15.817Z,0.77,4e35a2f5-d153-4045-a23a-20f8ce41b4f6,,,,OpenStreetMap,2022-03-14T04:51:11.000Z,,milwaukee,True
386eda5a-82d1-42ac-99ef-c609ace318ed,Trane Supply,hvac_supplier,"['hvac_services', 'business_to_business']",FL,Daytona Beach,32117.0,"970 N Clyde Morris Blvd, Suite 100",29.214250136299185,-81.0730583872828,Microsoft,2025-04-15T06:19:39.360Z,0.77,47f16064-9bd0-492d-a3bc-63b86b1d03bc,,commercial,commercial,OpenStreetMap,2021-06-06T16:44:58.000Z,,daytona-beach-port-orange,False
113e2fac-94df-42a8-be24-c8286fbf132b,Trane Commercial Sales Office,hvac_services,,OK,Broken Arrow,74012.0,2201 N. Willow Avenue,36.0739718,-95.8382736,Microsoft,2025-04-29T15:13:56.767Z,0.77,ef32114c-8085-495c-baf6-1b71dd3a095f,,,,OpenStreetMap,2017-03-11T13:12:53.000Z,,tulsa,False
c0f5d9bc-21c8-451c-8bfd-b2f9516346ed,Trane Supply,hvac_supplier,"['hvac_services', 'business_to_business']",OK,Broken Arrow,74012.0,"2205 N Willow Ave, Suite A",36.074220253153086,-95.83799584775988,Microsoft,2024-12-27T07:08:05.550Z,0.77,9be86ab8-65cc-4027-aa38-d256f09ad855,,,,OpenStreetMap,2017-03-11T13:12:53.000Z,,tulsa,False
1c224493-24e7-437f-81fa-6109c25d1499,Trane - Heating & Cooling Services,hvac_supplier,"['hvac_services', 'business_to_business']",OK,Broken Arrow,74012.0,2201 N. Willow Avenue,36.07435577746737,-95.83807124756277,Microsoft,2025-04-09T06:10:25.137Z,0.77,9be86ab8-65cc-4027-aa38-d256f09ad855,,,,OpenStreetMap,2017-03-11T13:12:53.000Z,,tulsa,False
c04f1a1d-6f8f-418e-b24b-f2e379e81ed4,Trane Supply,hvac_services,"['construction_services', 'home_improvement_store']",PA,Pittsburgh,15233.0,3042 Beaver Ave,40.471818,-80.039886,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,,,,,pittsburgh,False
e0ef9ffd-6343-4417-94ca-f9354e189865,Trane Commercial Sales Office,hvac_services,,FL,Jacksonville,32256.0,8929 Western Way,30.2043439,-81.5583927,Microsoft,2025-04-29T15:13:56.767Z,0.77,,,,,,,,jacksonville-florida,False
0be6e9aa-317d-43ad-873f-4645198c1970,Trane,hvac_services,"['contractor', 'pub']",TX,El Paso,79935.0,1405 Vanderbilt Dr,31.7498753,-106.3254879,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,,,,,el-paso,False
835a0900-4625-489e-8de3-20bbbd17746a,Trane Supply,hvac_supplier,"['hvac_services', 'business_to_business']",TX,El Paso,79906.0,"26 Walter Jones Blvd, Suite E",31.81769681759481,-106.39282993511642,Microsoft,2025-03-01T07:55:36.590Z,0.77,26f0092f-0158-4b4e-8b08-68f04a2ab73f,,,,OpenStreetMap,2019-11-15T18:07:11.000Z,,el-paso,False
264db46e-ce0e-41ed-8e66-5acbf1e78927,Trane Supply,hvac_supplier,"['hvac_services', 'business_to_business']",FL,Orlando,32819.0,9424 Southridge Park Ct Ste 100,28.4293411,-81.4170276,Microsoft,2025-05-13T23:04:22.767Z,0.77,faac985b-2e70-4b7d-adb9-6fe946870747,,,,OpenStreetMap,2016-02-02T18:01:16.000Z,,orlando,False
