id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
79dd8340-da0d-414d-b316-0d948bb043a2,Textron Inc.,commercial_industrial,"['business_to_business_services', 'industrial_company']",ba9d3f12-a09e-47bd-a262-c2a7629691c3,Textron Tower,,,providence,RI,Providence,2903.0,40 Westminster St,41.8249874,-71.4093829,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2023-05-09T01:03:34.000Z,,True
e48df442-c162-4f47-a459-8264f1b9ad4f,Wingfield Aviation - 'Cessna 210 & 421 Experts',business_to_business_services,,303cefee-f45b-431f-8e71-7c852cdb42fb,,,,fort-worth,TX,Burleson,76028.0,12901 Wildcat Way N,32.5714277,-97.3037024,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2017-07-20T20:47:36.000Z,,True
ffd58f3e-7696-4a4d-acae-d193972b60f3,Bell Helicopter Armed Forces Bowl,football_stadium,"['stadium_arena', 'active_life']",,,,,fort-worth,TX,Fort Worth,76109.0,2850 Stadium Dr,32.7095563,-97.3682187,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,False
e595bd8c-e2c7-4de1-a568-1eff2003fe18,Bell Helicopter,event_planning,"['business_to_business_services', 'contractor']",,,,,fort-worth,TX,Hurst,76053.0,600 E Hurst Blvd,32.807981,-97.159256,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,True
65fcb597-26a4-4e5a-8f97-e0c409894596,Jacobsen Division of Textron,nursery_and_gardening,"['commercial_industrial', 'home_improvement_store']",f93cc020-51d5-4963-b05b-0c0fb5753052,,commercial,warehouse,charlotte,NC,Charlotte,28273.0,3935 Westinghouse Blvd,35.133225,-80.972771,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2023-04-11T19:47:11.000Z,,False
e8bc0391-c11e-45b9-8f16-89f0aac1c87d,Hr Textron,commercial_industrial,['professional_services'],4fa09d72-45e1-4881-ad17-82ea50f53253,,industrial,industrial,santa-clarita,CA,Santa Clarita,91355.0,25200 Rye Canyon Rd,34.43911,-118.5751,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2017-02-06T11:02:22.000Z,,False
88fa73b3-7a1e-4207-ba21-e56d70b86a94,Cessna Flyer Association,community_services_non_profits,"['topic_publisher', 'travel']",47c5e691-6621-40d1-bc8c-33f40623b45b,,commercial,retail,riverside-san-bernardino,CA,Upland,91786.0,1042 N Mountain Ave,34.1083057,-117.6692499,meta,2025-06-02T07:00:00.000Z,0.3313953488372093,OpenStreetMap,2024-04-06T21:30:03.000Z,,False
f1cd7fad-b564-4ef2-ab5e-698c5033cb63,Catalina Cessna Realtor,real_estate_agent,['real_estate'],b251cb0d-7fd3-4e8c-88a2-abb5b8b1f496,,,,riverside-san-bernardino,CA,Moreno Valley,92557.0,24318 Hemlock Ave,33.94215,-117.24008,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,Microsoft ML Buildings,2022-03-17T00:00:00.000Z,,False
bb804844-276d-4d4e-905a-69b0ff3ac06a,Textron Systems Fitness Center,active_life,"['sports_club_and_league', 'attractions_and_activities']",,,,,boston,MA,Wilmington,1887.0,201 Lowell St,42.5410886,-71.1615416,meta,2025-06-02T07:00:00.000Z,0.296943231441048,,,,False
2216bb1f-b09f-4793-9d28-8f26188b3b5c,Textron Systems,industrial_equipment,"['engineering_services', 'software_development']",caee7134-77ec-4cf6-946e-878cd0f20485,,,,baltimore,MD,Cockeysville,21030.0,124 Industry Ln,39.4664288,-76.6417414,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2021-11-09T03:14:20.000Z,,False
