id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
aed3ce22-b042-42f6-9ae6-19d771421564,UHS Sword & Shield,school,"['high_school', 'print_media']",eef36315-1faa-416f-8263-5d93b1580233,,,,los-angeles,CA,Irvine,92612.0,4771 Campus Dr,33.6517834,-117.8239164,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-03-12T22:19:09.000Z,,False
40807c5e-9c6a-4722-9941-0d7db12a5ada,UHS,college_university,"['school', 'campus_building']",362d4e13-8a0c-4805-a9ed-da0fcc3ef858,Main Cafeteria Building,education,school,los-angeles,CA,Upland,91786.0,565 W 11th St,34.1040319,-117.6573365,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2020-12-13T05:58:33.000Z,,True
10cffc60-5e6f-405d-b50b-facfbad2827c,Uhs,shopping,['doctor'],0ac771b2-a28c-4e8d-8a64-710ecf9d197d,,,,san-antonio,TX,San Antonio,78207.0,701 S Zarzamora St,29.421825,-98.5287298,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2021-01-30T22:23:51.000Z,,False
35313d76-931f-4037-aa6a-d69b23484da3,Uhs Rbg Pedi 1st Floor,surgical_center,"['medical_center', 'doctor']",b048e115-3e5e-4bf0-a803-78d4abc0a04e,,commercial,commercial,san-antonio,TX,San Antonio,78207.0,903 W Martin St,29.4309011,-98.501565,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2018-03-02T13:16:59.000Z,,False
ab5b60e9-3c5d-42a0-9b41-ef7d59e987c4,UHS Tech Center,event_planning,,9f8dad55-e080-4dc4-b6e8-be8488aad573,,,,san-antonio,TX,San Antonio,78230.0,8131 Pinebrook Dr,29.511727,-98.551027,meta,2025-06-02T07:00:00.000Z,0.296943231441048,OpenStreetMap,2019-11-16T21:34:33.000Z,,True
aed3ce22-b042-42f6-9ae6-19d771421564,UHS Sword & Shield,school,"['high_school', 'print_media']",eef36315-1faa-416f-8263-5d93b1580233,,,,mission-viejo,CA,Irvine,92612.0,4771 Campus Dr,33.6517834,-117.8239164,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2021-03-12T22:19:09.000Z,,False
3481e3d0-e97d-41b9-a3fb-27ba25a9f66c,Universal Health Services,doctor,"['health_and_medical', 'event_planning']",,,,,richmond,VA,Richmond,23227.0,8831 Park Central Dr,37.6471273,-77.4410293,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,True
5b14d9c4-c6a9-4ce1-96fa-b95ec1a606cd,UHS Surgery,hospital,"['doctor', 'surgeon']",62e9c152-bc2e-47c4-8195-a5cb9cceac68,,medical,hospital,syracuse,NY,Syracuse,13210.0,750 E Adams St,43.0422947,-76.1395981,meta,2025-06-02T07:00:00.000Z,0.7548172757475083,OpenStreetMap,2024-06-17T01:57:50.000Z,,False
cc0ed91f-8516-4027-ba85-c5ecf1e0f2cb,Pruitt Upac Uhs OD,health_and_medical,"['hospital', 'eye_care_clinic']",6ea14556-0800-4572-bf85-dd0959fcc59a,,,,atlanta,GA,Decatur,30034.0,3200 Panthersville Rd,33.6956899,-84.2708424,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2021-01-28T23:25:18.000Z,,False
71fb3676-f3c1-4ddc-8461-fc032e527bca,UHS Window Tinting and Blinds,car_window_tinting,"['linen', 'windows_installation']",cdb71858-5309-4d46-b4c9-d58868961f68,,,,atlanta,GA,Alpharetta,30005.0,802 Curie Dr,34.1023969,-84.2126571,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-01-02T06:03:06.000Z,,False
2dd7dd42-4356-45d9-a1ec-862589e49446,UHS Window Tinting and Blinds,car_window_tinting,"['auto_glass_service', 'home_window_tinting', 'shades_and_blinds', 'automotive']",cdb71858-5309-4d46-b4c9-d58868961f68,,,,atlanta,GA,Alpharetta,30005.0,802 Curie Dr,34.103157043457,-84.2126388549805,Microsoft,2017-10-17T20:15:43.663Z,0.77,OpenStreetMap,2025-01-02T06:03:06.000Z,,False
cb65a11b-8928-4a84-93a0-a288560f4471,UHS Remodeling,construction_services,"['home_improvement_store', 'contractor']",074c68a1-24ca-4d2f-84bb-e0a8ee6f1dfb,,residential,house,dallas,TX,Plano,75075.0,2349 Monticello Cir,33.0235851,-96.7388387,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,OpenStreetMap,2018-11-28T21:02:40.000Z,,False
569a0a02-1195-4983-b638-52c1e9f66588,"Uhs, Caramoan, Camarines Sur",high_school,,8543b329-b9b1-47b0-b326-7058a56f23cd,,,,las-vegas,NV,Las Vegas,0.0,,36.2239574,-115.316523,meta,2025-06-02T07:00:00.000Z,0.4929396662387676,OpenStreetMap,2024-12-21T00:22:34.000Z,,False
4114ff8a-7316-4be9-aeb8-94cca11b3030,Uhs Nevada: Siegel Fredric A MD,doctor,['health_and_medical'],d8f0c91b-b586-44d5-8591-b02b279ccf3e,,,,las-vegas,NV,Las Vegas,89102.0,2040 W Charleston Blvd Ste 402,36.1594241,-115.1695086,Microsoft,2024-06-01T05:14:51.920Z,0.77,OpenStreetMap,2016-03-11T03:15:30.000Z,,False
5fe3ec68-7c49-4bca-b652-97e6bef72d20,UHS Agency,home_health_care,['medical_supply'],6f39742f-42fe-444a-bbd0-1d0047f39e1a,,,,omaha,NE,Omaha,68137.0,5069 S 108th St,41.2068227,-96.0805363,meta,2025-06-02T07:00:00.000Z,0.909823677581864,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
438f41cc-20ca-4433-99e3-b63716ad9e20,UHS Longhorns,high_school,"['school', 'elementary_school']",7f128cb3-9f14-4be1-bcc1-7211ad46e972,,outbuilding,roof,laredo,TX,Laredo,78045.0,2811 United Ave,27.62264,-99.46544,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2023-03-21T05:42:48.000Z,,False
90d86a8b-67ff-4533-ba32-9972c71320ed,Universal Health Services,hospital,"['medical_service_organizations', 'health_department']",dbe71914-ddf7-4ad0-9dbd-38ab37a99d24,,,,philadelphia,PA,King of Prussia,19406.0,367 S Gulph Rd,40.0783434,-75.3701074,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2019-07-22T14:56:16.000Z,,False
4eca0ffb-0ac8-4c91-8997-e8ea867cf7ae,Universal Health Services,hospital,"['health_department', 'counseling_and_mental_health']",4a373537-6876-4564-8dc0-6cf32ee99b4c,,,,nashville-davidson,TN,Brentwood,37027.0,110 Westwood Pl,36.036792,-86.804942,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2019-12-09T08:51:11.000Z,,False
0093865b-d8ce-437b-be1d-8714ca2f578f,UHS Dialysis - Penn Ave,hospital,"['health_and_medical', 'doctor']",4e60c913-7218-4859-a441-4c239a5a6ba9,,residential,house,new-york,NY,Massapequa,11758.0,65 Pennsylvania Ave,40.67884,-73.47532,meta,2025-06-02T07:00:00.000Z,0.3961437335670464,OpenStreetMap,2021-05-30T19:32:35.000Z,,False
