id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
c490f4da-a064-4300-9a53-7d6a0fa97988,Ventas de pacas  americana,tennis_court,"['clothing_store', 'sports_wear']",,,,,los-angeles,CA,Los Angeles,90021.0,1600 S Santa Fe Ave,34.02543,-118.22976,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,,,,False
392b9398-6363-4d24-be0f-ec2596c8a656,Oswaldo Representante de Ventas,car_dealer,['automotive'],e2e0e879-73db-4b63-84a4-9de93b6929d6,,commercial,commercial,chicago,IL,Palatine,60074.0,2088 N Rand Rd,42.1479,-88.0321,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2015-01-26T05:41:03.000Z,,False
3e5dfc4a-ab51-4269-9741-3806b2e73025,Ventas Omni Life,vitamins_and_supplements,"['health_and_medical', 'health_food_store']",fb5365fc-abfa-429b-a087-062f45d5e60f,,,,riverside-san-bernardino,CA,Rancho Cucamonga,91730.0,9878 Arrow Rte,34.1004102,-117.5896003,meta,2025-06-02T07:00:00.000Z,0.909823677581864,Microsoft ML Buildings,2021-02-06T00:00:00.000Z,,False
0a755b31-2ceb-46f9-a693-687131295a6d,1ST Merchant POS Services Servicios Punto de Ventas,financial_service,['bar'],e583ae04-5421-49e5-b940-c1236a7ee01d,,,,atlanta,GA,Peachtree Corners,30092.0,6251 Smithpointe Dr NW,33.96157,-84.24809,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2014-03-08T16:31:41.000Z,,False
9fa6c001-6d35-4b42-b27f-be588fd606c5,Ventas Internacionales,mexican_restaurant,"['caterer', 'restaurant']",8c7d7629-0b2d-4b71-ac95-d4c958e629cd,,,,minneapolis,MN,Saint Paul,55106.0,7501 third St E\n,44.84482,-93.44126,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2023-01-31T22:41:17.000Z,,False
9037462d-b7e6-40f3-a16b-e017189428f3,Jair/ Asesor de ventas ,automotive,,83797e41-4b89-46bf-9cec-ba07c1ca8aa9,,,,new-york,NJ,Linden,7036.0,"646 E St. Georges Ave. Linden, NJ 07036",40.6435,-74.25785,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,Microsoft ML Buildings,2022-10-16T00:00:00.000Z,,False
9037462d-b7e6-40f3-a16b-e017189428f3,Jair/ Asesor de ventas ,automotive,,f12131e9-1805-4191-9441-f6569c48b99a,,,,new-york,NJ,Linden,7036.0,"646 E St. Georges Ave. Linden, NJ 07036",40.6435,-74.25785,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,OpenStreetMap,2023-07-17T01:25:12.000Z,,False
b34cfe2e-71e5-43d9-8f34-f14e1f74ab68,Jorge Aripez Asesor de Ventas Nissan,automotive_consultant,,,,,,new-york,,Mexicali,22010.0,Nissan centro cívico\n,40.7167025,-74.0,meta,2025-06-02T07:00:00.000Z,0.672566371681416,,,,False
0cf9ea46-94e7-4701-8601-a5bed5493c9c,ventas de autos  marco,automotive,"['automotive_repair', 'car_dealer']",363b7a3c-a417-482b-b77e-516fff88c6b1,,commercial,retail,phoenix,AZ,Phoenix,85009.0,3016 W Van Buren St,33.451637,-112.124007,meta,2025-06-02T07:00:00.000Z,0.2456896551724137,OpenStreetMap,2018-04-27T19:11:01.000Z,,False
1e156fd3-9239-4780-adf9-3e0a6eb91dac,Ventas Frayre,thrift_store,['clothing_store'],6f7470c1-cd64-4f51-b14c-d7456e15788d,,,,phoenix,AZ,Phoenix,85006.0,1867 E Van Buren St,33.4511357,-112.0415952,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,OpenStreetMap,2022-11-11T14:16:20.000Z,,False
