id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
dded5cec-1719-4217-af6e-a7d42561a792,Verizon Business Services,mobile_phone_store,"['telecommunications_company', 'electronics']",CO,Colorado Springs,80906,2130 Southgate Rd,38.8018174,-104.8191937,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,548c9458-ba75-48dd-a1d3-973a8bae0527,,commercial,retail,OpenStreetMap,2024-07-21T21:09:27.000Z,,colorado-springs,False
d247e95a-dd35-4b32-9622-d62eb811f8a3,Verizon,electronics,"['mobile_phone_store', 'retail']",CO,Colorado Springs,80906,"2130 Southgate Rd, Ste 102",38.8019376,-104.8192832,Microsoft,2025-05-20T12:40:29.327Z,0.77,548c9458-ba75-48dd-a1d3-973a8bae0527,,commercial,retail,OpenStreetMap,2024-07-21T21:09:27.000Z,,colorado-springs,False
5c89c6c5-de10-4cfe-b9fd-4620c3daddb2,Verizon,mobile_phone_accessories,"['mobile_phone_store', 'telecommunications_company', 'business_to_business_services', 'business_to_business', 'retail']",CO,Colorado Springs,80906,4451 Venetucci Blvd,38.7674864,-104.7842087,Microsoft,2025-05-22T18:39:39.143Z,0.77,10ebbf37-baaa-43d2-9ee0-e45eccb20489,,commercial,retail,OpenStreetMap,2024-06-13T22:54:06.000Z,,colorado-springs,False
c0171b87-ecc8-4e56-b3f7-71803c7a5806,Victra — Verizon Authorized Retailer,mobile_phone_store,"['electronics', 'internet_service_provider']",CO,Colorado Springs,80906,4451 Venetucci Blvd,38.7675128,-104.7843472,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,10ebbf37-baaa-43d2-9ee0-e45eccb20489,,commercial,retail,OpenStreetMap,2024-06-13T22:54:06.000Z,,colorado-springs,False
1289ee74-394c-4e04-b7a5-acd385a5455a,GoWireless Verizon Premium Retailer,mobile_phone_accessories,"['mobile_phone_store', 'telecommunications_company', 'business_to_business_services', 'business_to_business', 'retail']",CO,Colorado Springs,80906,4451 Venetucci Blvd # 190,38.79531097412109,-104.80358123779295,Microsoft,2016-03-17T17:34:53.130Z,0.77,,,,,,,,colorado-springs,False
a00a42ef-c66d-4c87-90a6-183c203b4c2d,Verizon Business Global,mobile_phone_store,"['telecommunications_company', 'information_technology_company']",CO,Colorado Springs,80919,2424 W Garden of the Gods Rd,38.9008986,-104.8730154,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,467a6241-ab40-4060-ba12-a3ea4fb5446f,,,,OpenStreetMap,2024-03-26T20:59:02.000Z,,colorado-springs,False
ba36d04e-dc79-492c-b1a1-2f96cabd3e65,Verizon,commercial_real_estate,"['corporate_office', 'private_establishments_and_corporates']",CO,Colorado Springs,80919,"2424 Garden of the Gods Road W, Building A, Suite 350",38.9011082,-104.872483,Microsoft,2025-02-13T07:30:24.427Z,0.77,467a6241-ab40-4060-ba12-a3ea4fb5446f,,,,OpenStreetMap,2024-03-26T20:59:02.000Z,,colorado-springs,True
91afdd2e-3a8d-4dd8-a3be-2bb560fe0903,Verizon,mobile_phone_accessories,"['mobile_phone_store', 'retail']",CO,Colorado Springs,80907,4319 Centennial Blvd,38.8942925,-104.8511471,Microsoft,2025-05-22T08:20:18.067Z,0.77,a796dfba-7ca9-46d0-b7fe-e3c947aaa755,Verizon,commercial,retail,OpenStreetMap,2022-12-13T21:39:25.000Z,,colorado-springs,False
8c3b71fc-0f8c-4733-b636-ae5f61cbad31,Victra — Verizon Authorized Retailer,mobile_phone_store,"['electronics', 'internet_service_provider']",CO,Colorado Springs,80907,4319 Centennial Blvd,38.8943795,-104.8511267,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,a796dfba-7ca9-46d0-b7fe-e3c947aaa755,Verizon,commercial,retail,OpenStreetMap,2022-12-13T21:39:25.000Z,,colorado-springs,False
8cf7a7dd-e30a-4eeb-9782-bf8a0f5c43cf,Victra — Verizon Authorized Retailer,mobile_phone_store,"['electronics', 'telecommunications_company']",CO,Colorado Springs,80918,5102 N Nevada Ave,38.9026055,-104.8182563,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,69e728a8-2217-44ef-93c7-52b0efd2460c,,commercial,retail,OpenStreetMap,2024-07-19T18:16:07.000Z,,colorado-springs,False
b171373f-5f0a-4f91-a70d-073383f1be67,Verizon,mobile_phone_accessories,"['mobile_phone_store', 'telecommunications_company', 'business_to_business_services', 'business_to_business', 'retail']",CO,Colorado Springs,80918,5102 N Nevada Ave Ste 150,38.9026062,-104.8181425,Microsoft,2025-05-22T08:20:51.737Z,0.77,69e728a8-2217-44ef-93c7-52b0efd2460c,,commercial,retail,OpenStreetMap,2024-07-19T18:16:07.000Z,,colorado-springs,False
92626123-33cf-43b8-838a-dde63fa45451,GoWireless Verizon Premium Retailer,mobile_phone_accessories,"['mobile_phone_store', 'telecommunications_company', 'business_to_business_services', 'business_to_business', 'retail']",CO,Colorado Springs,80918,5102 N Nevada Ave,38.9043694,-104.8174286,Microsoft,2016-07-15T22:26:22.567Z,0.77,,,,,,,,colorado-springs,False
b6c80639-09d3-4236-bf77-46254bd0f3ed,Verizon,mobile_phone_store,"['telecommunications_company', 'electronics']",CO,Colorado Springs,80920,7252 N Academy Blvd,38.9379284,-104.7991439,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,9022da35-461e-4820-b277-d57131700726,,commercial,retail,OpenStreetMap,2024-07-28T19:08:24.000Z,,colorado-springs,False
99ce7cc1-b863-4832-9775-7b6a0b017f37,Verizon,mobile_phone_store,['retail'],CO,Colorado Springs,80920,"9288 Forest Bluffs View, Ste 130",38.9660072,-104.7872085,Microsoft,2025-04-26T10:29:47.160Z,0.77,b9f4ab83-a4b1-4733-9d39-959ce2048e94,,commercial,retail,OpenStreetMap,2019-05-10T19:33:23.000Z,,colorado-springs,False
4916cd53-7bdb-4a80-adbf-b0a7a63bad89,Victra — Verizon Authorized Retailer,mobile_phone_store,"['electronics', 'internet_service_provider']",CO,Colorado Springs,80909,750 Citadel Dr E,38.8432952,-104.7623975,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,bfaed59e-3a89-4889-9ea6-916d22272cc3,Citadel Mall,,,OpenStreetMap,2025-05-31T19:53:39.000Z,,colorado-springs,False
b52b6bae-21c8-4629-a120-b45e8b744786,Verizon,mobile_phone_accessories,"['mobile_phone_store', 'retail']",CO,Colorado Springs,80909,750 Citadel Dr E Ste 2010,38.8433977,-104.762394,Microsoft,2025-05-22T18:37:32.447Z,0.77,bfaed59e-3a89-4889-9ea6-916d22272cc3,Citadel Mall,,,OpenStreetMap,2025-05-31T19:53:39.000Z,,colorado-springs,False
