id_left,primary_name_left,primary_category,alternate_category,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,id_right,primary_name_right,subtype,class,bldg_dataset,bldg_update_time,bldg_confidence,source_city,is_office_by_pipeline
9e5dfeb5-7037-4c87-ac19-a375a24e6104,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",MS,Southaven,38671,1065 Stateline Rd W,34.9914753,-90.0086396,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,4e0934b8-0803-404d-baf2-b6e7166d71e1,,,,Microsoft ML Buildings,2023-03-05T00:00:00.000Z,0.991599977016449,memphis,False
82712b7f-a726-46e4-accd-56cd853d2546,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38116,4653 Elvis Presley Blvd,35.0214193,-90.0260891,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,4adcaaf0-00f6-4f37-a65e-0b26ff40362c,Walgreens,,,OpenStreetMap,2024-02-27T17:22:28.000Z,,memphis,False
23e3629a-3a00-4b14-8881-2ec4c2b73725,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38109,4155 S 3rd St,35.0347821,-90.0747606,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,4a16b2b4-d4ce-4436-a9c6-a4d5cbbba967,,,,OpenStreetMap,2018-08-02T21:13:06.000Z,,memphis,False
f4a4727f-8e88-4a82-84c4-c6fa4cc60c60,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38116,4154 Elvis Presley Blvd,35.0351135,-90.024585,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,3d944b91-a511-4cf5-af34-eb14c2663451,Walgreens,medical,,OpenStreetMap,2023-10-18T20:19:59.000Z,,memphis,False
352403eb-22f0-44dc-aefd-873d56efc90e,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38116,3445 Elvis Presley Blvd,35.0546541,-90.0253977,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,700a76aa-10a8-4888-ae89-bd89135be5a1,Walgreens,medical,,OpenStreetMap,2023-09-27T18:18:23.000Z,,memphis,False
d5e6495c-1549-45b6-b925-13a59c528e58,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38109,1845 S 3rd St,35.0969764,-90.0561355,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,a75bdda0-db50-4341-afba-43242857c721,,,,OpenStreetMap,2020-02-24T20:36:18.000Z,,memphis,False
4598ce65-9f6c-4c13-9a2e-d0ded0146804,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38103,2 N Main St,35.1452971,-90.0525262,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,8727ee66-beba-4d94-be07-5f8d4ddb4382,,commercial,retail,OpenStreetMap,2021-06-08T21:27:26.000Z,,memphis,False
92a712fa-2b47-4866-b525-02c69f94e364,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38104,987 Union Ave,35.1373176,-90.0287014,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,0f957d6e-af5d-4303-8754-d28ab58258f2,Walgreens,,,OpenStreetMap,2024-02-27T17:22:28.000Z,,memphis,False
8076ca38-15af-431a-bdc4-1398a81d7160,Walgreens,vitamins_and_supplements,"['pharmacy', 'convenience_store']",TN,Memphis,38104,1359 Poplar Ave,35.1434848,-90.0152083,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,9b17f3c6-c013-4333-a8ee-8048e666ed15,,,,OpenStreetMap,2022-04-24T17:20:16.000Z,,memphis,False
e6b8193e-3529-4618-bd57-e9afc64e0929,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",MS,Southaven,38671,35 State Line Rd W,34.9913464,-89.9905626,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,c2ad14a6-df56-4458-8480-0c01208c0153,Walgreens,medical,,OpenStreetMap,2023-10-18T20:19:59.000Z,,memphis,False
f40e2110-7560-4688-be90-bac61c46187f,Walgreens Micro Fulfillment Center,professional_services,,,,38118,,34.9982717,-89.9529707,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,368a9a1e-0758-4e2c-a444-5c117ea2b0a2,,commercial,warehouse,OpenStreetMap,2023-09-11T16:14:07.000Z,,memphis,False
e37b5eeb-26d2-4723-a1f0-014e978b46d5,Walgreens,medical_supply,"['pharmacy', 'convenience_store']",TN,Memphis,38141,6939 E Shelby Dr,35.0199732,-89.8320055,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,f7296914-23b7-47ae-9ee9-082e7dbeaefb,Walgreens,,,OpenStreetMap,2024-02-27T17:22:24.000Z,,memphis,False
