id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
4b70c900-3b5b-4467-bd9d-b4dcaa369465,WD Distributing,industrial_equipment,"['commercial_industrial', 'automotive_repair']",dc7af8e2-c928-4de8-b699-b3f9a75847bf,,,,oklahoma-city,OK,Oklahoma City,73149.0,807 SE 83rd St,35.3832252,-97.4976549,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-05-27T06:55:46.000Z,,False
31cdfa17-8820-4758-adaf-87b9dbd6ff8a,WD Landscaping Service,landscaping,"['gardener', 'construction_services']",ae720ab9-dbdc-4e8a-ad13-024485037269,,,,oklahoma-city,OK,Warr Acres,73122.0,5908 NW 40th St,35.5124324,-97.6199331,meta,2025-06-02T07:00:00.000Z,0.8831168831168831,Esri Community Maps,2024-10-15T00:00:00.000Z,,False
c513debd-496d-4460-8361-0cff0acdb712,WD Electronics,lighting_store,"['electronics', 'automotive']",7f23b2e5-9053-4fbf-942a-0dfda82e613f,,,,salt-lake-city,UT,Sandy,84070.0,9442 S 670 W,40.5799657,-111.9099393,meta,2025-06-02T07:00:00.000Z,0.93,OpenStreetMap,2017-07-25T12:43:34.000Z,,False
aebcf984-b541-452b-a803-e9a6f35b82b9,Western Digital,event_planning,"['business', 'financial_service']",,,,,los-angeles,CA,Irvine,92612.0,3355 Michelson Dr,33.6730956,-117.840716,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,,,,False
3c2b9ab7-ee89-446e-a963-c00e1ba9f705,Western Digital Corporation,financial_service,['industrial_equipment'],eb66a931-d8b1-48cd-a889-dd190eb4ad53,,commercial,commercial,los-angeles,CA,Irvine,92618.0,1 Morgan,33.6548719,-117.7156228,meta,2025-06-02T07:00:00.000Z,0.242152466367713,OpenStreetMap,2015-09-16T03:10:29.000Z,,False
4324a928-c73d-4993-9d3f-d0cb639ac388,WD Land,irrigation_companies,"['farm_equipment_and_supply', 'b2b_farming', 'real_estate_agent', 'b2b_agriculture_and_food', 'business_to_business']",899943a3-84a8-4b35-b314-e192d97623dc,,,,los-angeles,CA,Irvine,92618.0,"530 Technology Drive, Suite 100",33.6743551,-117.7603351,Microsoft,2024-12-07T16:57:07.917Z,0.77,OpenStreetMap,2023-12-07T22:30:06.000Z,,False
cebc48e7-d397-4275-a53b-5b64193bf436,Western Digital,electronics,['shopping'],29a39679-7846-4a75-9cdb-26bc9b79177e,,commercial,commercial,los-angeles,CA,Lake Forest,92630.0,20511 Lake Forest Dr,33.6643826,-117.6666541,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2015-11-06T01:55:06.000Z,,False
684f7bdd-60f4-439b-8c61-f9b60a374374,WD Family Paint & Drywall,painting,"['contractor', 'carpet_store']",80bd0737-d94b-441e-b5e8-fb86adbff7f4,,residential,house,philadelphia,NJ,Blackwood,8012.0,12 Sherry Ct,39.7598208,-75.0670037,meta,2025-06-02T07:00:00.000Z,0.8540983606557377,OpenStreetMap,2020-03-03T21:02:18.000Z,,False
799ec069-516c-403e-b7a4-94550cda83fd,WD Services,automotive_parts_and_accessories,['professional_services'],afd5e171-dec1-4a56-9842-1e7111d06118,,,,philadelphia,PA,Pottstown,19464.0,300 Old Reading Pike,40.2444119,-75.6832334,meta,2025-06-02T07:00:00.000Z,0.9204819277108434,Microsoft ML Buildings,2020-09-19T00:00:00.000Z,,False
9d638b8d-5408-4f22-a025-37abf0e58e38,Swift WD Restorations Minneapolis,damage_restoration,"['contractor', 'professional_services']",caf13856-baad-4a3d-a304-807dbd665e67,,commercial,retail,minneapolis,MN,Minneapolis,55433.0,2110 Northdale Blvd NW,45.1818365,-93.3209492,meta,2025-06-02T07:00:00.000Z,0.8860580325548478,OpenStreetMap,2021-12-05T20:15:14.000Z,,False
fb3fa199-ce16-46a6-b5db-96348dc4b284,WD Equipment LLC,car_dealer,"['automotive_consultant', 'automotive']",61e2308d-6e7a-43c6-a45a-af2871a550ed,,,,colorado-springs,CO,Colorado Springs,80903.0,306 S Nevada Ave,38.8290083,-104.822443,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2014-11-07T07:30:54.000Z,,False
c23a2144-a794-4f36-8f1c-a95c45b3082b,WD Door,garage_door_service,"['construction_services', 'building_supply_store']",2f09d588-8fd5-40a1-9c53-79eb472d4cb5,,,,omaha,NE,Omaha,68137.0,4533 S 134th St,41.2146948,-96.1237508,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2018-07-16T21:48:21.000Z,,False
