id_left,primary_name_left,primary_category,alternate_category,id_right,primary_name_right,subtype,class,source_city,region,locality,zipcode,address,latitude,longitude,plc_source_dataset,plc_source_update_time,plc_source_confidence,bldg_dataset,bldg_update_time,bldg_confidence,is_office_by_pipeline
00462b6f-471d-4cfe-a79a-803ee524ee57,Weyerhaeuser Building Materails,contractor,"['construction_services', 'industrial_equipment']",,,,,phoenix,AZ,Phoenix,85009.0,1431 S 43rd Ave,33.433873,-112.149852,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,,,,False
9e068526-ddd8-4265-be25-c600cac9a1ee,Weyerhaeuser Distribution,professional_services,"['home_and_garden', 'hardware_store']",7331adc4-fae4-45fe-b7a3-39b452eb534f,,,,phoenix,AZ,Phoenix,85009.0,1431 S 43rd Ave,33.4341807,-112.1506499,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,OpenStreetMap,2022-06-29T07:33:15.000Z,,False
dcd2152d-148a-4b86-a199-a4060a71a84f,Weyerhaeuser Boise Distribution Center,professional_services,['industrial_equipment'],,,,,boise-city,ID,Boise,83716.0,2600 E Amity Rd,43.5607785,-116.1504906,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,,,,False
79b7c32c-d89a-4b42-a940-4cb7f43d292a,Weyerhaeuser Memorial Chapel,church_cathedral,"['college_university', 'religious_organization']",334d42e5-9ad0-4d0f-bbce-48b554175b35,Weyerhauser Memorial Chapel,religious,,minneapolis,MN,St Paul,55105.0,"Weyerhaeuser Memorial Chapel, 1604 Grand Ave",44.939775,-93.1686821,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2021-11-29T01:27:45.000Z,,False
49901b19-48ce-4b9c-866a-c368d01df768,F K Weyerhaeuser Auditorium,auditorium,['campus_building'],7ae114ef-53c2-47b3-a859-f189b297fa10,Landmark Center,entertainment,,minneapolis,MN,St Paul,55102.0,75 5th St W,44.9454203,-93.0970629,meta,2025-06-02T07:00:00.000Z,0.5662921348314607,OpenStreetMap,2024-05-22T16:37:10.000Z,,True
fe413ad6-edb8-4bfb-9a28-b9cf6f93225c,Weyerhaeuser Hall,campus_building,"['college_university', 'social_service_organizations']",a7b1df7e-285e-474f-8628-d7a5b07872b9,Weyerhaeuser Hall,education,college,seattle,WA,Tacoma,98406.0,"University of Puget Sound, 3400 N 18th St",47.2604776,-122.4804361,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2025-02-11T07:31:28.000Z,,True
8619b432-65e4-42d3-b64a-22199ae48d52,Weyerhaeuser King County Aquatic Center,swimming_pool,"['active_life', 'sports_and_recreation_venue']",980d6125-2614-4195-ba95-0670fe53496e,Weyerhaeuser King County Aquatic Center,,,seattle,WA,Federal Way,98023.0,650 SW Campus Dr,47.295311,-122.3433437,meta,2025-06-02T07:00:00.000Z,0.9784508333782836,OpenStreetMap,2024-03-27T23:06:15.000Z,,False
ab44b8e6-dd9e-4676-9cff-28435f2d9982,Weyerhaeuser Co,logging_services,"['wood_and_pulp', 'logging_contractor']",f76264b8-abfb-4934-866f-d0f08f9c04b7,,commercial,office,seattle,WA,Federal Way,98001.0,32275 32nd Ave S,47.3118477,-122.2944858,meta,2025-06-02T07:00:00.000Z,0.3376623376623376,OpenStreetMap,2024-09-13T00:20:24.000Z,,True
305d7bac-2563-45f4-ab7d-36835f5be6a5,Weyerhaeuser,wood_and_pulp,['logging_contractor'],9458370b-2d8c-49bc-8f39-1c1bd199fea6,200 Occidental Building,commercial,commercial,seattle,,,98104.0,220 Occidental Ave S,47.6003026,-122.3326964,meta,2025-06-02T07:00:00.000Z,0.8253968253968254,OpenStreetMap,2024-07-15T21:44:21.000Z,,False
b0319523-389b-4d2b-bb20-8d9fdc48a3b5,Weyerhaeuser,logging_services,"['wood_and_pulp', 'professional_services']",,,,,los-angeles,CA,Long Beach,90802.0,800 Pier T Ave,33.7578971,-118.2216251,meta,2025-06-02T07:00:00.000Z,0.9415384615384615,,,,False
2fa6b691-ad7b-4c1b-97f3-a5bf80beaa75,Weyerhaeuser Distribution,professional_services,"['industrial_equipment', 'freight_and_cargo_service']",043ce344-a694-4097-be26-c80fe77782f7,,,,stockton,CA,Stockton,95206.0,2700 S California St,37.9228026,-121.2788698,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2019-10-30T12:50:30.000Z,,False
a9688568-ebbd-4b4c-b275-2ff364c9ab00,Weyerhaeuser Distribution,industrial_equipment,"['construction_services', 'home_improvement_store']",ca9bfdbf-adb5-4cc4-86ea-20f547d2b1f8,,,,denton-lewisville,TX,Carrollton,75006.0,1810 John Connally Dr,32.9576616,-96.8633451,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2016-06-15T18:17:57.000Z,,False
a9688568-ebbd-4b4c-b275-2ff364c9ab00,Weyerhaeuser Distribution,industrial_equipment,"['construction_services', 'home_improvement_store']",ca9bfdbf-adb5-4cc4-86ea-20f547d2b1f8,,,,dallas,TX,Carrollton,75006.0,1810 John Connally Dr,32.9576616,-96.8633451,meta,2025-06-02T07:00:00.000Z,0.9459263554653524,OpenStreetMap,2016-06-15T18:17:57.000Z,,False
c7e06f82-e826-4580-b663-617c87717d94,Weyerhaeuser Co,logging_contractor,"['wood_and_pulp', 'event_planning']",4ff03870-1239-462c-9916-a6e831db1177,,,,portland,WA,Vancouver,98683.0,16821 SE McGillivray Blvd,45.606092,-122.4977485,meta,2025-06-02T07:00:00.000Z,0.909823677581864,OpenStreetMap,2020-09-30T07:02:31.000Z,,True
